Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Sam Heazlett,826679,c †Wade b Rose,5,3,1,0,166.67,0
Brendon McCullum (c),37737,c Bailey b Mills,51,38,5,1,134.21,0
Joe Burns,326632,c Doolan b Short,38,24,3,3,158.33,0
Alex Ross,333624, b Boyce,4,7,0,0,57.14,0
Ben Cutting,230371,run out (Bailey),30,26,2,1,115.38,0
Jimmy Peirson †,444970,c Short b Christian,16,12,2,1,133.33,0
Cameron Gannon,326635,c Bailey b Archer,9,7,1,0,128.57,0
Mark Steketee,555853, b Archer,5,3,1,0,166.67,0
Brendan Doggett,931603,not out ,0,0,0,0,,0
Alex Doolan,233648,c Gannon b Burns,10,5,2,0,200.0,1
D'Arcy Short,308798,c Burns b Steketee,59,49,8,0,120.41,1
George Bailey (c),4451,c Gannon b Cutting,19,21,1,0,90.48,1
Dan Christian,4864,c Ross b Doggett,23,9,0,3,255.56,1
Ben McDermott,603410,not out ,32,19,3,1,168.42,1
Matthew Wade †,230193,not out ,11,9,1,0,122.22,1
