Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Liton Das †,536936,retired hurt ,126,105,13,2,120.0,0
Tamim Iqbal,56194,lbw b Madhevere,24,43,2,0,55.81,0
Najmul Hossain Shanto,629058,lbw b Mutombodzi,29,38,1,2,76.32,0
Mushfiqur Rahim,56029,c †Mutumbami b Tiripano,19,26,0,0,73.08,0
Mahmudullah,56025,lbw b Mpofu,32,28,2,1,114.29,0
Mohammad Mithun,269237,lbw b Mpofu,50,41,5,1,121.95,0
Mohammad Saifuddin,629070,not out ,28,15,0,3,186.67,0
Mehidy Hasan Miraz,629063,c Kamunhukamwe b Mumba,7,4,0,1,175.0,0
Mashrafe Mortaza (c),56007,not out ,0,0,0,0,,0
Tinashe Kamunhukamwe,713811, b Mohammad Saifuddin,1,10,0,0,10.0,1
Chamu Chibhabha (c),55354,c Mahmudullah b Mashrafe Mortaza,10,22,1,0,45.45,1
Regis Chakabva,293831,lbw b Mohammad Saifuddin,11,18,1,0,61.11,1
Brendan Taylor,55814, b Taijul Islam,8,15,1,0,53.33,1
Wesley Madhevere,938959,c Mashrafe Mortaza b Mehidy Hasan Miraz,35,44,5,0,79.55,1
Sikandar Raza,299572,c Mahmudullah b Mustafizur Rahman,18,32,2,0,56.25,1
Richmond Mutumbami †,235516,run out (Najmul Hossain Shanto/Mushfiqur Rahim),17,14,0,2,121.43,1
Tinotenda Mutombodzi,333001,c Mohammad Saifuddin b Mashrafe Mortaza,24,47,3,0,51.06,1
Donald Tiripano,392945,c & b Mehidy Hasan Miraz,2,13,0,0,15.38,1
Carl Mumba,672775, b Mohammad Saifuddin,13,12,1,1,108.33,1
Chris Mpofu,55633,not out ,9,8,0,0,112.5,1
