Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Marcus Stoinis,325012,lbw b Cutting,43,29,4,1,148.28,0
Ben Dunk,388678,c Ross b Swepson,24,26,0,1,92.31,0
Peter Handscomb †,334337,c Cutting b Doggett,6,10,0,0,60.0,0
Glenn Maxwell (c),325026,c Mujeeb Ur Rahman b Doggett,3,4,0,0,75.0,0
Nic Maddinson,333780,c Lalor b Mujeeb Ur Rahman,18,14,1,1,128.57,0
Dwayne Bravo,51439,c Bryant b Cutting,17,21,0,0,80.95,0
Evan Gulbis,381183,lbw b Swepson,0,2,0,0,0.0,0
Liam Plunkett,19264,c Cutting b Lalor,4,5,0,0,80.0,0
Tom O'Connell,1159591,not out ,9,6,1,0,150.0,0
Jackson Bird,215152,not out ,4,3,0,0,133.33,0
Max Bryant,1088608,c Maddinson b Stoinis,24,18,5,0,133.33,1
Brendon McCullum,37737,c Bravo b Maxwell,13,14,2,0,92.86,1
Chris Lynn (c),326637,lbw b Zampa,0,4,0,0,0.0,1
Matt Renshaw,722303,c †Handscomb b Stoinis,45,43,3,0,104.65,1
Alex Ross,333624,c Maxwell b Bravo,0,1,0,0,0.0,1
Jimmy Peirson †,444970,c Maxwell b Stoinis,26,23,2,0,113.04,1
Ben Cutting,230371,c Bird b Stoinis,6,10,0,0,60.0,1
Josh Lalor,272385,not out ,1,4,0,0,25.0,1
Brendan Doggett,931603,run out (†Handscomb/Bravo),1,1,0,0,100.0,1
Mitchell Swepson,590326,not out ,6,2,1,0,300.0,1
