Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Niroshan Dickwella †,429754, b Holder,33,29,43,3,1,113.79,0
Danushka Gunathilaka,345821,c Pollard b Sinclair,4,6,11,0,0,66.67,0
Pathum Nissanka,1028655,st †Pooran b Allen,39,34,42,4,1,114.71,0
Dinesh Chandimal,300628,c Holder b McCoy,11,10,19,0,1,110.0,0
Angelo Mathews (c),49764,c Simmons b Edwards,5,6,7,0,0,83.33,0
Thisara Perera,233514,c Bravo b McCoy,1,4,12,0,0,25.0,0
PWH de Silva,784379,c Allen b Bravo,12,14,15,0,0,85.71,0
Ashen Bandara,958691,run out (Allen/†Pooran),10,6,18,1,0,166.67,0
Akila Dananjaya,574178,not out ,9,9,16,0,0,100.0,0
Dushmantha Chameera,552152,run out (Holder/†Pooran),2,2,2,0,0,100.0,0
Lendl Simmons,53116,lbw b de Silva,26,15,30,3,2,173.33,1
Evin Lewis,431901,c Gunathilaka b Dananjaya,28,10,18,2,3,280.0,1
Chris Gayle,51880,lbw b Dananjaya,0,1,2,0,0,0.0,1
Nicholas Pooran †,604302,c †Dickwella b Dananjaya,0,1,1,0,0,0.0,1
Kieron Pollard (c),230559,lbw b de Silva,38,11,18,0,6,345.45,1
Jason Holder,391485,not out ,29,24,40,1,2,120.83,1
Fabian Allen,670013,lbw b de Silva,0,1,-,0,0,0.0,1
Dwayne Bravo,51439,not out ,4,17,27,0,0,23.53,1
