Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
KL Rahul †,422108,c de Grandhomme b Yadav,21,15,0,3,140.0,0
Chris Gayle,51880,c Mohammed Siraj b Yadav,18,14,4,0,128.57,0
Karun Nair,398439,c Kohli b Mohammed Siraj,1,3,0,0,33.33,0
Aaron Finch,5334,c Kohli b Ali,26,23,1,2,113.04,0
Marcus Stoinis,325012, b Chahal,2,3,0,0,66.67,0
Mayank Agarwal,398438,c †Patel b de Grandhomme,2,6,0,0,33.33,0
Axar Patel,554691,not out ,9,13,0,0,69.23,0
Ravichandran Ashwin (c),26421,run out (sub [P Negi]/†Patel),0,1,0,0,0.0,0
Andrew Tye,459508,c †Patel b Yadav,0,3,0,0,0.0,0
Mohit Sharma,537119,run out (de Villiers/Ali),3,5,0,0,60.0,0
Ankit Rajpoot,591650,run out (Southee/Ali),1,5,0,0,20.0,0
Virat Kohli (c),253802,not out ,48,28,6,2,171.43,1
Parthiv Patel †,32242,not out ,40,22,7,0,181.82,1
