Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Ajinkya Rahane,277916,c & b Narine,67,52,68,4,3,128.85,0
Faf du Plessis,44828, b Shakib Al Hasan,4,9,15,0,0,44.44,0
Steven Smith,267192,run out (Sathish),31,28,29,2,0,110.71,0
Thisara Perera,233514, b Sathish,12,9,11,0,1,133.33,0
Albie Morkel,46248, b UT Yadav,16,9,15,0,2,177.78,0
MS Dhoni (c)†,28081,not out ,23,12,13,2,1,191.67,0
Rajat Bhatia,26907,not out ,1,1,8,0,0,100.0,0
Robin Uthappa †,35582,lbw b Morkel,0,1,1,0,0,0.0,1
Gautam Gambhir (c),28763,run out (Tiwary/†Dhoni),11,5,16,2,0,220.0,1
Suryakumar Yadav,446507,lbw b M Ashwin,60,49,68,6,2,122.45,1
Shakib Al Hasan,56143, b Bhatia,3,9,19,0,0,33.33,1
Yusuf Pathan,32498,lbw b Bhatia,36,27,30,2,2,133.33,1
Andre Russell,276298,c du Plessis b Perera,17,11,19,0,2,154.55,1
Rajagopal Sathish,33870, b Morkel,10,8,18,0,1,125.0,1
Piyush Chawla,32966,c Smith b Perera,8,5,10,1,0,160.0,1
Umesh Yadav,376116,not out ,7,2,6,0,1,350.0,1
Sunil Narine,230558,not out ,0,0,1,0,0,,1
