Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Tamim Iqbal,56194,c Williamson b de Grandhomme,126,128,187,21,1,98.44,0
Shadman Islam,629057, b Boult,24,32,43,3,0,75.0,0
Mominul Haque,373696,c †Watling b Wagner,12,46,70,0,1,26.09,0
Mohammad Mithun,269237,c Latham b Wagner,8,24,34,1,0,33.33,0
Soumya Sarkar,436677,c †Watling b Southee,1,9,10,0,0,11.11,0
Mahmudullah (c),56025,c Boult b Wagner,22,43,68,5,0,51.16,0
Liton Das †,536936,c Boult b Wagner,29,58,66,4,0,50.0,0
Mehidy Hasan Miraz,629063,c Nicholls b Wagner,10,6,6,1,1,166.67,0
Abu Jayed,410763,c †Watling b Southee,2,4,6,0,0,50.0,0
Khaled Ahmed,927619, b Southee,0,6,11,0,0,0.0,0
Ebadot Hossain,932355,not out ,0,0,1,0,0,,0
Jeet Raval,277914,c Khaled Ahmed b Mahmudullah,132,220,308,19,1,60.0,1
Tom Latham,388802,c Mohammad Mithun b Soumya Sarkar,161,248,368,17,3,64.92,1
Kane Williamson (c),277906,not out ,200,257,382,19,0,77.82,1
Ross Taylor,38699,lbw b Soumya Sarkar,4,19,29,0,0,21.05,1
Henry Nicholls,539511, b Mehidy Hasan Miraz,53,81,103,7,0,65.43,1
Neil Wagner,233713,c †Liton Das b Ebadat Hossain,47,35,42,6,3,134.29,1
BJ Watling †,38924,c †Liton Das b Mehidy Hasan Miraz,31,67,83,2,0,46.27,1
Colin de Grandhomme,55395,not out ,76,53,62,4,5,143.4,1
Tamim Iqbal,56194,c †Watling b Southee,74,86,130,12,1,86.05,2
Shadman Islam,629057,c Boult b Wagner,37,71,90,5,0,52.11,2
Mominul Haque,373696,c Taylor b Boult,8,6,6,2,0,133.33,2
Mohammad Mithun,269237,c Williamson b Boult,0,4,9,0,0,0.0,2
Soumya Sarkar,436677, b Boult,149,171,255,21,5,87.13,2
Mahmudullah (c),56025,c Boult b Southee,146,229,315,21,3,63.76,2
Liton Das †,536936, b Boult,1,11,26,0,0,9.09,2
Mehidy Hasan Miraz,629063,c Raval b Wagner,1,4,4,0,0,25.0,2
Abu Jayed,410763, b Boult,3,19,26,0,0,15.79,2
Khaled Ahmed,927619,not out ,4,13,32,1,0,30.77,2
Ebadot Hossain,932355,c †Watling b Southee,0,4,5,0,0,0.0,2
