Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Martin Guptill,226492,c Liton Das b Rubel Hossain,26,28,43,2,0,92.86,0
Henry Nicholls,539511,c Liton Das b Taskin Ahmed,18,21,37,2,0,85.71,0
Devon Conway,379140,c sub (Afif Hossain) b Mustafizur Rahman,126,110,172,17,0,114.55,0
Ross Taylor,38699,c †Mushfiqur Rahim b Rubel Hossain,7,14,11,1,0,50.0,0
Tom Latham (c)†,388802,c Mehidy Hasan Miraz b Soumya Sarkar,18,33,48,1,0,54.55,0
Daryl Mitchell,381743,not out ,100,92,122,9,2,108.7,0
James Neesham,355269,c Liton Das b Rubel Hossain,4,4,7,0,0,100.0,0
Mitchell Santner,502714,not out ,3,1,8,0,0,300.0,0
Tamim Iqbal (c),56194,c †Latham b Henry,1,9,10,0,0,11.11,1
Liton Das,536936,c Boult b Henry,21,21,30,3,0,100.0,1
Soumya Sarkar,436677,c Boult b Henry,1,6,9,0,0,16.67,1
Mohammad Mithun,269237,c Santner b Jamieson,6,39,61,0,0,15.38,1
Mushfiqur Rahim †,56029,c & b Neesham,21,44,74,1,0,47.73,1
Mahmudullah,56025,not out ,76,73,107,6,4,104.11,1
Mehidy Hasan Miraz,629063,c Conway b Neesham,0,2,2,0,0,0.0,1
Mahedi Hasan,833087,c †Latham b Neesham,3,8,10,0,0,37.5,1
Taskin Ahmed,538506,c Conway b Henry,9,24,30,2,0,37.5,1
Rubel Hossain,300619,c †Latham b Neesham,4,28,36,0,0,14.29,1
Mustafizur Rahman,330902,lbw b Neesham,0,3,4,0,0,0.0,1
