Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Jono Dean,316730,c Johnson b Kelly,7,15,1,0,46.67,0
Jake Weatherald,781285, b Kelly,56,43,4,4,130.23,0
Colin Ingram (c),45705,c †Bancroft b Bresnan,5,8,0,0,62.5,0
Jonathan Wells,233680,c Johnson b Bresnan,15,23,1,0,65.22,0
Jake Lehmann,437448,not out ,21,17,2,0,123.53,0
Alex Carey †,326434, b Richardson,25,10,4,1,250.0,0
Michael Neser,376169, b Richardson,0,1,0,0,0.0,0
Rashid Khan,793463,not out ,5,3,1,0,166.67,0
Sam Whiteman,334394,c Stanlake b Neser,8,5,2,0,160.0,1
Michael Klinger,6161,c Ingram b Stanlake,5,10,1,0,50.0,1
Cameron Bancroft †,501011, b Rashid Khan,49,39,6,0,125.64,1
Hilton Cartwright,557295,c Neser b Rashid Khan,2,5,0,0,40.0,1
Ashton Turner,500268,lbw b Rashid Khan,0,1,0,0,0.0,1
Adam Voges (c),8119,not out ,56,45,6,1,124.44,1
Ashton Agar,505120,c †Carey b Laughlin,7,9,0,0,77.78,1
Tim Bresnan,9310,not out ,7,3,0,1,233.33,1
