Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Fakhar Zaman (c),512191,c Babar Azam b Iftikhar Ahmed,18,21,3,0,85.71,0
Gauhar Ali †,321154,c Mohammad Amir b Imad Wasim,4,2,1,0,200.0,0
Haris Sohail,318788, b Iftikhar Ahmed,20,19,3,0,105.26,0
AB de Villiers,44936,c Umer Khan b Mohammad Amir,33,32,2,1,103.12,0
Corey Anderson,277662,st †Mohammad Rizwan b Umer Khan,22,18,1,2,122.22,0
Sohail Akhtar,532424,not out ,29,22,1,1,131.82,0
David Wiese,221140,not out ,3,6,0,0,50.0,0
Babar Azam,348144, b Lamichhane,11,12,2,0,91.67,1
Colin Munro,232359,c Haris Sohail b Lamichhane,15,12,1,1,125.0,1
Liam Livingstone,403902, b Yasir Shah,38,34,3,2,111.76,1
Colin Ingram,45705, b Haris Rauf,12,15,1,0,80.0,1
Iftikhar Ahmed,480603,not out ,33,25,2,2,132.0,1
Mohammad Rizwan †,323389,c Fakhar Zaman b Wiese,2,5,0,0,40.0,1
Imad Wasim (c),227758,not out ,19,13,2,0,146.15,1
