Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
D'Arcy Short,308798, b Steketee,18,12,2,1,150.0,0
Tim Paine (c)†,7252,c Ross b Steketee,9,5,0,1,180.0,0
Kumar Sangakkara,50710,lbw b Badree,12,8,2,0,150.0,0
George Bailey,4451,run out (Ross/†Peirson),13,11,1,0,118.18,0
Dan Christian,4864,c Ross b Wildermuth,33,23,2,1,143.48,0
Jonathan Wells,233680,c Lynn b Wildermuth,28,25,0,1,112.0,0
Hamish Kingston,326679,lbw b Swepson,17,10,0,2,170.0,0
Cameron Boyce,326625,c Lynn b Cutting,9,12,1,0,75.0,0
Clive Rose,288285,not out ,17,12,2,0,141.67,0
Stuart Broad,10617,run out (McCullum/Cutting),3,3,0,0,100.0,0
Jimmy Peirson †,444970,c Kingston b Broad,1,2,0,0,50.0,1
Brendon McCullum (c),37737,c Christian b Boyce,72,35,10,4,205.71,1
Chris Lynn,326637,not out ,84,50,4,7,168.0,1
Alex Ross,333624, b Tait,5,8,0,0,62.5,1
Joe Burns,326632,not out ,8,5,0,0,160.0,1
