Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Ajinkya Rahane,277916, b Cummins,103,104,10,2,99.04,0
Shikhar Dhawan,28235,st †Hope b Nurse,63,59,10,0,106.78,0
Virat Kohli (c),253802,c Nurse b Joseph,87,66,4,4,131.82,0
Hardik Pandya,625371,c Cummins b Joseph,4,5,0,0,80.0,0
Yuvraj Singh,36084,c †Hope b Holder,14,10,1,0,140.0,0
MS Dhoni †,28081,not out ,13,13,1,0,100.0,0
Kedar Jadhav,290716,not out ,13,6,2,0,216.67,0
Kieran Powell,252932,c †Dhoni b Kumar,0,3,0,0,0.0,1
Shai Hope †,581379,lbw b Kuldeep Yadav,81,88,5,3,92.05,1
Jason Mohammed,230549,c Pandya b Kumar,0,8,0,0,0.0,1
Evin Lewis,431901,st †Dhoni b Kuldeep Yadav,21,37,2,0,56.76,1
Jonathan Carter,314615,lbw b Ashwin,13,31,1,0,41.94,1
Jason Holder (c),391485,st †Dhoni b Kuldeep Yadav,29,29,1,1,100.0,1
Roston Chase,391832,not out ,33,37,2,0,89.19,1
Ashley Nurse,315594,not out ,19,25,1,0,76.0,1
