Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Suryakumar Yadav,446507,c Singh b Chawla,36,32,5,1,112.5,0
Evin Lewis,431901,c Lynn b Chawla,18,13,3,0,138.46,0
Rohit Sharma (c),34102,c Uthappa b Prasidh Krishna,36,31,2,1,116.13,0
Ishan Kishan †,720471,c Uthappa b Narine,62,21,5,6,295.24,0
Hardik Pandya,625371,c Singh b Curran,19,13,0,2,146.15,0
Ben Cutting,230371,c Russell b Chawla,24,9,1,3,266.67,0
Krunal Pandya,471342,not out ,8,2,0,1,400.0,0
Jean-Paul Duminy,44932,not out ,0,0,0,0,,0
Sunil Narine,230558,c KH Pandya b McClenaghan,4,2,1,0,200.0,1
Chris Lynn,326637,run out (Yadav/KH Pandya),21,15,3,1,140.0,1
Robin Uthappa,35582,c Yadav b Markande,14,13,0,2,107.69,1
Nitish Rana,604527,c Cutting b HH Pandya,21,19,2,1,110.53,1
Andre Russell,276298,c Markande b HH Pandya,2,4,0,0,50.0,1
Dinesh Karthik (c)†,30045,run out (Duminy/HH Pandya),5,3,1,0,166.67,1
Rinku Singh,723105,c †Ishan Kishan b Bumrah,5,3,1,0,166.67,1
Tom Curran,550235,c Duminy b KH Pandya,18,17,3,0,105.88,1
Piyush Chawla,32966,c Yadav b Cutting,11,13,1,0,84.62,1
Kuldeep Yadav,559235,lbw b KH Pandya,5,15,0,0,33.33,1
Prasidh Krishna,917159,not out ,1,5,0,0,20.0,1
