Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Kraigg Brathwaite,348024,c †Bairstow b Anderson,10,36,44,0,0,27.78,0
Kieran Powell,252932,c & b Stokes,39,98,148,6,0,39.8,0
Kyle Hope,443150,c †Bairstow b Anderson,0,11,19,0,0,0.0,0
Shai Hope,581379,c Cook b Roland-Jones,29,57,79,7,0,50.88,0
Roston Chase,391832, b Stokes,18,36,50,4,0,50.0,0
Jermaine Blackwood,431909, b Roland-Jones,1,5,14,0,0,20.0,0
Shane Dowrich †,431905,c Cook b Stokes,1,19,33,0,0,5.26,0
Jason Holder (c),391485, b Stokes,9,36,50,1,0,25.0,0
Devendra Bishoo,341593,not out ,13,44,56,3,0,29.55,0
Kemar Roach,230553,c Anderson b Stokes,0,4,8,0,0,0.0,0
Shannon Gabriel,446101, b Stokes,0,1,3,0,0,0.0,0
Alastair Cook,11728,c †Dowrich b Roach,10,43,57,1,0,23.26,1
Mark Stoneman,229954,c †Dowrich b Roach,1,5,12,0,0,20.0,1
Tom Westley,214265,lbw b Holder,8,30,49,1,0,26.67,1
Joe Root (c),303669,c Powell b Holder,1,2,13,0,0,50.0,1
Dawid Malan,236489,c †Dowrich b Roach,20,31,46,3,0,64.52,1
Ben Stokes,311158, b Gabriel,60,74,124,10,0,81.08,1
Jonny Bairstow †,297433,lbw b Roach,21,48,68,3,0,43.75,1
Moeen Ali,8917,c KA Hope b Roach,3,13,35,0,0,23.08,1
Toby Roland-Jones,370535,c SD Hope b Holder,13,22,49,2,0,59.09,1
Stuart Broad,10617,c †Dowrich b Holder,38,45,56,4,2,84.44,1
James Anderson,8608,not out ,8,11,21,1,0,72.73,1
Kraigg Brathwaite,348024, b Anderson,4,11,14,1,0,36.36,2
Kieran Powell,252932, b Anderson,45,73,107,8,0,61.64,2
Kyle Hope,443150,lbw b Broad,1,13,31,0,0,7.69,2
Shai Hope,581379,c †Bairstow b Anderson,62,144,232,9,0,43.06,2
Roston Chase,391832,c †Bairstow b Anderson,3,20,43,0,0,15.0,2
Jermaine Blackwood,431909,c †Bairstow b Anderson,5,26,36,0,0,19.23,2
Shane Dowrich †,431905,c Broad b Roland-Jones,14,33,45,3,0,42.42,2
Jason Holder (c),391485,c Anderson b Broad,23,53,73,4,0,43.4,2
Devendra Bishoo,341593, b Anderson,0,2,3,0,0,0.0,2
Kemar Roach,230553, b Anderson,3,11,28,0,0,27.27,2
Shannon Gabriel,446101,not out ,0,5,6,0,0,0.0,2
Alastair Cook,11728,lbw b Bishoo,17,22,34,1,0,77.27,3
Mark Stoneman,229954,not out ,40,74,100,5,0,54.05,3
Tom Westley,214265,not out ,44,72,66,7,0,61.11,3
