Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Liton Das,536936,c Jadhav b Kumar,7,16,1,0,43.75,0
Najmul Hossain Shanto,629058,c Dhawan b Bumrah,7,14,0,0,50.0,0
Shakib Al Hasan,56143,c Dhawan b Jadeja,17,12,3,0,141.67,0
Mushfiqur Rahim †,56029,c Chahal b Jadeja,21,45,1,0,46.67,0
Mohammad Mithun,269237,lbw b Jadeja,9,19,1,0,47.37,0
Mahmudullah,56025,lbw b Kumar,25,51,3,0,49.02,0
Mosaddek Hossain,550133,c †Dhoni b Jadeja,12,43,0,0,27.91,0
Mashrafe Mortaza (c),56007,c Bumrah b Kumar,26,32,0,2,81.25,0
Mehidy Hasan Miraz,629063,c Dhawan b Bumrah,42,50,2,2,84.0,0
Mustafizur Rahman,330902,c Dhawan b Bumrah,3,9,0,0,33.33,0
Rubel Hossain,300619,not out ,1,5,0,0,20.0,0
Rohit Sharma (c),34102,not out ,83,104,5,3,79.81,1
Shikhar Dhawan,28235,lbw b Shakib Al Hasan,40,47,4,1,85.11,1
Ambati Rayudu,33141,c †Mushfiqur Rahim b Rubel Hossain,13,28,1,0,46.43,1
MS Dhoni †,28081,c Mohammad Mithun b Mashrafe Mortaza,33,37,3,0,89.19,1
Dinesh Karthik,30045,not out ,1,3,0,0,33.33,1
