Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Ajinkya Rahane,277916,c Milne b Badree,6,8,14,0,0,75.0,0
Rahul Tripathi,446763,c †Jadhav b Negi,37,28,36,4,1,132.14,0
Steven Smith (c),267192,c Milne b Binny,45,32,41,5,1,140.62,0
Manoj Tiwary,35565,not out ,44,35,49,4,1,125.71,0
MS Dhoni †,28081,not out ,21,17,29,1,1,123.53,0
Travis Head,530011, b Unadkat,2,5,9,0,0,40.0,1
Virat Kohli (c),253802,c sub (MA Agarwal) b Christian,55,48,87,4,1,114.58,1
AB de Villiers,44936,c Tiwary b Ferguson,3,8,11,0,0,37.5,1
Kedar Jadhav †,290716,run out (Ferguson/†Dhoni),7,12,15,1,0,58.33,1
Sachin Baby,432783,c Smith b Washington Sundar,2,4,8,0,0,50.0,1
Stuart Binny,27223,c Washington Sundar b Ferguson,1,7,4,0,0,14.29,1
Pawan Negi,530773,c Christian b Imran Tahir,3,7,11,0,0,42.86,1
Adam Milne,450860,c Smith b Imran Tahir,5,8,10,0,0,62.5,1
Samuel Badree,51433, b Imran Tahir,2,7,7,0,0,28.57,1
Sreenath Aravind,290632,not out ,8,5,15,1,0,160.0,1
Yuzvendra Chahal,430246,not out ,4,9,10,0,0,44.44,1
