Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Imam-ul-Haq,568276,c Phehlukwayo b Rabada,5,14,19,0,0,35.71,0
Fakhar Zaman,512191,c Miller b Olivier,26,44,65,3,0,59.09,0
Babar Azam,348144,c Phehlukwayo b Rabada,12,15,18,2,0,80.0,0
Mohammad Hafeez,41434,c du Plessis b Phehlukwayo,9,11,21,1,0,81.82,0
Shoaib Malik,42657,c Hendricks b Phehlukwayo,21,34,75,1,0,61.76,0
Shadab Khan,922943,c van der Dussen b Shamsi,18,33,34,1,1,54.55,0
Hussain Talat,628240,st †Klaasen b Shamsi,2,14,16,0,0,14.29,0
Sarfaraz Ahmed (c)†,227760, b Phehlukwayo,41,59,79,2,0,69.49,0
Faheem Ashraf,681117,lbw b Shamsi,0,5,8,0,0,0.0,0
Hasan Ali,681305,c du Plessis b Phehlukwayo,59,45,55,5,3,131.11,0
Shaheen Shah Afridi,1072470,not out ,1,1,3,0,0,100.0,0
Reeza Hendricks,269280,c †Sarfraz Ahmed b Shaheen Shah Afridi,5,9,15,1,0,55.56,1
Hashim Amla,43906, b Shaheen Shah Afridi,8,5,7,2,0,160.0,1
Rassie van der Dussen,337790,not out ,80,123,177,9,0,65.04,1
Faf du Plessis (c),44828,c †Sarfraz Ahmed b Shaheen Shah Afridi,8,8,8,2,0,100.0,1
David Miller,321777,c Imam-ul-Haq b Shadab Khan,31,26,37,5,0,119.23,1
Heinrich Klaasen †,436757, b Shadab Khan,0,1,3,0,0,0.0,1
Andile Phehlukwayo,540316,not out ,69,80,115,7,2,86.25,1
