Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Rohit Sharma,34102,c †Latham b Boult,80,55,85,6,4,145.45,0
Shikhar Dhawan,28235,c †Latham b Sodhi,80,52,68,10,2,153.85,0
Hardik Pandya,625371,c †Latham b Sodhi,0,2,1,0,0,0.0,0
Virat Kohli (c),253802,not out ,26,11,19,0,3,236.36,0
MS Dhoni †,28081,not out ,7,2,4,0,1,350.0,0
Martin Guptill,226492,c Pandya b Chahal,4,8,8,1,0,50.0,1
Colin Munro,232359, b Kumar,7,8,20,0,0,87.5,1
Kane Williamson (c),277906,c †Dhoni b Pandya,28,24,37,1,1,116.67,1
Tom Latham †,388802,st †Dhoni b Chahal,39,36,54,3,1,108.33,1
Tom Bruce,707113,c Sharma b Patel,10,10,13,1,0,100.0,1
Colin de Grandhomme,55395,c Dhawan b Patel,0,1,2,0,0,0.0,1
Henry Nicholls,539511,run out (Kohli),6,7,8,1,0,85.71,1
Mitchell Santner,502714,not out ,27,14,24,2,2,192.86,1
Tim Southee,232364,c †Dhoni b Bumrah,8,4,6,2,0,200.0,1
Ish Sodhi,559066,not out ,11,9,14,2,0,122.22,1
