Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
David Warner (c),219889,c Iqbal Abdulla b Aravind,69,38,58,8,3,181.58,0
Shikhar Dhawan,28235,c Jordan b Chahal,28,25,27,3,1,112.0,0
Moises Henriques,5961,c Chahal b Jordan,4,5,12,0,0,80.0,0
Yuvraj Singh,36084,c Watson b Jordan,38,23,32,4,2,165.22,0
Deepak Hooda,497121,c Kohli b Aravind,3,6,9,0,0,50.0,0
Ben Cutting,230371,not out ,39,15,26,3,4,260.0,0
Naman Ojha †,32102,run out (Watson),7,4,6,1,0,175.0,0
Bipul Sharma,35928,c Chahal b Jordan,5,3,6,1,0,166.67,0
Bhuvneshwar Kumar,326016,not out ,1,1,7,0,0,100.0,0
Chris Gayle,51880,c Bipul Sharma b Cutting,76,38,53,4,8,200.0,1
Virat Kohli (c),253802, b Sran,54,35,63,5,2,154.29,1
AB de Villiers,44936,c Henriques b Bipul Sharma,5,6,15,0,0,83.33,1
KL Rahul †,422108, b Cutting,11,9,16,1,0,122.22,1
Shane Watson,8180,c Henriques b Mustafizur Rahman,11,9,16,0,1,122.22,1
Sachin Baby,432783,not out ,18,10,28,1,1,180.0,1
Stuart Binny,27223,run out (Hooda/†Ojha),9,7,10,0,1,128.57,1
Chris Jordan,288992,run out (†Ojha),3,4,7,0,0,75.0,1
Iqbal Abdulla,277237,not out ,4,2,3,1,0,200.0,1
