Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Imam-ul-Haq †,568276,c & b Wiese,24,19,0,2,126.32,0
Haider Ali,1168651, b Shaheen Shah Afridi,0,1,0,0,0.0,0
Sohaib Maqsood,43266,c Fakhar Zaman b Dilbar Hussain,16,17,1,1,94.12,0
Faf du Plessis,44828,c †Dunk b Dilbar Hussain,31,25,1,1,124.0,0
Shoaib Malik,42657,c †Dunk b Dilbar Hussain,39,24,2,2,162.5,0
Mohammad Imran,916727,c Fakhar Zaman b Wiese,8,4,0,1,200.0,0
Carlos Brathwaite,457249,c Mohammad Hafeez b Shaheen Shah Afridi,10,8,1,0,125.0,0
Hardus Viljoen,375126,c Sohail Akhtar b Haris Rauf,37,16,3,3,231.25,0
Wahab Riaz (c),43590,c Sohail Akhtar b Haris Rauf,0,3,0,0,0.0,0
Saqib Mahmood,643885,not out ,2,3,0,0,66.67,0
Fakhar Zaman,512191,c †Imam-ul-Haq b Mahmood,6,7,1,0,85.71,1
Tamim Iqbal,56194,c †Imam-ul-Haq b Mahmood,18,10,2,1,180.0,1
Sohail Akhtar (c),532424,c Wahab Riaz b Mahmood,7,8,1,0,87.5,1
Mohammad Hafeez,41434,not out ,74,46,9,2,160.87,1
Ben Dunk †,388678,c Brathwaite b Mohammad Imran,20,19,2,0,105.26,1
Samit Patel,18632,c Viljoen b Rahat Ali,20,17,3,0,117.65,1
David Wiese,221140,not out ,16,7,0,2,228.57,1
