Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Tom Banton,877051,c Morris b Tremain,56,19,2,7,294.74,0
Chris Lynn (c),326637,c Ross b Doggett,31,13,3,2,238.46,0
Ben Cutting,230371,not out ,7,6,1,0,116.67,0
Max Bryant,1088608,c Morris b Sams,12,4,1,1,300.0,0
Matt Renshaw,722303,c Nair b Sams,0,2,0,0,0.0,0
Jack Prestwidge,977451,not out ,9,4,2,0,225.0,0
Usman Khawaja,215155, b Zahir Khan,11,8,0,1,137.5,1
Alex Hales,249866,not out ,20,9,2,1,222.22,1
Callum Ferguson (c),5236,c Swepson b Laughlin,5,4,1,0,125.0,1
Chris Morris,439952, b Prestwidge,4,2,1,0,200.0,1
Daniel Sams,826901,c Laughlin b Prestwidge,10,3,1,1,333.33,1
Alex Ross,333624,not out ,8,4,1,0,200.0,1
