Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Kraigg Brathwaite,348024,c †Sarfaraz Ahmed b Mohammad Amir,9,18,23,1,0,50.0,0
Kieran Powell,252932,lbw b Mohammad Amir,38,83,147,5,0,45.78,0
Shimron Hetmyer,670025,c Azhar Ali b Mohammad Abbas,1,4,5,0,0,25.0,0
Shai Hope,581379,c †Sarfaraz Ahmed b Yasir Shah,5,30,52,0,0,16.67,0
Roston Chase,391832,c Younis Khan b Mohammad Amir,131,210,317,17,0,62.38,0
Vishaul Singh,399276,c Younis Khan b Mohammad Abbas,3,13,15,0,0,23.08,0
Shane Dowrich †,431905,c Younis Khan b Shadab Khan,29,54,66,5,0,53.7,0
Jason Holder (c),391485,c †Sarfaraz Ahmed b Mohammad Abbas,58,128,164,8,0,45.31,0
Devendra Bishoo,341593,c Yasir Shah b Mohammad Abbas,14,26,40,1,0,53.85,0
Alzarri Joseph,670031, b Yasir Shah,8,22,42,1,0,36.36,0
Shannon Gabriel,446101,not out ,0,5,7,0,0,0.0,0
Azhar Ali,39037,c †Dowrich b Bishoo,105,278,452,9,0,37.77,1
Ahmed Shehzad,259410,c Hope b Bishoo,70,191,245,8,0,36.65,1
Babar Azam,348144,c & b Gabriel,0,2,5,0,0,0.0,1
Younis Khan,43652,c Gabriel b Bishoo,0,9,16,0,0,0.0,1
Misbah-ul-Haq (c),41378,c Hope b Holder,99,201,258,9,2,49.25,1
Asad Shafiq,316397,lbw b Holder,15,66,98,2,0,22.73,1
Sarfaraz Ahmed †,227760,c Powell b Gabriel,9,13,16,2,0,69.23,1
Shadab Khan,922943,c Chase b Gabriel,16,34,72,2,0,47.06,1
Mohammad Amir,290948,c Hope b Holder,10,22,37,0,0,45.45,1
Yasir Shah,43685,c †Dowrich b Gabriel,24,31,41,3,1,77.42,1
Mohammad Abbas,389666,not out ,1,5,11,0,0,20.0,1
Kraigg Brathwaite,348024,c Younis Khan b Yasir Shah,43,111,143,4,0,38.74,2
Kieran Powell,252932,c †Sarfaraz Ahmed b Mohammad Abbas,6,4,8,1,0,150.0,2
Shimron Hetmyer,670025, b Mohammad Amir,22,40,65,4,0,55.0,2
Shai Hope,581379,c Azhar Ali b Yasir Shah,90,209,314,8,1,43.06,2
Roston Chase,391832,c & b Yasir Shah,23,83,113,2,0,27.71,2
Vishaul Singh,399276, b Mohammad Abbas,32,89,132,2,0,35.96,2
Shane Dowrich †,431905,c Asad Shafiq b Yasir Shah,2,10,44,0,0,20.0,2
Jason Holder (c),391485,c Younis Khan b Yasir Shah,1,5,6,0,0,20.0,2
Devendra Bishoo,341593,c Azhar Ali b Yasir Shah,20,53,57,2,0,37.74,2
Alzarri Joseph,670031,c Mohammad Amir b Yasir Shah,7,11,11,1,0,63.64,2
Shannon Gabriel,446101,not out ,0,3,12,0,0,0.0,2
Azhar Ali,39037,c Hetmyer b Gabriel,10,22,33,2,0,45.45,3
Ahmed Shehzad,259410,lbw b Joseph,14,61,117,2,0,22.95,3
Babar Azam,348144,c †Dowrich b Joseph,0,2,6,0,0,0.0,3
Younis Khan,43652,lbw b Holder,5,16,33,1,0,31.25,3
Misbah-ul-Haq (c),41378,c Hope b Gabriel,0,8,15,0,0,0.0,3
Asad Shafiq,316397,c Powell b Gabriel,0,2,2,0,0,0.0,3
Sarfaraz Ahmed †,227760,c Chase b Holder,23,50,98,2,0,46.0,3
Shadab Khan,922943,c †Dowrich b Holder,1,6,6,0,0,16.67,3
Mohammad Amir,290948,c Singh b Gabriel,20,34,42,4,0,58.82,3
Yasir Shah,43685, b Gabriel,0,8,14,0,0,0.0,3
Mohammad Abbas,389666,not out ,0,2,6,0,0,0.0,3
