Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
D'Arcy Short,308798,c Kuldeep Yadav b Ahmed,7,12,1,0,58.33,0
Aaron Finch (c),5334,c Ahmed b Kuldeep Yadav,27,24,3,0,112.5,0
Chris Lynn,326637,c & b Kuldeep Yadav,37,20,1,4,185.0,0
Glenn Maxwell,325026,c Kumar b Bumrah,46,24,0,4,191.67,0
Marcus Stoinis,325012,not out ,33,19,3,1,173.68,0
Ben McDermott,603410,not out ,2,3,0,0,66.67,0
Rohit Sharma,34102,c Finch b Behrendorff,7,8,0,0,87.5,1
Shikhar Dhawan,28235,c Behrendorff b Stanlake,76,42,10,2,180.95,1
KL Rahul,422108,st †Carey b Zampa,13,12,1,0,108.33,1
Virat Kohli (c),253802,c Lynn b Zampa,4,8,0,0,50.0,1
Rishabh Pant †,931581,c Behrendorff b Tye,20,16,1,1,125.0,1
Dinesh Karthik,30045,c Behrendorff b Stoinis,30,13,4,1,230.77,1
Krunal Pandya,471342,c Maxwell b Stoinis,2,4,0,0,50.0,1
Bhuvneshwar Kumar,326016,not out ,1,1,0,0,100.0,1
Kuldeep Yadav,559235,not out ,4,1,1,0,400.0,1
