Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Dimuth Karunaratne,227772,c Mehidy Hasan Miraz b Mustafizur Rahman,7,32,42,1,0,21.88,0
Upul Tharanga,50747,c Soumya Sarkar b Mehidy Hasan Miraz,11,40,77,1,0,27.5,0
Kusal Mendis,629074,st †Mushfiqur Rahim b Mehidy Hasan Miraz,5,6,18,1,0,83.33,0
Dinesh Chandimal,300628,c Mosaddek Hossain b Mehidy Hasan Miraz,138,300,413,10,1,46.0,0
Asela Gunaratne,360456,lbw b Subashis Roy,13,39,41,1,0,33.33,0
Dhananjaya de Silva,465793, b Taijul Islam,34,54,92,5,0,62.96,0
Niroshan Dickwella †,429754, b Shakib Al Hasan,34,37,53,4,0,91.89,0
Dilruwan Perera,49920,c Soumya Sarkar b Mustafizur Rahman,9,20,22,0,1,45.0,0
Rangana Herath (c),49178,c Soumya Sarkar b Shakib Al Hasan,25,91,117,2,0,27.47,0
Suranga Lakmal,49619,c Soumya Sarkar b Subashis Roy,35,45,101,2,1,77.78,0
Lakshan Sandakan,429738,not out ,5,19,31,0,0,26.32,0
Tamim Iqbal,56194,lbw b Herath,49,91,106,6,0,53.85,1
Soumya Sarkar,436677, b Sandakan,61,121,154,6,0,50.41,1
Imrul Kayes,280734,lbw b Sandakan,34,78,120,4,0,43.59,1
Sabbir Rahman,373538,c de Silva b Lakmal,42,54,82,5,0,77.78,1
Taijul Islam,401057,lbw b Sandakan,0,1,3,0,0,0.0,1
Shakib Al Hasan,56143,c Chandimal b Sandakan,116,159,251,10,0,72.96,1
Mushfiqur Rahim (c)†,56029, b Lakmal,52,81,101,6,0,64.2,1
Mosaddek Hossain,550133,st †Dickwella b Herath,75,155,221,7,2,48.39,1
Mehidy Hasan Miraz,629063,lbw b Herath,24,50,53,2,0,48.0,1
Mustafizur Rahman,330902,lbw b Herath,0,1,2,0,0,0.0,1
Subashis Roy,301847,not out ,0,14,26,0,0,0.0,1
Dimuth Karunaratne,227772,c Soumya Sarkar b Shakib Al Hasan,126,244,352,10,1,51.64,2
Upul Tharanga,50747, b Mehidy Hasan Miraz,26,40,62,3,0,65.0,2
Kusal Mendis,629074,c †Mushfiqur Rahim b Mustafizur Rahman,36,91,127,2,0,39.56,2
Dinesh Chandimal,300628,c †Mushfiqur Rahim b Mustafizur Rahman,5,13,23,1,0,38.46,2
Asela Gunaratne,360456,lbw b Shakib Al Hasan,7,15,15,1,0,46.67,2
Dhananjaya de Silva,465793,c †Mushfiqur Rahim b Mustafizur Rahman,0,7,9,0,0,0.0,2
Niroshan Dickwella †,429754,c †Mushfiqur Rahim b Shakib Al Hasan,5,15,22,0,0,33.33,2
Dilruwan Perera,49920,run out (Subashis Roy/Mehidy Hasan Miraz),50,174,239,6,0,28.74,2
Rangana Herath (c),49178,lbw b Taijul Islam,9,32,53,0,0,28.12,2
Suranga Lakmal,49619,c Mosaddek Hossain b Shakib Al Hasan,42,48,99,4,0,87.5,2
Lakshan Sandakan,429738,not out ,0,1,5,0,0,0.0,2
Tamim Iqbal,56194,c Chandimal b Perera,82,125,137,7,1,65.6,3
Soumya Sarkar,436677,c Tharanga b Herath,10,26,26,2,0,38.46,3
Imrul Kayes,280734,c Gunaratne b Herath,0,1,2,0,0,0.0,3
Sabbir Rahman,373538,lbw b Perera,41,76,124,5,0,53.95,3
Shakib Al Hasan,56143, b Perera,15,43,44,1,0,34.88,3
Mushfiqur Rahim (c)†,56029,not out ,22,45,63,1,0,48.89,3
Mosaddek Hossain,550133,c †Dickwella b Herath,13,28,31,2,0,46.43,3
Mehidy Hasan Miraz,629063,not out ,2,3,2,0,0,66.67,3
