Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Martin Guptill,226492,run out (Thakur/†Rahul),79,79,123,8,3,100.0,0
Henry Nicholls,539511,lbw b Chahal,41,59,77,5,0,69.49,0
Tom Blundell,440516,c Saini b Thakur,22,25,34,3,0,88.0,0
Ross Taylor,38699,not out ,73,74,111,6,2,98.65,0
Tom Latham (c)†,388802,lbw b Jadeja,7,14,15,0,0,50.0,0
James Neesham,355269,run out (Jadeja),3,5,7,0,0,60.0,0
Colin de Grandhomme,55395,c Iyer b Thakur,5,8,10,1,0,62.5,0
Mark Chapman,438563,c & b Chahal,1,2,2,0,0,50.0,0
Tim Southee,232364,c Saini b Chahal,3,10,17,0,0,30.0,0
Kyle Jamieson,625960,not out ,25,24,43,1,2,104.17,0
Prithvi Shaw,1070168, b Jamieson,24,19,23,6,0,126.32,1
Mayank Agarwal,398438,c Taylor b Bennett,3,5,12,0,0,60.0,1
Virat Kohli (c),253802, b Southee,15,25,31,1,0,60.0,1
Shreyas Iyer,642519,c †Latham b Bennett,52,57,101,7,1,91.23,1
KL Rahul †,422108, b de Grandhomme,4,8,17,0,0,50.0,1
Kedar Jadhav,290716,c Nicholls b Southee,9,27,33,1,0,33.33,1
Ravindra Jadeja,234675,c de Grandhomme b Neesham,55,73,130,2,1,75.34,1
Shardul Thakur,475281, b de Grandhomme,18,15,20,3,0,120.0,1
Navdeep Saini,700167, b Jamieson,45,49,58,5,2,91.84,1
Yuzvendra Chahal,430246,run out (Neesham/†Latham),10,12,19,1,0,83.33,1
Jasprit Bumrah,625383,not out ,0,1,3,0,0,0.0,1
