Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Aaron Finch (c),5334,c Siriwardana b Prasanna,53,32,5,3,165.62,0
Michael Klinger,6161,run out (Shanaka/†Mendis),62,43,6,1,144.19,0
Ben Dunk,388678,c Prasanna b Shanaka,28,21,2,2,133.33,0
Travis Head,530011,c Kapugedera b Malinga,30,16,1,2,187.5,0
Moises Henriques,5961,not out ,2,3,0,0,66.67,0
Ashton Turner,500268,c Kapugedera b Malinga,1,2,0,0,50.0,0
James Faulkner,270484,c Kapugedera b Shanaka,2,2,0,0,100.0,0
Tim Paine †,7252,not out ,1,2,0,0,50.0,0
Dilshan Munaweera,304735,c Turner b Head,37,25,3,2,148.0,1
Upul Tharanga (c),50747,c Richardson b Faulkner,14,12,1,1,116.67,1
Kusal Mendis †,629074,c Cummins b Richardson,14,10,2,0,140.0,1
Asela Gunaratne,360456,lbw b Zampa,4,5,0,0,80.0,1
Milinda Siriwardana,222354,c & b Faulkner,35,27,1,2,129.63,1
Chamara Kapugedera,209457, b Zampa,7,6,1,0,116.67,1
Dasun Shanaka,437316,lbw b Zampa,0,2,0,0,0.0,1
Seekkuge Prasanna,268740,c Richardson b Faulkner,12,8,2,0,150.0,1
Nuwan Kulasekara,49535,not out ,8,7,1,0,114.29,1
Lasith Malinga,49758,run out (Finch),1,3,0,0,33.33,1
Vikum Sanjaya,422092,run out (†Paine/Dunk),5,3,1,0,166.67,1
