Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Josh Inglis †,662235, b Zahir Khan,27,19,3,1,142.11,0
Liam Livingstone,403902,lbw b Zahir Khan,12,10,2,0,120.0,0
Cameron Bancroft,501011,c Cutting b Lalor,50,42,2,1,119.05,0
Ashton Turner,500268,c Renshaw b Cutting,14,16,0,0,87.5,0
Mitchell Marsh (c),272450,c Heazlett b Laughlin,26,19,1,2,136.84,0
Ashton Agar,505120,c †Peirson b Laughlin,14,11,0,1,127.27,0
Cameron Green,1076713,not out ,3,2,0,0,150.0,0
Chris Jordan,288992,not out ,2,1,0,0,200.0,0
Tom Banton,877051,lbw b Richardson,7,10,0,0,70.0,1
Max Bryant,1088608,st †Inglis b Agar,6,6,1,0,100.0,1
Chris Lynn (c),326637,c Jordan b Fawad Ahmed,14,21,2,0,66.67,1
Matt Renshaw,722303,c & b Jordan,1,4,0,0,25.0,1
Sam Heazlett,826679,lbw b Kelly,12,8,1,1,150.0,1
Jimmy Peirson †,444970,c †Inglis b Agar,6,10,0,0,60.0,1
Ben Cutting,230371, b Fawad Ahmed,1,6,0,0,16.67,1
Mark Steketee,555853, b Fawad Ahmed,13,14,2,0,92.86,1
Josh Lalor,272385,c Agar b Livingstone,8,10,0,0,80.0,1
Ben Laughlin,315623,c Livingstone b Kelly,17,13,2,1,130.77,1
Zahir Khan,712219,not out ,19,10,1,1,190.0,1
