Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,4s,6s,Strike_Rate,Innings
Aaron Finch (c),5334,lbw b Mohammad Hasnain,39,42,5,1,92.86,0
Usman Khawaja,215155,lbw b Yasir Shah,62,78,6,0,79.49,0
Shaun Marsh,6683,st †Mohammad Rizwan b Imad Wasim,5,16,0,0,31.25,0
Peter Handscomb,334337,c Haris Sohail b Imad Wasim,7,11,0,0,63.64,0
Marcus Stoinis,325012, b Yasir Shah,2,3,0,0,66.67,0
Glenn Maxwell,325026,run out (Shan Masood/†Mohammad Rizwan),98,82,9,3,119.51,0
Alex Carey †,326434,c Haris Sohail b Mohammad Hasnain,55,67,3,0,82.09,0
Nathan Coulter-Nile,261354,not out ,2,2,0,0,100.0,0
Shan Masood,233901, b Coulter-Nile,0,5,0,0,0.0,1
Abid Ali,39950,c Finch b Zampa,112,119,9,0,94.12,1
Haris Sohail,318788,c Maxwell b Lyon,25,43,1,0,58.14,1
Mohammad Rizwan †,323389,c Handscomb b Stoinis,104,102,9,1,101.96,1
Umar Akmal,317273, b Coulter-Nile,7,9,0,0,77.78,1
Saad Ali,547085,c Richardson b Coulter-Nile,7,12,0,0,58.33,1
Imad Wasim (c),227758,c Marsh b Richardson,1,5,0,0,20.0,1
Yasir Shah,43685,not out ,3,3,0,0,100.0,1
Usman Shinwari,697279,c Handscomb b Stoinis,6,2,0,1,300.0,1
Junaid Khan,259551,not out ,0,0,0,0,,1
