Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Aditya Tare,333904,c †Dhoni b Chahar,0,5,6,0,0,0.0,0
Sam Billings,297628, b Imran Tahir,24,17,42,4,0,141.18,0
Sanju Samson,425943, b Zampa,102,63,82,8,5,161.9,0
Rishabh Pant †,931581,run out (Agarwal),31,22,30,1,2,140.91,0
Corey Anderson,277662,not out ,2,4,23,0,0,50.0,0
Chris Morris,439952,not out ,38,9,7,4,3,422.22,0
Ajinkya Rahane (c),277916,c Samson b Khan,10,9,13,0,0,111.11,1
Mayank Agarwal,398438,c Morris b Khan,20,18,22,2,0,111.11,1
Faf du Plessis,44828,c †Pant b Nadeem,8,7,18,1,0,114.29,1
Rahul Tripathi,446763,c Nadeem b Morris,10,5,5,2,0,200.0,1
Ben Stokes,311158,c †Pant b Cummins,2,5,9,0,0,40.0,1
MS Dhoni †,28081,c Nair b Mishra,11,14,23,0,1,78.57,1
Rajat Bhatia,26907,c Morris b Mishra,16,17,23,0,1,94.12,1
Deepak Chahar,447261,c †Pant b Khan,14,6,10,0,2,233.33,1
Adam Zampa,379504,c Samson b Mishra,5,7,11,1,0,71.43,1
Ashok Dinda,227712,c Mishra b Cummins,7,7,12,1,0,100.0,1
Imran Tahir,40618,not out ,0,2,5,0,0,0.0,1
