Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
KL Rahul,422108,c Richardson b Coulter-Nile,47,26,36,3,4,180.77,0
Shikhar Dhawan,28235,c Stoinis b Behrendorff,14,24,48,1,0,58.33,0
Virat Kohli (c),253802,not out ,72,38,63,2,6,189.47,0
Rishabh Pant,931581,c Richardson b Short,1,6,6,0,0,16.67,0
MS Dhoni †,28081,c Finch b Cummins,40,23,39,3,3,173.91,0
Dinesh Karthik,30045,not out ,8,3,4,2,0,266.67,0
D'Arcy Short,308798,c Rahul b Shankar,40,28,55,6,0,142.86,1
Marcus Stoinis,325012, b Kaul,7,11,11,1,0,63.64,1
Aaron Finch (c),5334,c Dhawan b Shankar,8,7,8,1,0,114.29,1
Glenn Maxwell,325026,not out ,113,55,74,7,9,205.45,1
Peter Handscomb †,334337,not out ,20,18,39,1,0,111.11,1
