Batsman_Name,Player_link,Bowler/Catcher,Runs,Balls,Minutes_Batted,4s,6s,Strike_Rate,Innings
Kane Williamson (c),277906, b Rubel Hossain,60,57,88,6,1,105.26,0
James Neesham,355269,lbw b Rubel Hossain,15,12,19,3,0,125.0,0
Colin Munro,232359,c Soumya Sarkar b Rubel Hossain,0,3,3,0,0,0.0,0
Tom Bruce,707113,c Imrul Kayes b Mosaddek Hossain,5,4,6,1,0,125.0,0
Corey Anderson,277662,not out ,94,41,68,2,10,229.27,0
Colin de Grandhomme,55395,not out ,4,3,10,0,0,133.33,0
Tamim Iqbal,56194,c de Grandhomme b Boult,24,15,18,3,1,160.0,1
Soumya Sarkar,436677,c & b Sodhi,42,28,35,6,0,150.0,1
Sabbir Rahman,373538, b Williamson,18,16,27,2,0,112.5,1
Shakib Al Hasan,56143,c Anderson b Boult,41,34,43,4,0,120.59,1
Mahmudullah,56025, b Sodhi,18,14,12,3,0,128.57,1
Mosaddek Hossain,550133,c de Grandhomme b Santner,12,7,13,2,0,171.43,1
Nurul Hasan †,410765,not out ,7,5,8,1,0,140.0,1
Rubel Hossain,300619,not out ,1,1,2,0,0,100.0,1
