PlayType_description,Batting_Team_id,Batting_Team_name,Bowling_Team_id,Bowling_Team_name,Innings,Total_Runs_on_delivery,Commentary,Commentary_short,Score,Bowler_id,Bowler_name,Bowler_maiden,Bowler_balls,Bowler_wickets,Bowler_over,Bowler_conceded,Other_Bowler_id,Other_Bowler_name,Other_Bowler_maidens,Other_Bowler_balls,Other_Bowler_wickets,Other_Bowler_overs,Other_Bowler_conceded,Batsman_id,Batsman_name,Batsman_runs,Batsman_balls_faced,Batsman_four,Batsman_sixes,Other_Batsman_id,Other_Batsman_name,Other_Batsman_runs,Other_Batsman_balls_faced,Other_Batsman_four,Other_Batsman_sixes,Over_ball,Over_complete,Over_maiden,Over_no_Ball,Over_wide,Over_byes,Over_leg_byes,Over_number,Over_runs,Over_wickets,Dismissal_is_true,Dismissal_type,Dismissal_fielder_iskeeper,Dismissal_text,Innings_run_rate,Innings_byes,Innings_balls,Innings_no_balls,Innings_wickets,Innings_leg_byes,Innings_session,Innings_day,Innings_wides,Innings_runs
no run,25,Bangladesh,40,Afghanistan,1st innings,0,"low full-toss, dips on middle, Liton shuffles across off stump and bunts it to midwicket","Mujeeb Ur Rahman to Liton Das, no run",0/0,974109,Mujeeb Ur Rahman,0,1,0,0.1,0,False,False,0,0,0,False,0,536936,Liton Das,0,1,0,0,56194,Tamim Iqbal,0,0,0,0,1,False,0,0,0,0,0,1,1,0,False,,False,False,0.0,0,1,0,0,0,1,1,0,0
run,25,Bangladesh,40,Afghanistan,1st innings,1,"wide of the crease, sliding in with the arm, this full ball is driven down to long-on for one","Mujeeb Ur Rahman to Liton Das, 1 run",1/0,974109,Mujeeb Ur Rahman,0,2,0,0.2,1,False,False,0,0,0,False,0,536936,Liton Das,1,2,0,0,56194,Tamim Iqbal,0,0,0,0,2,False,0,0,0,0,0,1,1,0,False,,False,False,3.0,0,2,0,0,0,1,1,0,1
no run,25,Bangladesh,40,Afghanistan,1st innings,0,"straight ball on middle from round the stumps, forward and smothered","Mujeeb Ur Rahman to Tamim Iqbal, no run",1/0,974109,Mujeeb Ur Rahman,0,3,0,0.3,1,False,False,0,0,0,False,0,56194,Tamim Iqbal,0,1,0,0,536936,Liton Das,1,2,0,0,3,False,0,0,0,0,0,1,1,0,False,,False,False,2.0,0,3,0,0,0,1,1,0,1
no run,25,Bangladesh,40,Afghanistan,1st innings,0,"Tamim dares to charge down the track to the mystery spinner, he is nowhere close to the pitch of the ball. He can only hack it back to the bowler","Mujeeb Ur Rahman to Tamim Iqbal, no run",1/0,974109,Mujeeb Ur Rahman,0,4,0,0.4,1,False,False,0,0,0,False,0,56194,Tamim Iqbal,0,2,0,0,536936,Liton Das,1,2,0,0,4,False,0,0,0,0,0,1,1,0,False,,False,False,1.5,0,4,0,0,0,1,1,0,1
no run,25,Bangladesh,40,Afghanistan,1st innings,0,"pushed through on middle and leg, not much turn either way, Tamim presses forward and drops the ball to the leg side","Mujeeb Ur Rahman to Tamim Iqbal, no run",1/0,974109,Mujeeb Ur Rahman,0,5,0,0.5,1,False,False,0,0,0,False,0,56194,Tamim Iqbal,0,3,0,0,536936,Liton Das,1,2,0,0,5,False,0,0,0,0,0,1,1,0,False,,False,False,1.2,0,5,0,0,0,1,1,0,1
no run,25,Bangladesh,40,Afghanistan,1st innings,0,"skidding into the pads, Tamim can only clip it as far as square leg. Good over first-up from Mujeeb","Mujeeb Ur Rahman to Tamim Iqbal, no run",1/0,974109,Mujeeb Ur Rahman,0,6,0,1.0,1,False,False,0,0,0,False,0,56194,Tamim Iqbal,0,4,0,0,536936,Liton Das,1,2,0,0,6,True,0,0,0,0,0,1,1,0,False,,False,False,1.0,0,6,0,0,0,1,1,0,1
out,25,Bangladesh,40,Afghanistan,1st innings,0,"He runs in from over the wicket and strikes first ball. He pumps his fist repeatedly and then punches his hand into the ground. Banged in short and angling away from the right-handed Liton. He aims to pull it against the angle but can't control the shot. He ends up short-arming it to Rashid - yes, that man - at deep square leg","Shapoor Zadran to Liton Das, OUT",1/1,319746,Shapoor Zadran,0,1,1,0.1,0,974109,Mujeeb Ur Rahman,0,6,0,1.0,1,536936,Liton Das,1,3,0,0,56194,Tamim Iqbal,0,4,0,0,1,False,0,0,0,0,0,2,8,1,True,caught,False,Liton Das c Rashid Khan b Shapoor Zadran 1 (3b 0x4 0x6) SR: 33.33,0.85,0,7,0,1,0,1,1,0,1
wide,25,Bangladesh,40,Afghanistan,1st innings,1,"Shapoor finds some swing but the the line is down leg, away from the reach of Tamim, leg-side wide","Shapoor Zadran to Tamim Iqbal, 1 wide",2/1,319746,Shapoor Zadran,0,1,1,0.1,1,974109,Mujeeb Ur Rahman,0,6,0,1.0,1,56194,Tamim Iqbal,0,4,0,0,373538,Sabbir Rahman,0,0,0,0,2,False,0,0,1,0,0,2,8,1,False,,False,False,1.71,0,7,0,1,0,1,1,1,2
run,25,Bangladesh,40,Afghanistan,1st innings,2,"pretty full and sliding into the pads of Tamim, who whips it with a flourish to long leg for a couple of runs","Shapoor Zadran to Tamim Iqbal, 2 runs",4/1,319746,Shapoor Zadran,0,2,1,0.2,3,974109,Mujeeb Ur Rahman,0,6,0,1.0,1,56194,Tamim Iqbal,2,5,0,0,373538,Sabbir Rahman,0,0,0,0,3,False,0,0,0,0,0,2,8,1,False,,False,False,3.0,0,8,0,1,0,1,1,0,4
four,25,Bangladesh,40,Afghanistan,1st innings,4,"full and straight, Tamim leans into a drive and hits it languidly to the left of mid-on. Gorgeous timing and placement","Shapoor Zadran to Tamim Iqbal, FOUR runs",8/1,319746,Shapoor Zadran,0,3,1,0.3,7,974109,Mujeeb Ur Rahman,0,6,0,1.0,1,56194,Tamim Iqbal,6,6,1,0,373538,Sabbir Rahman,0,0,0,0,4,False,0,0,0,0,0,2,8,1,False,,False,False,5.33,0,9,0,1,0,1,1,0,8
