PlayType_description,Batting_Team_id,Batting_Team_name,Bowling_Team_id,Bowling_Team_name,Innings,Total_Runs_on_delivery,Commentary,Commentary_short,Score,Bowler_id,Bowler_name,Bowler_maiden,Bowler_balls,Bowler_wickets,Bowler_over,Bowler_conceded,Other_Bowler_id,Other_Bowler_name,Other_Bowler_maidens,Other_Bowler_balls,Other_Bowler_wickets,Other_Bowler_overs,Other_Bowler_conceded,Batsman_id,Batsman_name,Batsman_runs,Batsman_balls_faced,Batsman_four,Batsman_sixes,Other_Batsman_id,Other_Batsman_name,Other_Batsman_runs,Other_Batsman_balls_faced,Other_Batsman_four,Other_Batsman_sixes,Over_ball,Over_complete,Over_maiden,Over_no_Ball,Over_wide,Over_byes,Over_leg_byes,Over_number,Over_runs,Over_wickets,Dismissal_is_true,Dismissal_type,Dismissal_fielder_iskeeper,Dismissal_text,Innings_run_rate,Innings_byes,Innings_balls,Innings_no_balls,Innings_wickets,Innings_leg_byes,Innings_session,Innings_day,Innings_wides,Innings_runs
no run,9,Zimbabwe,7,Pakistan,1st innings,0,"Full ball, on off stump, Taylor gets well forward and defends to off side","Mohammad Hasnain to Taylor, no run",0/0,1158100,Mohammad Hasnain,0,1,0,0.1,0,False,False,0,0,0,False,0,55814,Brendan Taylor,0,1,0,0,False,False,0,0,0,0,1,False,0,0,0,0,0,1,4,0,False,,False,False,0.0,0,1,0,0,0,0,0,0,0
run,9,Zimbabwe,7,Pakistan,1st innings,2,,"Mohammad Hasnain to Taylor, 2 runs",2/0,1158100,Mohammad Hasnain,0,2,0,0.2,2,False,False,0,0,0,False,0,55814,Brendan Taylor,2,2,0,0,False,False,0,0,0,0,2,False,0,0,0,0,0,1,4,0,False,,False,False,6.0,0,2,0,0,0,0,0,0,2
no run,9,Zimbabwe,7,Pakistan,1st innings,0,"Full ball, on off stump, defended to off side","Mohammad Hasnain to Taylor, no run",2/0,1158100,Mohammad Hasnain,0,3,0,0.3,2,False,False,0,0,0,False,0,55814,Brendan Taylor,2,3,0,0,False,False,0,0,0,0,3,False,0,0,0,0,0,1,4,0,False,,False,False,4.0,0,3,0,0,0,0,0,0,2
run,9,Zimbabwe,7,Pakistan,1st innings,1,"good length ball, just outside off, angles it to third man for a single","Mohammad Hasnain to Taylor, 1 run",3/0,1158100,Mohammad Hasnain,0,4,0,0.4,3,False,False,0,0,0,False,0,55814,Brendan Taylor,3,4,0,0,False,False,0,0,0,0,4,False,0,0,0,0,0,1,4,0,False,,False,False,4.5,0,4,0,0,0,0,0,0,3
run,9,Zimbabwe,7,Pakistan,1st innings,1,"full ball, on off stump, drives to wide of mid-off for a quick single","Mohammad Hasnain to Chibhabha, 1 run",4/0,1158100,Mohammad Hasnain,0,5,0,0.5,4,False,False,0,0,0,False,0,55354,Chamu Chibhabha,1,1,0,0,55814,Brendan Taylor,3,4,0,0,5,False,0,0,0,0,0,1,4,0,False,,False,False,4.8,0,5,0,0,0,0,0,0,4
no run,9,Zimbabwe,7,Pakistan,1st innings,0,"back of length, on target, comes forward and defended to cover","Mohammad Hasnain to Taylor, no run",4/0,1158100,Mohammad Hasnain,0,6,0,1.0,4,False,False,0,0,0,False,0,55814,Brendan Taylor,3,5,0,0,55354,Chamu Chibhabha,1,1,0,0,6,True,0,0,0,0,0,1,4,0,False,,False,False,4.0,0,6,0,0,0,0,0,0,4
no run,9,Zimbabwe,7,Pakistan,1st innings,0,"full ball, on off stump, shapes away a bit, Chibhabha tries to defend, thick inside edge onto pad","Haris Rauf to Chibhabha, no run",4/0,1161606,Haris Rauf,0,1,0,0.1,0,1158100,Mohammad Hasnain,0,6,0,1.0,4,55354,Chamu Chibhabha,1,2,0,0,55814,Brendan Taylor,3,5,0,0,1,False,0,0,0,0,0,2,6,1,False,,False,False,3.42,0,7,0,0,0,0,0,0,4
run,9,Zimbabwe,7,Pakistan,1st innings,1,"good length ball, just outside off and moves away, gets the edge down to third man for a single","Haris Rauf to Chibhabha, 1 run",5/0,1161606,Haris Rauf,0,2,0,0.2,1,1158100,Mohammad Hasnain,0,6,0,1.0,4,55354,Chamu Chibhabha,2,3,0,0,55814,Brendan Taylor,3,5,0,0,2,False,0,0,0,0,0,2,6,1,False,,False,False,3.75,0,8,0,0,0,0,0,0,5
out,9,Zimbabwe,7,Pakistan,1st innings,0,"Rauf strikes! Good length ball, just outside off and shapes away, tries to push at it, gets the edge in the safe hands of Rizwan behind the stumps","Haris Rauf to Taylor, OUT",5/1,1161606,Haris Rauf,0,3,1,0.3,1,1158100,Mohammad Hasnain,0,6,0,1.0,4,55814,Brendan Taylor,3,6,0,0,55354,Chamu Chibhabha,2,3,0,0,3,False,0,0,0,0,0,2,6,1,True,caught,True,BRM Taylor c &dagger;Mohammad Rizwan b Haris Rauf 3 (6m 6b 0x4 0x6) SR: 50.00,3.33,0,9,0,1,0,0,0,0,5
run,9,Zimbabwe,7,Pakistan,1st innings,1,"short in length, angles it down to third man for a single","Haris Rauf to Williams, 1 run",6/1,1161606,Haris Rauf,0,4,1,0.4,2,1158100,Mohammad Hasnain,0,6,0,1.0,4,55870,Sean Williams,1,1,0,0,55354,Chamu Chibhabha,2,3,0,0,4,False,0,0,0,0,0,2,6,1,False,,False,False,3.6,0,10,0,1,0,0,0,0,6
four,9,Zimbabwe,7,Pakistan,1st innings,4,"Full ball, on off stump, goes for the drive, gets the thick outside edge and races away in the gap to deep cover fence for four","Haris Rauf to Chibhabha, FOUR runs",10/1,1161606,Haris Rauf,0,5,1,0.5,6,1158100,Mohammad Hasnain,0,6,0,1.0,4,55354,Chamu Chibhabha,6,4,1,0,55870,Sean Williams,1,1,0,0,5,False,0,0,0,0,0,2,6,1,False,,False,False,5.45,0,11,0,1,0,0,0,0,10
no run,9,Zimbabwe,7,Pakistan,1st innings,0,"good short ball, ducks underneath it","Haris Rauf to Chibhabha, no run",10/1,1161606,Haris Rauf,0,6,1,1.0,6,1158100,Mohammad Hasnain,0,6,0,1.0,4,55354,Chamu Chibhabha,6,5,1,0,55870,Sean Williams,1,1,0,0,6,True,0,0,0,0,0,2,6,1,False,,False,False,5.0,0,12,0,1,0,0,0,0,10
run,9,Zimbabwe,7,Pakistan,1st innings,1,"on middle and leg stump, worked away to leg side for a single","Mohammad Hasnain to Williams, 1 run",11/1,1158100,Mohammad Hasnain,0,7,0,1.1,5,1161606,Haris Rauf,0,6,1,1.0,6,55870,Sean Williams,2,2,0,0,55354,Chamu Chibhabha,6,5,1,0,1,False,0,0,0,0,0,3,15,0,False,,False,False,5.07,0,13,0,1,0,0,0,0,11
four,9,Zimbabwe,7,Pakistan,1st innings,4,"Short in length, outside off, goes for the cut, thick outside edge over slips and one bounce over the fence","Mohammad Hasnain to Chibhabha, FOUR runs",15/1,1158100,Mohammad Hasnain,0,8,0,1.2,9,1161606,Haris Rauf,0,6,1,1.0,6,55354,Chamu Chibhabha,10,6,2,0,55870,Sean Williams,2,2,0,0,2,False,0,0,0,0,0,3,15,0,False,,False,False,6.42,0,14,0,1,0,0,0,0,15
run,9,Zimbabwe,7,Pakistan,1st innings,1,"again short and wide outside off, another cut and good diving save by Shah at covers","Mohammad Hasnain to Chibhabha, 1 run",16/1,1158100,Mohammad Hasnain,0,9,0,1.3,10,1161606,Haris Rauf,0,6,1,1.0,6,55354,Chamu Chibhabha,11,7,2,0,55870,Sean Williams,2,2,0,0,3,False,0,0,0,0,0,3,15,0,False,,False,False,6.4,0,15,0,1,0,0,0,0,16
four,9,Zimbabwe,7,Pakistan,1st innings,4,"Another short ball, Williams picks up the length early and pulls it away to deep midwicket fence for four","Mohammad Hasnain to Williams, FOUR runs",20/1,1158100,Mohammad Hasnain,0,10,0,1.4,14,1161606,Haris Rauf,0,6,1,1.0,6,55870,Sean Williams,6,3,1,0,55354,Chamu Chibhabha,11,7,2,0,4,False,0,0,0,0,0,3,15,0,False,,False,False,7.5,0,16,0,1,0,0,0,0,20
run,9,Zimbabwe,7,Pakistan,1st innings,1,"full on middle and leg stump, flicks it away to midwicket for a quick single","Mohammad Hasnain to Williams, 1 run",21/1,1158100,Mohammad Hasnain,0,11,0,1.5,15,1161606,Haris Rauf,0,6,1,1.0,6,55870,Sean Williams,7,4,1,0,55354,Chamu Chibhabha,11,7,2,0,5,False,0,0,0,0,0,3,15,0,False,,False,False,7.41,0,17,0,1,0,0,0,0,21
four,9,Zimbabwe,7,Pakistan,1st innings,4,"Shot! Full ball, on off stump, leans well forward, drives with full face of the bat, up and over mid-off fielder for four","Mohammad Hasnain to Chibhabha, FOUR runs",25/1,1158100,Mohammad Hasnain,0,12,0,2.0,19,1161606,Haris Rauf,0,6,1,1.0,6,55354,Chamu Chibhabha,15,8,3,0,55870,Sean Williams,7,4,1,0,6,True,0,0,0,0,0,3,15,0,False,,False,False,8.33,0,18,0,1,0,0,0,0,25
four,9,Zimbabwe,7,Pakistan,1st innings,4,"Short and wide outside off, Williams just uses the pace of the ball and guides it down to third man fence for four","Haris Rauf to Williams, FOUR runs",29/1,1161606,Haris Rauf,0,7,1,1.1,10,1158100,Mohammad Hasnain,0,12,0,2.0,19,55870,Sean Williams,11,5,2,0,55354,Chamu Chibhabha,15,8,3,0,1,False,0,0,0,0,0,4,11,1,False,,False,False,9.15,0,19,0,1,0,0,0,0,29
leg bye,9,Zimbabwe,7,Pakistan,1st innings,1,"full ball, pitches outside leg, swings back into the left hander, hits the pad to short fine leg, runs a legbye","Haris Rauf to Williams, 1 leg bye",30/1,1161606,Haris Rauf,0,8,1,1.2,10,1158100,Mohammad Hasnain,0,12,0,2.0,19,55870,Sean Williams,11,6,2,0,55354,Chamu Chibhabha,15,8,3,0,2,False,0,0,0,0,1,4,11,1,False,,False,False,9.0,0,20,0,1,1,0,0,0,30
