PlayType_description,Batting_Team_id,Batting_Team_name,Bowling_Team_id,Bowling_Team_name,Innings,Total_Runs_on_delivery,Commentary,Commentary_short,Score,Bowler_id,Bowler_name,Bowler_maiden,Bowler_balls,Bowler_wickets,Bowler_over,Bowler_conceded,Other_Bowler_id,Other_Bowler_name,Other_Bowler_maidens,Other_Bowler_balls,Other_Bowler_wickets,Other_Bowler_overs,Other_Bowler_conceded,Batsman_id,Batsman_name,Batsman_runs,Batsman_balls_faced,Batsman_four,Batsman_sixes,Other_Batsman_id,Other_Batsman_name,Other_Batsman_runs,Other_Batsman_balls_faced,Other_Batsman_four,Other_Batsman_sixes,Over_ball,Over_complete,Over_maiden,Over_no_Ball,Over_wide,Over_byes,Over_leg_byes,Over_number,Over_runs,Over_wickets,Dismissal_is_true,Dismissal_type,Dismissal_fielder_iskeeper,Dismissal_text,Innings_run_rate,Innings_byes,Innings_balls,Innings_no_balls,Innings_wickets,Innings_leg_byes,Innings_session,Innings_day,Innings_wides,Innings_runs
wide,7,Pakistan,3,South Africa,1st innings,1,"curving down the leg side, and it's an extra to start proceedings. That swung","Rabada to Imam-ul-Haq, 1 wide",1/0,550215,Kagiso Rabada,0,0,0,0.0,1,False,False,0,0,0,False,0,568276,Imam-ul-Haq,0,0,0,0,512191,Fakhar Zaman,0,0,0,0,1,False,0,0,1,0,0,1,7,0,False,,False,False,False,0,0,0,0,0,1,1,1,1
no run,7,Pakistan,3,South Africa,1st innings,0,"<b>beaten on a booming drive!</b> Rabada pitched this right up, and again it snaked in to the left hander through the air, Imam swiping his drive outside the line of the ball","Rabada to Imam-ul-Haq, no run",1/0,550215,Kagiso Rabada,0,1,0,0.1,1,False,False,0,0,0,False,0,568276,Imam-ul-Haq,0,1,0,0,512191,Fakhar Zaman,0,0,0,0,2,False,0,0,0,0,0,1,7,0,False,,False,False,6.0,0,1,0,0,0,1,1,0,1
no run,7,Pakistan,3,South Africa,1st innings,0,"Imam reverts to Test mode for just a moment, watching a length delivery closely and raising his hands to let it past him outside off","Rabada to Imam-ul-Haq, no run",1/0,550215,Kagiso Rabada,0,2,0,0.2,1,False,False,0,0,0,False,0,568276,Imam-ul-Haq,0,2,0,0,512191,Fakhar Zaman,0,0,0,0,3,False,0,0,0,0,0,1,7,0,False,,False,False,3.0,0,2,0,0,0,1,1,0,1
run,7,Pakistan,3,South Africa,1st innings,1,"right up to the bat once again, but this time Imam is forward to meet it, opening his account with a quick single into the covers as Hendricks tumbles to stop the ball","Rabada to Imam-ul-Haq, 1 run",2/0,550215,Kagiso Rabada,0,3,0,0.3,2,False,False,0,0,0,False,0,568276,Imam-ul-Haq,1,3,0,0,512191,Fakhar Zaman,0,0,0,0,4,False,0,0,0,0,0,1,7,0,False,,False,False,4.0,0,3,0,0,0,1,1,0,2
four,7,Pakistan,3,South Africa,1st innings,4,"<b>emphatic way to get off the mark</b>, and Fakhar looks in excellent touch as he leans into a straight drive. Didn't over hit it","Rabada to Fakhar Zaman, FOUR runs",6/0,550215,Kagiso Rabada,0,4,0,0.4,6,False,False,0,0,0,False,0,512191,Fakhar Zaman,4,1,1,0,568276,Imam-ul-Haq,1,3,0,0,5,False,0,0,0,0,0,1,7,0,False,,False,False,9.0,0,4,0,0,0,1,1,0,6
run,7,Pakistan,3,South Africa,1st innings,1,"this one seams across Fakhar, who thrusts his hands out at the ball and collects a tip-and-run single to cover point","Rabada to Fakhar Zaman, 1 run",7/0,550215,Kagiso Rabada,0,5,0,0.5,7,False,False,0,0,0,False,0,512191,Fakhar Zaman,5,2,1,0,568276,Imam-ul-Haq,1,3,0,0,6,False,0,0,0,0,0,1,7,0,False,,False,False,8.4,0,5,0,0,0,1,1,0,7
no run,7,Pakistan,3,South Africa,1st innings,0,"hint of an inside edge as Imam comes forward to one that swings in to him, but the ball comes off the thigh and there's no harm done","Rabada to Imam-ul-Haq, no run",7/0,550215,Kagiso Rabada,0,6,0,1.0,7,False,False,0,0,0,False,0,568276,Imam-ul-Haq,1,4,0,0,512191,Fakhar Zaman,5,2,1,0,7,True,0,0,0,0,0,1,7,0,False,,False,False,7.0,0,6,0,0,0,1,1,0,7
no run,7,Pakistan,3,South Africa,1st innings,0,"pushed right up to the batsman, and Fakhar is forward to smother the hint of inward movement","Paterson to Fakhar Zaman, no run",7/0,327947,Dane Paterson,0,1,0,0.1,0,550215,Kagiso Rabada,0,6,0,1.0,7,512191,Fakhar Zaman,5,3,1,0,568276,Imam-ul-Haq,1,4,0,0,1,False,0,0,0,0,0,2,3,0,False,,False,False,6.0,0,7,0,0,0,1,1,0,7
run,7,Pakistan,3,South Africa,1st innings,1,"Fakhar jabs a full ball towards mid off and they steal a quick single as Miller charges in and throws on the dive. There was a dive from Fakhar too to make his ground, but no direct hit","Paterson to Fakhar Zaman, 1 run",8/0,327947,Dane Paterson,0,2,0,0.2,1,550215,Kagiso Rabada,0,6,0,1.0,7,512191,Fakhar Zaman,6,4,1,0,568276,Imam-ul-Haq,1,4,0,0,2,False,0,0,0,0,0,2,3,0,False,,False,False,6.0,0,8,0,0,0,1,1,0,8
run,7,Pakistan,3,South Africa,1st innings,1,"quick running once again, Imam waiting in the crease and nurdling to leg","Paterson to Imam-ul-Haq, 1 run",9/0,327947,Dane Paterson,0,3,0,0.3,2,550215,Kagiso Rabada,0,6,0,1.0,7,568276,Imam-ul-Haq,2,5,0,0,512191,Fakhar Zaman,6,4,1,0,3,False,0,0,0,0,0,2,3,0,False,,False,False,6.0,0,9,0,0,0,1,1,0,9
