PlayType_description,Batting_Team_id,Batting_Team_name,Bowling_Team_id,Bowling_Team_name,Innings,Total_Runs_on_delivery,Commentary,Commentary_short,Score,Bowler_id,Bowler_name,Bowler_maiden,Bowler_balls,Bowler_wickets,Bowler_over,Bowler_conceded,Other_Bowler_id,Other_Bowler_name,Other_Bowler_maidens,Other_Bowler_balls,Other_Bowler_wickets,Other_Bowler_overs,Other_Bowler_conceded,Batsman_id,Batsman_name,Batsman_runs,Batsman_balls_faced,Batsman_four,Batsman_sixes,Other_Batsman_id,Other_Batsman_name,Other_Batsman_runs,Other_Batsman_balls_faced,Other_Batsman_four,Other_Batsman_sixes,Over_ball,Over_complete,Over_maiden,Over_no_Ball,Over_wide,Over_byes,Over_leg_byes,Over_number,Over_runs,Over_wickets,Dismissal_is_true,Dismissal_type,Dismissal_fielder_iskeeper,Dismissal_text,Innings_run_rate,Innings_byes,Innings_balls,Innings_no_balls,Innings_wickets,Innings_leg_byes,Innings_session,Innings_day,Innings_wides,Innings_runs
no run,9,Zimbabwe,7,Pakistan,1st innings,0,"good length ball, just outside off and moves away, lets it go through to keeper","Mohammad Hasnain to Taylor, no run",0/0,1158100,Mohammad Hasnain,0,1,0,0.1,0,False,False,0,0,0,False,0,55814,Brendan Taylor,0,1,0,0,False,False,0,0,0,0,1,False,0,0,0,0,0,1,2,0,False,,False,False,0.0,0,1,0,0,0,0,0,0,0
run,9,Zimbabwe,7,Pakistan,1st innings,1,"on middle and leg stump, worked away to backward square leg for a single","Mohammad Hasnain to Taylor, 1 run",1/0,1158100,Mohammad Hasnain,0,2,0,0.2,1,False,False,0,0,0,False,0,55814,Brendan Taylor,1,2,0,0,False,False,0,0,0,0,2,False,0,0,0,0,0,1,2,0,False,,False,False,3.0,0,2,0,0,0,0,0,0,1
no run,9,Zimbabwe,7,Pakistan,1st innings,0,"good length ball, just outside off and moves away, lets it go through to keeper","Mohammad Hasnain to Chibhabha, no run",1/0,1158100,Mohammad Hasnain,0,3,0,0.3,1,False,False,0,0,0,False,0,55354,Chamu Chibhabha,0,1,0,0,55814,Brendan Taylor,1,2,0,0,3,False,0,0,0,0,0,1,2,0,False,,False,False,2.0,0,3,0,0,0,0,0,0,1
no run,9,Zimbabwe,7,Pakistan,1st innings,0,,"Mohammad Hasnain to Chibhabha, no run",1/0,1158100,Mohammad Hasnain,0,4,0,0.4,1,False,False,0,0,0,False,0,55354,Chamu Chibhabha,0,2,0,0,55814,Brendan Taylor,1,2,0,0,4,False,0,0,0,0,0,1,2,0,False,,False,False,1.5,0,4,0,0,0,0,0,0,1
run,9,Zimbabwe,7,Pakistan,1st innings,1,"good length ball, on off stump, pushes to point for a quick single","Mohammad Hasnain to Chibhabha, 1 run",2/0,1158100,Mohammad Hasnain,0,5,0,0.5,2,False,False,0,0,0,False,0,55354,Chamu Chibhabha,1,3,0,0,55814,Brendan Taylor,1,2,0,0,5,False,0,0,0,0,0,1,2,0,False,,False,False,2.4,0,5,0,0,0,0,0,0,2
no run,9,Zimbabwe,7,Pakistan,1st innings,0,"back of length, on off stump, stands tall and punches to cover","Mohammad Hasnain to Taylor, no run",2/0,1158100,Mohammad Hasnain,0,6,0,1.0,2,False,False,0,0,0,False,0,55814,Brendan Taylor,1,3,0,0,55354,Chamu Chibhabha,1,3,0,0,6,True,0,0,0,0,0,1,2,0,False,,False,False,2.0,0,6,0,0,0,0,0,0,2
four,9,Zimbabwe,7,Pakistan,1st innings,4,"Top shot! Full ball, on off stump, just a push down the ground with superb timing and it races away to mid-off fence for four","Haris Rauf to Chibhabha, FOUR runs",6/0,1161606,Haris Rauf,0,1,0,0.1,4,1158100,Mohammad Hasnain,0,6,0,1.0,2,55354,Chamu Chibhabha,5,4,1,0,55814,Brendan Taylor,1,3,0,0,1,False,0,0,0,0,0,2,19,0,False,,False,False,5.14,0,7,0,0,0,0,0,0,6
four,9,Zimbabwe,7,Pakistan,1st innings,4,"Another fantstic shot! This time short in length, leans back and cuts it away to deep point fence for four more","Haris Rauf to Chibhabha, FOUR runs",10/0,1161606,Haris Rauf,0,2,0,0.2,8,1158100,Mohammad Hasnain,0,6,0,1.0,2,55354,Chamu Chibhabha,9,5,2,0,55814,Brendan Taylor,1,3,0,0,2,False,0,0,0,0,0,2,19,0,False,,False,False,7.5,0,8,0,0,0,0,0,0,10
wide,9,Zimbabwe,7,Pakistan,1st innings,5,"Poor delivery, this time goes way down the leg side even diving Rizwan fails to collect that one, goes for five wides","Haris Rauf to Chibhabha, 5 wides",15/0,1161606,Haris Rauf,0,2,0,0.2,13,1158100,Mohammad Hasnain,0,6,0,1.0,2,55354,Chamu Chibhabha,9,5,2,0,55814,Brendan Taylor,1,3,0,0,3,False,0,0,5,0,0,2,19,0,False,,False,False,11.25,0,8,0,0,0,0,0,5,15
run,9,Zimbabwe,7,Pakistan,1st innings,1,"good length ball, on off stump and swings in a bit, taps it to off side for a quick single","Haris Rauf to Chibhabha, 1 run",16/0,1161606,Haris Rauf,0,3,0,0.3,14,1158100,Mohammad Hasnain,0,6,0,1.0,2,55354,Chamu Chibhabha,10,6,2,0,55814,Brendan Taylor,1,3,0,0,4,False,0,0,0,0,0,2,19,0,False,,False,False,10.66,0,9,0,0,0,0,0,0,16
four,9,Zimbabwe,7,Pakistan,1st innings,4,"What a classic touch! Full ball, on middle and leg stump, whips it away with his wrists and it races away to deep midwicket fence for four","Haris Rauf to Taylor, FOUR runs",20/0,1161606,Haris Rauf,0,4,0,0.4,18,1158100,Mohammad Hasnain,0,6,0,1.0,2,55814,Brendan Taylor,5,4,1,0,55354,Chamu Chibhabha,10,6,2,0,5,False,0,0,0,0,0,2,19,0,False,,False,False,12.0,0,10,0,0,0,0,0,0,20
run,9,Zimbabwe,7,Pakistan,1st innings,1,"on middle and leg stump, turned away to deep square leg","Haris Rauf to Taylor, 1 run",21/0,1161606,Haris Rauf,0,5,0,0.5,19,1158100,Mohammad Hasnain,0,6,0,1.0,2,55814,Brendan Taylor,6,5,1,0,55354,Chamu Chibhabha,10,6,2,0,6,False,0,0,0,0,0,2,19,0,False,,False,False,11.45,0,11,0,0,0,0,0,0,21
no run,9,Zimbabwe,7,Pakistan,1st innings,0,"good length ball, on target, turned away to short midwicket","Haris Rauf to Chibhabha, no run",21/0,1161606,Haris Rauf,0,6,0,1.0,19,1158100,Mohammad Hasnain,0,6,0,1.0,2,55354,Chamu Chibhabha,10,7,2,0,55814,Brendan Taylor,6,5,1,0,7,True,0,0,0,0,0,2,19,0,False,,False,False,10.5,0,12,0,0,0,0,0,0,21
no run,9,Zimbabwe,7,Pakistan,1st innings,0,"good length ball, on off stump, defends to leg side, Chibhabha goes far down the wicket to take a sigle, sent back by Taylor, Hasnain runs across but fails to pick up the ball, no damage done","Mohammad Hasnain to Taylor, no run",21/0,1158100,Mohammad Hasnain,0,7,0,1.1,2,1161606,Haris Rauf,0,6,0,1.0,19,55814,Brendan Taylor,6,6,1,0,55354,Chamu Chibhabha,10,7,2,0,1,False,0,0,0,0,0,3,2,0,False,,False,False,9.69,0,13,0,0,0,0,0,0,21
