PlayType_description,Batting_Team_id,Batting_Team_name,Bowling_Team_id,Bowling_Team_name,Innings,Total_Runs_on_delivery,Commentary,Commentary_short,Score,Bowler_id,Bowler_name,Bowler_maiden,Bowler_balls,Bowler_wickets,Bowler_over,Bowler_conceded,Other_Bowler_id,Other_Bowler_name,Other_Bowler_maidens,Other_Bowler_balls,Other_Bowler_wickets,Other_Bowler_overs,Other_Bowler_conceded,Batsman_id,Batsman_name,Batsman_runs,Batsman_balls_faced,Batsman_four,Batsman_sixes,Other_Batsman_id,Other_Batsman_name,Other_Batsman_runs,Other_Batsman_balls_faced,Other_Batsman_four,Other_Batsman_sixes,Over_ball,Over_complete,Over_maiden,Over_no_Ball,Over_wide,Over_byes,Over_leg_byes,Over_number,Over_runs,Over_wickets,Dismissal_is_true,Dismissal_type,Dismissal_fielder_iskeeper,Dismissal_text,Innings_run_rate,Innings_byes,Innings_balls,Innings_no_balls,Innings_wickets,Innings_leg_byes,Innings_session,Innings_day,Innings_wides,Innings_runs
four,7,Pakistan,5,New Zealand,1st innings,4,cracks it over third man! That's how you gotta play here. Short boundaries. Throw the bat at it. Rizwan gets a thick edge to a wide ball and it carries to the fence,"Duffy to Mohammad Rizwan, FOUR runs",12/1,547766,Jacob Duffy,0,6,1,1.0,5,502714,Mitchell Santner,0,6,0,1.0,7,323389,Mohammad Rizwan,12,10,2,0,1168651,Haider Ali,0,0,0,0,6,True,0,0,0,0,0,2,5,1,False,,False,False,6.0,0,12,0,1,0,1,1,0,12
run,7,Pakistan,5,New Zealand,1st innings,1,"<b>just over point</b>! Pakistan living very very dangerously. And it's extra bounce again! Haider Ali is not ready for the back of a length ball rearing at him. Takes the shoulder of his bat as he tries to defend, all squared up, and it flies to Phillips, who leaps up, sticks his left hand out and behind him, but the ball lands beyond his reach","Kuggeleijn to Haider Ali, 1 run",13/1,539548,Scott Kuggeleijn,0,1,0,0.1,1,547766,Jacob Duffy,0,6,1,1.0,5,1168651,Haider Ali,1,1,0,0,323389,Mohammad Rizwan,12,10,2,0,1,False,0,0,0,0,0,3,4,0,False,,False,False,6.0,0,13,0,1,0,1,1,0,13
no run,7,Pakistan,5,New Zealand,1st innings,0,hits the deck and gets it to climb up towards Rizwan's chest. He knocks it down by his feet,"Kuggeleijn to Mohammad Rizwan, no run",13/1,539548,Scott Kuggeleijn,0,2,0,0.2,1,547766,Jacob Duffy,0,6,1,1.0,5,323389,Mohammad Rizwan,12,11,2,0,1168651,Haider Ali,1,1,0,0,2,False,0,0,0,0,0,3,4,0,False,,False,False,5.57,0,14,0,1,0,1,1,0,13
run,7,Pakistan,5,New Zealand,1st innings,1,"<b>when it's full, it comes onto the bat a little slower. when it's short, it seems to hurry them</b>. This one's full and Rizwan, trying to drive through the line, sees his bat turn in his hand and the mis-hit to mid-off gets only one. He was looking to access the gap at extra cover","Kuggeleijn to Mohammad Rizwan, 1 run",14/1,539548,Scott Kuggeleijn,0,3,0,0.3,2,547766,Jacob Duffy,0,6,1,1.0,5,323389,Mohammad Rizwan,13,12,2,0,1168651,Haider Ali,1,1,0,0,3,False,0,0,0,0,0,3,4,0,False,,False,False,5.6,0,15,0,1,0,1,1,0,14
no run,7,Pakistan,5,New Zealand,1st innings,0,<b>flies through</b> as he hits the deck again. Haider is a shot-maker. He sees one he can get under and goes for the slog. Misses,"Kuggeleijn to Haider Ali, no run",14/1,539548,Scott Kuggeleijn,0,4,0,0.4,2,547766,Jacob Duffy,0,6,1,1.0,5,1168651,Haider Ali,1,2,0,0,323389,Mohammad Rizwan,13,12,2,0,4,False,0,0,0,0,0,3,4,0,False,,False,False,5.25,0,16,0,1,0,1,1,0,14
no run,7,Pakistan,5,New Zealand,1st innings,0,"<b>beats him</b> with a gorgeous ball, back of a length on off stump, and straightening past the outside edge. This is tough stuff out there.","Kuggeleijn to Haider Ali, no run",14/1,539548,Scott Kuggeleijn,0,5,0,0.5,2,547766,Jacob Duffy,0,6,1,1.0,5,1168651,Haider Ali,1,3,0,0,323389,Mohammad Rizwan,13,12,2,0,5,False,0,0,0,0,0,3,4,0,False,,False,False,4.94,0,17,0,1,0,1,1,0,14
run,7,Pakistan,5,New Zealand,1st innings,2,"<b>launches it over midwicket</b>. Haider's shots are usually jaw dropping. This one isn't quite as well timed, but the ferocious intent behind it, is something to see. Bowl length to him at your peril!","Kuggeleijn to Haider Ali, 2 runs",16/1,539548,Scott Kuggeleijn,0,6,0,1.0,4,547766,Jacob Duffy,0,6,1,1.0,5,1168651,Haider Ali,3,4,0,0,323389,Mohammad Rizwan,13,12,2,0,6,True,0,0,0,0,0,3,4,0,False,,False,False,5.33,0,18,0,1,0,1,1,0,16
no run,7,Pakistan,5,New Zealand,1st innings,0,"pushes outside off stump, but the fuller ball decks past his reach. Duffy draws seam movement away from the bat again","Duffy to Mohammad Rizwan, no run",16/1,547766,Jacob Duffy,0,7,1,1.1,5,539548,Scott Kuggeleijn,0,6,0,1.0,4,323389,Mohammad Rizwan,13,13,2,0,1168651,Haider Ali,3,4,0,0,1,False,0,0,0,0,0,4,4,2,False,,False,False,5.05,0,19,0,1,0,1,1,0,16
four,7,Pakistan,5,New Zealand,1st innings,4,<b>lovely shot!</b> All he has to do is give it direction. And he does. A full ball on leg stump is lifted to the fine leg boundary with a touch of class!,"Duffy to Mohammad Rizwan, FOUR runs",20/1,547766,Jacob Duffy,0,8,1,1.2,9,539548,Scott Kuggeleijn,0,6,0,1.0,4,323389,Mohammad Rizwan,17,14,3,0,1168651,Haider Ali,3,4,0,0,2,False,0,0,0,0,0,4,4,2,False,,False,False,6.0,0,20,0,1,0,1,1,0,20
no run,7,Pakistan,5,New Zealand,1st innings,0,blocks a good length ball on middle,"Duffy to Mohammad Rizwan, no run",20/1,547766,Jacob Duffy,0,9,1,1.3,9,539548,Scott Kuggeleijn,0,6,0,1.0,4,323389,Mohammad Rizwan,17,15,3,0,1168651,Haider Ali,3,4,0,0,3,False,0,0,0,0,0,4,4,2,False,,False,False,5.71,0,21,0,1,0,1,1,0,20
