PlayType_description,Batting_Team_id,Batting_Team_name,Bowling_Team_id,Bowling_Team_name,Innings,Total_Runs_on_delivery,Commentary,Commentary_short,Score,Bowler_id,Bowler_name,Bowler_maiden,Bowler_balls,Bowler_wickets,Bowler_over,Bowler_conceded,Other_Bowler_id,Other_Bowler_name,Other_Bowler_maidens,Other_Bowler_balls,Other_Bowler_wickets,Other_Bowler_overs,Other_Bowler_conceded,Batsman_id,Batsman_name,Batsman_runs,Batsman_balls_faced,Batsman_four,Batsman_sixes,Other_Batsman_id,Other_Batsman_name,Other_Batsman_runs,Other_Batsman_balls_faced,Other_Batsman_four,Other_Batsman_sixes,Over_ball,Over_complete,Over_maiden,Over_no_Ball,Over_wide,Over_byes,Over_leg_byes,Over_number,Over_runs,Over_wickets,Dismissal_is_true,Dismissal_type,Dismissal_fielder_iskeeper,Dismissal_text,Innings_run_rate,Innings_byes,Innings_balls,Innings_no_balls,Innings_wickets,Innings_leg_byes,Innings_session,Innings_day,Innings_wides,Innings_runs
no run,968721,Rising Pune Supergiant,968725,Gujarat Lions,1st innings,0,"pitched up and swings away a bit, Rahane stretches forward and defends it back to the bowler","Kumar to Rahane, no run",0/0,30732,Praveen Kumar,0,1,0,0.1,0,False,False,0,0,0,False,0,277916,Ajinkya Rahane,0,1,0,0,35390,Saurabh Tiwary,0,0,0,0,1,False,0,0,0,0,0,1,5,0,False,,False,False,0.0,0,1,0,0,0,1,1,0,0
four,968721,Rising Pune Supergiant,968725,Gujarat Lions,1st innings,4,"dropped short and width outside off, Rahane frees his arms and skips onto the back foot, cutting it to the right of backward point","Kumar to Rahane, FOUR runs",4/0,30732,Praveen Kumar,0,2,0,0.2,4,False,False,0,0,0,False,0,277916,Ajinkya Rahane,4,2,1,0,35390,Saurabh Tiwary,0,0,0,0,2,False,0,0,0,0,0,1,5,0,False,,False,False,12.0,0,2,0,0,0,1,1,0,4
no run,968721,Rising Pune Supergiant,968725,Gujarat Lions,1st innings,0,"full and homing in on off, Rahane presses forward and defends with soft hands","Kumar to Rahane, no run",4/0,30732,Praveen Kumar,0,3,0,0.3,4,False,False,0,0,0,False,0,277916,Ajinkya Rahane,4,3,1,0,35390,Saurabh Tiwary,0,0,0,0,3,False,0,0,0,0,0,1,5,0,False,,False,False,8.0,0,3,0,0,0,1,1,0,4
no run,968721,Rising Pune Supergiant,968725,Gujarat Lions,1st innings,0,"full and outside off, Rahane steps forward and drives it sweetly back to the bowler","Kumar to Rahane, no run",4/0,30732,Praveen Kumar,0,4,0,0.4,4,False,False,0,0,0,False,0,277916,Ajinkya Rahane,4,4,1,0,35390,Saurabh Tiwary,0,0,0,0,4,False,0,0,0,0,0,1,5,0,False,,False,False,6.0,0,4,0,0,0,1,1,0,4
run,968721,Rising Pune Supergiant,968725,Gujarat Lions,1st innings,1,"back of a length and swings in on off, Rahane drops it in front of midwicket and takes off for a single","Kumar to Rahane, 1 run",5/0,30732,Praveen Kumar,0,5,0,0.5,5,False,False,0,0,0,False,0,277916,Ajinkya Rahane,5,5,1,0,35390,Saurabh Tiwary,0,0,0,0,5,False,0,0,0,0,0,1,5,0,False,,False,False,6.0,0,5,0,0,0,1,1,0,5
no run,968721,Rising Pune Supergiant,968725,Gujarat Lions,1st innings,0,"good length and straightens on middle, Tiwary camps on the back foot and pokes it to the cordon off an outside edge","Kumar to Tiwary, no run",5/0,30732,Praveen Kumar,0,6,0,1.0,5,False,False,0,0,0,False,0,35390,Saurabh Tiwary,0,1,0,0,277916,Ajinkya Rahane,5,5,1,0,6,True,0,0,0,0,0,1,5,0,False,,False,False,5.0,0,6,0,0,0,1,1,0,5
no run,968721,Rising Pune Supergiant,968725,Gujarat Lions,1st innings,0,"good length ball, straight on off, turned to short midwicket","Kulkarni to Rahane, no run",5/0,277955,Dhawal Kulkarni,0,1,0,0.1,0,30732,Praveen Kumar,0,6,0,1.0,5,277916,Ajinkya Rahane,5,6,1,0,35390,Saurabh Tiwary,0,1,0,0,1,False,0,0,0,0,0,2,8,0,False,,False,False,4.28,0,7,0,0,0,1,1,0,5
wide,968721,Rising Pune Supergiant,968725,Gujarat Lions,1st innings,1,"full and heading down the leg side, DK goes up for a caught-behind appeal. Wided. The keeper has a wry smile on his face","Kulkarni to Rahane, 1 wide",6/0,277955,Dhawal Kulkarni,0,1,0,0.1,1,30732,Praveen Kumar,0,6,0,1.0,5,277916,Ajinkya Rahane,5,6,1,0,35390,Saurabh Tiwary,0,1,0,0,2,False,0,0,1,0,0,2,8,0,False,,False,False,5.14,0,7,0,0,0,1,1,1,6
four,968721,Rising Pune Supergiant,968725,Gujarat Lions,1st innings,4,"full and no swing outside off, Rahane eases forward and punchily drives it through mid-off. Classy from Rahane","Kulkarni to Rahane, FOUR runs",10/0,277955,Dhawal Kulkarni,0,2,0,0.2,5,30732,Praveen Kumar,0,6,0,1.0,5,277916,Ajinkya Rahane,9,7,2,0,35390,Saurabh Tiwary,0,1,0,0,3,False,0,0,0,0,0,2,8,0,False,,False,False,7.5,0,8,0,0,0,1,1,0,10
no run,968721,Rising Pune Supergiant,968725,Gujarat Lions,1st innings,0,"shortens his length on off, dabbed defensively to the off side","Kulkarni to Rahane, no run",10/0,277955,Dhawal Kulkarni,0,3,0,0.3,5,30732,Praveen Kumar,0,6,0,1.0,5,277916,Ajinkya Rahane,9,8,2,0,35390,Saurabh Tiwary,0,1,0,0,4,False,0,0,0,0,0,2,8,0,False,,False,False,6.66,0,9,0,0,0,1,1,0,10
