PlayType_description,Batting_Team_id,Batting_Team_name,Bowling_Team_id,Bowling_Team_name,Innings,Total_Runs_on_delivery,Commentary,Commentary_short,Score,Bowler_id,Bowler_name,Bowler_maiden,Bowler_balls,Bowler_wickets,Bowler_over,Bowler_conceded,Other_Bowler_id,Other_Bowler_name,Other_Bowler_maidens,Other_Bowler_balls,Other_Bowler_wickets,Other_Bowler_overs,Other_Bowler_conceded,Batsman_id,Batsman_name,Batsman_runs,Batsman_balls_faced,Batsman_four,Batsman_sixes,Other_Batsman_id,Other_Batsman_name,Other_Batsman_runs,Other_Batsman_balls_faced,Other_Batsman_four,Other_Batsman_sixes,Over_ball,Over_complete,Over_maiden,Over_no_Ball,Over_wide,Over_byes,Over_leg_byes,Over_number,Over_runs,Over_wickets,Dismissal_is_true,Dismissal_type,Dismissal_fielder_iskeeper,Dismissal_text,Innings_run_rate,Innings_byes,Innings_balls,Innings_no_balls,Innings_wickets,Innings_leg_byes,Innings_session,Innings_day,Innings_wides,Innings_runs
run,335977,Rajasthan Royals,335973,Kings XI Punjab,1st innings,1,"starts off with a fullish one that curves into his pads, and Buttler tucks it away through square leg","Ashwin to Buttler, 1 run",1/0,26421,Ravichandran Ashwin,0,1,0,0.1,1,False,False,0,0,0,False,0,308967,Jos Buttler,1,1,0,0,308798,D'Arcy Short,0,0,0,0,1,False,0,0,0,0,0,1,7,1,False,,False,False,6.0,0,1,0,0,0,1,1,0,1
run,335977,Rajasthan Royals,335973,Kings XI Punjab,1st innings,2,"floats it up a little and slides it into the pads again, turned away through backward of square leg","Ashwin to Short, 2 runs",3/0,26421,Ravichandran Ashwin,0,2,0,0.2,3,False,False,0,0,0,False,0,308798,D'Arcy Short,2,1,0,0,308967,Jos Buttler,1,1,0,0,2,False,0,0,0,0,0,1,7,1,False,,False,False,9.0,0,2,0,0,0,1,1,0,3
out,335977,Rajasthan Royals,335973,Kings XI Punjab,1st innings,0,Short has holed out third ball. That's a poor shot from the batsman. Takes no time to suss out the offspinner and simply swipes. Ashwin flattens his trajectory and slides this into middle and leg. Short expects it to come on with the arm but the ball straightens and as a result finds the outside of the bat as he looks to slog and lobs to midwicket,"Ashwin to Short, OUT",3/1,26421,Ravichandran Ashwin,0,3,1,0.3,3,False,False,0,0,0,False,0,308798,D'Arcy Short,2,2,0,0,308967,Jos Buttler,1,1,0,0,3,False,0,0,0,0,0,1,7,1,True,caught,False,DJM Short c Tye b Ashwin 2 (2b 0x4 0x6) SR: 100.00,6.0,0,3,0,1,0,1,1,0,3
four,335977,Rajasthan Royals,335973,Kings XI Punjab,1st innings,4,"short of a length, sees a little room outside off, and punches through the left of cover for four","Ashwin to Buttler, FOUR runs",7/1,26421,Ravichandran Ashwin,0,4,1,0.4,7,False,False,0,0,0,False,0,308967,Jos Buttler,5,2,1,0,277916,Ajinkya Rahane,0,0,0,0,4,False,0,0,0,0,0,1,7,1,False,,False,False,10.5,0,4,0,1,0,1,1,0,7
no run,335977,Rajasthan Royals,335973,Kings XI Punjab,1st innings,0,"back of a length, punched into the covers","Ashwin to Buttler, no run",7/1,26421,Ravichandran Ashwin,0,5,1,0.5,7,False,False,0,0,0,False,0,308967,Jos Buttler,5,3,1,0,277916,Ajinkya Rahane,0,0,0,0,5,False,0,0,0,0,0,1,7,1,False,,False,False,8.4,0,5,0,1,0,1,1,0,7
no run,335977,Rajasthan Royals,335973,Kings XI Punjab,1st innings,0,"shortish, tries to heave a pull and mistimes it along the ground to midwicket","Ashwin to Buttler, no run",7/1,26421,Ravichandran Ashwin,0,6,1,1.0,7,False,False,0,0,0,False,0,308967,Jos Buttler,5,4,1,0,277916,Ajinkya Rahane,0,0,0,0,6,True,0,0,0,0,0,1,7,1,False,,False,False,7.0,0,6,0,1,0,1,1,0,7
run,335977,Rajasthan Royals,335973,Kings XI Punjab,1st innings,1,"short of a length around off, tucked off the pads through midwicket","Rajpoot to Rahane, 1 run",8/1,591650,Ankit Rajpoot,0,1,0,0.1,1,26421,Ravichandran Ashwin,0,6,1,1.0,7,277916,Ajinkya Rahane,1,1,0,0,308967,Jos Buttler,5,4,1,0,1,False,0,0,0,0,0,2,17,0,False,,False,False,6.85,0,7,0,1,0,1,1,0,8
four,335977,Rajasthan Royals,335973,Kings XI Punjab,1st innings,4,"short outside off, sits up nicely for Buttler who smokes a pull through the vacant midwicket region","Rajpoot to Buttler, FOUR runs",12/1,591650,Ankit Rajpoot,0,2,0,0.2,5,26421,Ravichandran Ashwin,0,6,1,1.0,7,308967,Jos Buttler,9,5,2,0,277916,Ajinkya Rahane,1,1,0,0,2,False,0,0,0,0,0,2,17,0,False,,False,False,9.0,0,8,0,1,0,1,1,0,12
no run,335977,Rajasthan Royals,335973,Kings XI Punjab,1st innings,0,"short of good length, cuts into his middle stump, Buttler backs away and haphazardly drops it into the pitch","Rajpoot to Buttler, no run",12/1,591650,Ankit Rajpoot,0,3,0,0.3,5,26421,Ravichandran Ashwin,0,6,1,1.0,7,308967,Jos Buttler,9,6,2,0,277916,Ajinkya Rahane,1,1,0,0,3,False,0,0,0,0,0,2,17,0,False,,False,False,8.0,0,9,0,1,0,1,1,0,12
bye,335977,Rajasthan Royals,335973,Kings XI Punjab,1st innings,4,"walks across for an ill-advised paddle to a back of a length delivery that's around two sets of stumps outside off. Needless to say, gets nowhere near it","Rajpoot to Buttler, 4 byes",16/1,591650,Ankit Rajpoot,0,4,0,0.4,5,26421,Ravichandran Ashwin,0,6,1,1.0,7,308967,Jos Buttler,9,7,2,0,277916,Ajinkya Rahane,1,1,0,0,4,False,0,0,0,4,0,2,17,0,False,,False,False,9.6,4,10,0,1,0,1,1,0,16
