PlayType_description,Batting_Team_id,Batting_Team_name,Bowling_Team_id,Bowling_Team_name,Innings,Total_Runs_on_delivery,Commentary,Commentary_short,Score,Bowler_id,Bowler_name,Bowler_maiden,Bowler_balls,Bowler_wickets,Bowler_over,Bowler_conceded,Other_Bowler_id,Other_Bowler_name,Other_Bowler_maidens,Other_Bowler_balls,Other_Bowler_wickets,Other_Bowler_overs,Other_Bowler_conceded,Batsman_id,Batsman_name,Batsman_runs,Batsman_balls_faced,Batsman_four,Batsman_sixes,Other_Batsman_id,Other_Batsman_name,Other_Batsman_runs,Other_Batsman_balls_faced,Other_Batsman_four,Other_Batsman_sixes,Over_ball,Over_complete,Over_maiden,Over_no_Ball,Over_wide,Over_byes,Over_leg_byes,Over_number,Over_runs,Over_wickets,Dismissal_is_true,Dismissal_type,Dismissal_fielder_iskeeper,Dismissal_text,Innings_run_rate,Innings_byes,Innings_balls,Innings_no_balls,Innings_wickets,Innings_leg_byes,Innings_session,Innings_day,Innings_wides,Innings_runs
no run,4,West Indies,25,Bangladesh,1st innings,0,"length, just outside off, and Ambris shapes to pull. Draws under his bat, keeping low on its way through to Rahim","Rubel Hossain to Ambris, no run",0/0,300619,Rubel Hossain,0,1,0,0.1,0,False,False,0,0,0,False,0,348054,Sunil Ambris,0,1,0,0,1168667,Joshua Da Silva,0,0,0,0,1,False,0,0,0,0,0,1,8,0,False,,False,False,0.0,0,1,0,0,0,1,1,0,0
run,4,West Indies,25,Bangladesh,1st innings,1,"down the pads, and worked away towards fine leg","Rubel Hossain to Ambris, 1 run",1/0,300619,Rubel Hossain,0,2,0,0.2,1,False,False,0,0,0,False,0,348054,Sunil Ambris,1,2,0,0,1168667,Joshua Da Silva,0,0,0,0,2,False,0,0,0,0,0,1,8,0,False,,False,False,3.0,0,2,0,0,0,1,1,0,1
no run,4,West Indies,25,Bangladesh,1st innings,0,"better line, just on off, and defended towards cover","Rubel Hossain to Da Silva, no run",1/0,300619,Rubel Hossain,0,3,0,0.3,1,False,False,0,0,0,False,0,1168667,Joshua Da Silva,0,1,0,0,348054,Sunil Ambris,1,2,0,0,3,False,0,0,0,0,0,1,8,0,False,,False,False,2.0,0,3,0,0,0,1,1,0,1
run,4,West Indies,25,Bangladesh,1st innings,1,"length, around off, and steered to third man","Rubel Hossain to Da Silva, 1 run",2/0,300619,Rubel Hossain,0,4,0,0.4,2,False,False,0,0,0,False,0,1168667,Joshua Da Silva,1,2,0,0,348054,Sunil Ambris,1,2,0,0,4,False,0,0,0,0,0,1,8,0,False,,False,False,3.0,0,4,0,0,0,1,1,0,2
no run,4,West Indies,25,Bangladesh,1st innings,0,"length, around off, forces a defensive push from the crease","Rubel Hossain to Ambris, no run",2/0,300619,Rubel Hossain,0,5,0,0.5,2,False,False,0,0,0,False,0,348054,Sunil Ambris,1,3,0,0,1168667,Joshua Da Silva,1,2,0,0,5,False,0,0,0,0,0,1,8,0,False,,False,False,2.4,0,5,0,0,0,1,1,0,2
six,4,West Indies,25,Bangladesh,1st innings,6,"dug in short, but no pace on this. He can wallop this over deep square leg off the back foot","Rubel Hossain to Ambris, SIX runs",8/0,300619,Rubel Hossain,0,6,0,1.0,8,False,False,0,0,0,False,0,348054,Sunil Ambris,7,4,0,1,1168667,Joshua Da Silva,1,2,0,0,6,True,0,0,0,0,0,1,8,0,False,,False,False,8.0,0,6,0,0,0,1,1,0,8
run,4,West Indies,25,Bangladesh,1st innings,1,"length, a bit of shape back in, and he works it off his pads towards square leg for a single","Mustafizur Rahman to Da Silva, 1 run",9/0,330902,Mustafizur Rahman,0,1,0,0.1,1,300619,Rubel Hossain,0,6,0,1.0,8,1168667,Joshua Da Silva,2,3,0,0,348054,Sunil Ambris,7,4,0,1,1,False,0,0,0,0,0,2,2,1,False,,False,False,7.71,0,7,0,0,0,1,1,0,9
out,4,West Indies,25,Bangladesh,1st innings,0,"fuller length, a bit of shape back in, and strikes him on the pad as he looks to flick. <strong>Given out</strong>, and he has reviewed at the last second! Ambris just appeared to over-balance as he was looking to work this away. Doesn't seem to have taken the edge, so the question could only be now about where it pitched, and whether it may have done too much. Ambris wasn't too convinced he had an escape anyway, and how right he was! It's three reds, and the perfect start for Bangladesh","Mustafizur Rahman to Ambris, OUT",9/1,330902,Mustafizur Rahman,0,2,1,0.2,1,300619,Rubel Hossain,0,6,0,1.0,8,348054,Sunil Ambris,7,5,0,1,1168667,Joshua Da Silva,2,3,0,0,2,False,0,0,0,0,0,2,2,1,True,leg before wicket,False,SW Ambris lbw b Mustafizur Rahman 7 (7m 5b 0x4 1x6) SR: 140.00,6.75,0,8,0,1,0,1,1,0,9
no run,4,West Indies,25,Bangladesh,1st innings,0,"length, shape back in from outside off, and he drives to mid-off","Mustafizur Rahman to McCarthy, no run",9/1,330902,Mustafizur Rahman,0,3,1,0.3,1,300619,Rubel Hossain,0,6,0,1.0,8,230556,Andre McCarthy,0,1,0,0,1168667,Joshua Da Silva,2,3,0,0,3,False,0,0,0,0,0,2,2,1,False,,False,False,6.0,0,9,0,1,0,1,1,0,9
run,4,West Indies,25,Bangladesh,1st innings,1,"good stride in to meet a length ball just outside off. Able to place it to the left of mid-off, and pick up a single to get going in ODI cricket","Mustafizur Rahman to McCarthy, 1 run",10/1,330902,Mustafizur Rahman,0,4,1,0.4,2,300619,Rubel Hossain,0,6,0,1.0,8,230556,Andre McCarthy,1,2,0,0,1168667,Joshua Da Silva,2,3,0,0,4,False,0,0,0,0,0,2,2,1,False,,False,False,6.0,0,10,0,1,0,1,1,0,10
