PlayType_description,Batting_Team_id,Batting_Team_name,Bowling_Team_id,Bowling_Team_name,Innings,Total_Runs_on_delivery,Commentary,Commentary_short,Score,Bowler_id,Bowler_name,Bowler_maiden,Bowler_balls,Bowler_wickets,Bowler_over,Bowler_conceded,Other_Bowler_id,Other_Bowler_name,Other_Bowler_maidens,Other_Bowler_balls,Other_Bowler_wickets,Other_Bowler_overs,Other_Bowler_conceded,Batsman_id,Batsman_name,Batsman_runs,Batsman_balls_faced,Batsman_four,Batsman_sixes,Other_Batsman_id,Other_Batsman_name,Other_Batsman_runs,Other_Batsman_balls_faced,Other_Batsman_four,Other_Batsman_sixes,Over_ball,Over_complete,Over_maiden,Over_no_Ball,Over_wide,Over_byes,Over_leg_byes,Over_number,Over_runs,Over_wickets,Dismissal_is_true,Dismissal_type,Dismissal_fielder_iskeeper,Dismissal_text,Innings_run_rate,Innings_byes,Innings_balls,Innings_no_balls,Innings_wickets,Innings_leg_byes,Innings_session,Innings_day,Innings_wides,Innings_runs
no run,7,Pakistan,1,England,1st innings,0,"hard length in the channel, Azam steps out and punches to extra cover","Mahmood to Babar Azam, no run",0/0,643885,Saqib Mahmood,0,1,0,0.1,0,False,False,0,0,0,False,0,348144,Babar Azam,0,1,0,0,512191,Fakhar Zaman,0,0,0,0,1,False,0,0,0,0,0,1,2,0,False,,False,False,0.0,0,1,0,0,0,1,1,0,0
no run,7,Pakistan,1,England,1st innings,0,banged into the surface at 87mph/139kph and this is angled towards backward point with an open face,"Mahmood to Babar Azam, no run",0/0,643885,Saqib Mahmood,0,2,0,0.2,0,False,False,0,0,0,False,0,348144,Babar Azam,0,2,0,0,512191,Fakhar Zaman,0,0,0,0,2,False,0,0,0,0,0,1,2,0,False,,False,False,0.0,0,2,0,0,0,1,1,0,0
run,7,Pakistan,1,England,1st innings,1,"short and at the body, 82mph/132kph and worked through square off the back foot","Mahmood to Babar Azam, 1 run",1/0,643885,Saqib Mahmood,0,3,0,0.3,1,False,False,0,0,0,False,0,348144,Babar Azam,1,3,0,0,512191,Fakhar Zaman,0,0,0,0,3,False,0,0,0,0,0,1,2,0,False,,False,False,2.0,0,3,0,0,0,1,1,0,1
no run,7,Pakistan,1,England,1st innings,0,"back of a length, Zaman plays away from his body and chops an inside edge past his stumps, short fine leg cuts it off","Mahmood to Fakhar Zaman, no run",1/0,643885,Saqib Mahmood,0,4,0,0.4,1,False,False,0,0,0,False,0,512191,Fakhar Zaman,0,1,0,0,348144,Babar Azam,1,3,0,0,4,False,0,0,0,0,0,1,2,0,False,,False,False,1.5,0,4,0,0,0,1,1,0,1
run,7,Pakistan,1,England,1st innings,1,"<b>leading edge</b>, just out of reach in Mahmood's follow-through! Touch fuller, nibbling as Zaman closes the face, squirts it back past the non-striker's stumps for a single","Mahmood to Fakhar Zaman, 1 run",2/0,643885,Saqib Mahmood,0,5,0,0.5,2,False,False,0,0,0,False,0,512191,Fakhar Zaman,1,2,0,0,348144,Babar Azam,1,3,0,0,5,False,0,0,0,0,0,1,2,0,False,,False,False,2.4,0,5,0,0,0,1,1,0,2
no run,7,Pakistan,1,England,1st innings,0,"short, cramps him with the ball coming in, short-armed to mid-on - tidy opening over from Mahmood","Mahmood to Babar Azam, no run",2/0,643885,Saqib Mahmood,0,6,0,1.0,2,False,False,0,0,0,False,0,348144,Babar Azam,1,4,0,0,512191,Fakhar Zaman,1,2,0,0,6,True,0,0,0,0,0,1,2,0,False,,False,False,2.0,0,6,0,0,0,1,1,0,2
out,7,Pakistan,1,England,1st innings,0,"<b>bowled 'im through the gate!</b> Moeen finds his line from round the wicket straight away, and he topples Zaman with his first ball! Nicely flighted but this didn't turn, as the batsman was expecting, simply scuttled on with the arm and into the top of middle stump. Good night!","Ali to Fakhar Zaman, OUT",2/1,8917,Moeen Ali,0,1,1,0.1,0,643885,Saqib Mahmood,0,6,0,1.0,2,512191,Fakhar Zaman,1,3,0,0,348144,Babar Azam,1,4,0,0,1,False,0,0,0,0,0,2,10,1,True,bowled,False,Fakhar Zaman  b Ali 1 (6m 3b 0x4 0x6) SR: 33.33,1.71,0,7,0,1,0,1,1,0,2
run,7,Pakistan,1,England,1st innings,1,"over the wicket, tossed up and clipped through mid-on for his first international run","Ali to Haider Ali, 1 run",3/1,8917,Moeen Ali,0,2,1,0.2,1,643885,Saqib Mahmood,0,6,0,1.0,2,1168651,Haider Ali,1,1,0,0,348144,Babar Azam,1,4,0,0,2,False,0,0,0,0,0,2,10,1,False,,False,False,2.25,0,8,0,1,0,1,1,0,3
run,7,Pakistan,1,England,1st innings,1,darted on the stumps and Azam nudges another back down the ground,"Ali to Babar Azam, 1 run",4/1,8917,Moeen Ali,0,3,1,0.3,2,643885,Saqib Mahmood,0,6,0,1.0,2,348144,Babar Azam,2,5,0,0,1168651,Haider Ali,1,1,0,0,3,False,0,0,0,0,0,2,10,1,False,,False,False,2.66,0,9,0,1,0,1,1,0,4
six,7,Pakistan,1,England,1st innings,6,"<b>Haider goes boom!</b> Second ball launched over wide long-on! He has absolutely <i>melted</i> that, down on one knee and slogging aggressively through the line","Ali to Haider Ali, SIX runs",10/1,8917,Moeen Ali,0,4,1,0.4,8,643885,Saqib Mahmood,0,6,0,1.0,2,1168651,Haider Ali,7,2,0,1,348144,Babar Azam,2,5,0,0,4,False,0,0,0,0,0,2,10,1,False,,False,False,6.0,0,10,0,1,0,1,1,0,10
