Ov,T,S,Sv
0.0,Start of Eastern Cape Iinyathi Innings.,,
0.1,"NEW BALL. Sithembile Langa to Jason Niemand. Length ball, pushing, hit pad to silly point for no runs.",Dot ball,0
0.2,"Sithembile Langa to Jason Niemand. Length ball, pushing, Played to fine leg for 1 run.",One run,1
0.3,"Sithembile Langa to Joshua van Heerden. Length ball, pushing, Played to point for no runs.",Dot ball,0
0.4,"Sithembile Langa to Joshua van Heerden. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
0.5,"Sithembile Langa to Joshua van Heerden. Length ball, pushing, Played to mid on for no runs.",Dot ball,0
0.6,"Sithembile Langa to Joshua van Heerden. Length ball, pushing, hit pad to short leg for no runs.",Dot ball,0
1.0,Over 1. 1 run. Bowler: Sithembile Langa. Eastern Cape Iinyathi: 1/0(rr 1.00),End of over,
1.1,"Zakhele Qwabe to Jason Niemand. Length ball, pushing, Played to fourth slip for no runs.",Dot ball,0
1.2,"Zakhele Qwabe to Jason Niemand. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
1.3,"Zakhele Qwabe to Jason Niemand. Length ball, working, Missed (Leg Side) for no runs, fielded by Masondo.",Dot ball,0
1.4,"FOUR! Zakhele Qwabe to Jason Niemand. Length ball, cutting, Hit Hard past deep point for 4 runs.",Four runs,4
1.5,"Zakhele Qwabe to Jason Niemand. Length ball, driving, Played to point for no runs.",Dot ball,0
1.6,"Zakhele Qwabe to Jason Niemand. Length ball, pushing, missed for no runs, fielded by Masondo.",Dot ball,0
2.0,Over 2. 4 runs. Bowler: Zakhele Qwabe. Eastern Cape Iinyathi: 5/0(rr 2.50),End of over,
2.1,"Sithembile Langa to Joshua van Heerden. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
2.2,"Sithembile Langa to Joshua van Heerden. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
2.3,"Sithembile Langa to Joshua van Heerden. Length ball, working, Played to fine leg for 1 run.",One run,1
2.4,"Sithembile Langa to Jason Niemand. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
2.5,"Sithembile Langa to Jason Niemand. Length ball, defending, Played to silly point for no runs.",Dot ball,0
2.6,"Sithembile Langa to Jason Niemand. Length ball, pushing, Played to mid on for no runs.",Dot ball,0
3.0,Over 3. 1 run. Bowler: Sithembile Langa. Eastern Cape Iinyathi: 6/0(rr 2.00),End of over,
3.1,"Zakhele Qwabe to Joshua van Heerden. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
3.2,"Zakhele Qwabe to Joshua van Heerden. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
3.3,"Zakhele Qwabe to Joshua van Heerden. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
3.4,"Zakhele Qwabe to Joshua van Heerden. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
3.5,"Zakhele Qwabe to Joshua van Heerden. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
3.6,"Zakhele Qwabe to Joshua van Heerden. Length ball, driving, Played to short extra cover for no runs.",Dot ball,0
4.0,Over 4. no runs. Bowler: Zakhele Qwabe. Eastern Cape Iinyathi: 6/0(rr 1.50),End of over,
4.1,"OUT! Caught. Sithembile Langa to Jason Niemand. Length ball, pushing, Edged, caught by Masondo.",Wicket,W
4.2,"Sithembile Langa to Nonelela Yikha. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
4.3,"Sithembile Langa to Nonelela Yikha. Length ball, driving, missed for no runs, fielded by Masondo.",Dot ball,0
4.4,"Sithembile Langa to Nonelela Yikha. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
4.5,"OUT! Caught. Sithembile Langa to Nonelela Yikha. Length ball, driving, Edged to third slip, caught by Kaestner.",Wicket,W
4.6,"Sithembile Langa to Jerry Nqolo. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
5.0,Over 5. no runs. Bowler: Sithembile Langa. Eastern Cape Iinyathi: 6/2(rr 1.20),End of over,
5.1,"Zakhele Qwabe to Joshua van Heerden. Length ball, pushing, Played back to bowler for no runs.",Dot ball,0
5.2,"FOUR! Zakhele Qwabe to Joshua van Heerden. Length ball, driving, Hit Hard past long on for 4 runs.",Four runs,4
5.3,"Zakhele Qwabe to Joshua van Heerden. Length ball, pushing, Played to mid off for no runs.",Dot ball,0
5.4,"FOUR! Zakhele Qwabe to Joshua van Heerden. Length ball, driving, Hit Hard past deep mid wicket for 4 runs.",Four runs,4
5.5,"Zakhele Qwabe to Joshua van Heerden. Length ball, pushing, Played to point for no runs.",Dot ball,0
5.6,"Zakhele Qwabe to Joshua van Heerden. Length ball, pushing, Played to short mid wicket for no runs.",Dot ball,0
6.0,Over 6. 8 runs. Bowler: Zakhele Qwabe. Eastern Cape Iinyathi: 14/2(rr 2.33),End of over,
6.1,"Sithembile Langa to Jerry Nqolo. Length ball, pushing, hit body for no runs, fielded by Masondo.",Dot ball,0
6.2,"OUT! Bowled. Sithembile Langa to Jerry Nqolo. Length ball, pushing, missed.",Wicket,W
6.3,"Sithembile Langa to Marco Marais. Length ball, defending, Played to silly point for no runs.",Dot ball,0
6.4,"Sithembile Langa to Marco Marais. Length ball, pushing, Played back to bowler for no runs.",Dot ball,0
6.5,"Sithembile Langa to Marco Marais. Length ball, working, Played to fine leg for 1 run.",One run,1
6.6,"Sithembile Langa to Joshua van Heerden. Length ball, pushing, Played to mid on for no runs.",Dot ball,0
7.0,Over 7. 1 run. Bowler: Sithembile Langa. Eastern Cape Iinyathi: 15/3(rr 2.14),End of over,
7.1,"Morne Venter to Marco Marais. Length ball, pushing, Played to mid off for no runs.",Dot ball,0
7.2,"Morne Venter to Marco Marais. Length ball, working, Played to mid wicket for 2 runs.",Two runs,2
7.3,"Morne Venter to Marco Marais. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
7.4,"Morne Venter to Marco Marais. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
7.5,"Morne Venter to Marco Marais. Length ball, defending, Played to short leg for no runs.",Dot ball,0
7.6,"Morne Venter to Marco Marais. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
8.0,Over 8. 2 runs. Bowler: Morne Venter. Eastern Cape Iinyathi: 17/3(rr 2.12),End of over,
8.1,"Sithembile Langa to Joshua van Heerden. Length ball, pushing, Played to mid off for no runs.",Dot ball,0
8.2,"Sithembile Langa to Joshua van Heerden. Length ball, pushing, Played to mid on for 1 run.",One run,1
8.3,"Sithembile Langa to Marco Marais. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
8.4,"Sithembile Langa to Marco Marais. Length ball, pushing, Played to mid wicket for 1 run.",One run,1
8.5,"FOUR! Sithembile Langa to Joshua van Heerden. Length ball, driving, Hit Hard past deep cover for 4 runs.",Four runs,4
8.6,"Sithembile Langa to Joshua van Heerden. Length ball, pushing, Played to extra cover for no runs.",Dot ball,0
9.0,Over 9. 6 runs. Bowler: Sithembile Langa. Eastern Cape Iinyathi: 23/3(rr 2.56),End of over,
9.1,"Morne Venter to Marco Marais. Length ball, working, Missed (Leg Side) for no runs, fielded by Masondo.",Dot ball,0
9.2,"Morne Venter to Marco Marais. Length ball, defending, Played to silly point for no runs.",Dot ball,0
9.3,"Morne Venter to Marco Marais. Length ball, working, Missed (Leg Side) for no runs, fielded by Masondo.",Dot ball,0
9.4,"Morne Venter to Marco Marais. Length ball, pushing, missed for no runs, fielded by Masondo.",Dot ball,0
9.5,"Morne Venter to Marco Marais. Length ball, pushing, Played back to bowler for no runs.",Dot ball,0
9.6,"Morne Venter to Marco Marais. Length ball, driving, missed for no runs, fielded by Masondo.",Dot ball,0
10.0,Over 10. no runs. Bowler: Morne Venter. Eastern Cape Iinyathi: 23/3(rr 2.30),End of over,
10.1,"FOUR! Zakhele Qwabe to Joshua van Heerden. Length ball, working, Hit Hard past deep mid wicket for 4 runs.",Four runs,4
10.2,"FOUR! Zakhele Qwabe to Joshua van Heerden. Length ball, driving, Hit Hard past deep mid wicket for 4 runs.",Four runs,4
10.3,"Zakhele Qwabe to Joshua van Heerden. Length ball, pushing, Played to cover for no runs.",Dot ball,0
10.4,"Zakhele Qwabe to Joshua van Heerden. Length ball, pushing, Played to short extra cover for no runs.",Dot ball,0
10.5,"Zakhele Qwabe to Joshua van Heerden. Length ball, pushing, Played to point for no runs.",Dot ball,0
10.6,"Zakhele Qwabe to Joshua van Heerden. Length ball, pushing, Played to cover for no runs.",Dot ball,0
11.0,Over 11. 8 runs. Bowler: Zakhele Qwabe. Eastern Cape Iinyathi: 31/3(rr 2.82),End of over,
11.1,"Morne Venter to Marco Marais. Length ball, working, Missed (Leg Side) for no runs, fielded by Masondo.",Dot ball,0
11.2,"Morne Venter to Marco Marais. Length ball, driving, Played to mid on for no runs.",Dot ball,0
11.3,"Morne Venter to Marco Marais. Length ball, pushing, Played to short mid wicket for no runs.",Dot ball,0
11.4,"Morne Venter to Marco Marais. Length ball, pushing, Played back to bowler for no runs.",Dot ball,0
11.5,"Morne Venter to Marco Marais. Length ball, pushing, Played to backward point for 2 runs.",Two runs,2
11.6,"FOUR! Morne Venter to Marco Marais. Length ball, driving, Hit Hard past deep cover for 4 runs.",Four runs,4
12.0,Over 12. 6 runs. Bowler: Morne Venter. Eastern Cape Iinyathi: 37/3(rr 3.08),End of over,
12.1,"Zakhele Qwabe to Joshua van Heerden. Length ball, pushing, Played back to bowler for no runs.",Dot ball,0
12.2,"FOUR! Zakhele Qwabe to Joshua van Heerden. Length ball, cutting, Hit Hard past deep point for 4 runs.",Four runs,4
12.3,"Zakhele Qwabe to Joshua van Heerden. Length ball, defending, Played to silly point for no runs.",Dot ball,0
12.4,"Zakhele Qwabe to Joshua van Heerden. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
12.5,"Zakhele Qwabe to Joshua van Heerden. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
12.6,"Zakhele Qwabe to Joshua van Heerden. Length ball, pushing, Played to short extra cover for no runs.",Dot ball,0
13.0,Over 13. 4 runs. Bowler: Zakhele Qwabe. Eastern Cape Iinyathi: 41/3(rr 3.15),End of over,
13.1,"Morne Venter to Marco Marais. Length ball, pushing, Played to mid wicket for no runs.",Dot ball,0
13.2,"Morne Venter to Marco Marais. Length ball, pushing, Played to short mid wicket for no runs.",Dot ball,0
13.3,"Morne Venter to Marco Marais. Length ball, pushing, Played to short mid wicket for no runs.",Dot ball,0
13.4,"Morne Venter to Marco Marais. Length ball, pushing, hit pad to short leg for no runs.",Dot ball,0
13.5,"Morne Venter to Marco Marais. Length ball, defending, Played to mid wicket for no runs.",Dot ball,0
13.6,"Morne Venter to Marco Marais. Length ball, pushing, Played to mid on for no runs.",Dot ball,0
14.0,Over 14. no runs. Bowler: Morne Venter. Eastern Cape Iinyathi: 41/3(rr 2.93),End of over,
14.1,"Sello Malatji to Joshua van Heerden. Length ball, pulling, missed to silly point for no runs.",Dot ball,0
14.2,"Sello Malatji to Joshua van Heerden. Length ball, pushing, Played to short extra cover for no runs.",Dot ball,0
14.3,"Sello Malatji to Joshua van Heerden. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
14.4,"Sello Malatji to Joshua van Heerden. Back of a length, Slog, mis-timed to short extra cover for 1 run.",One run,1
14.5,"Sello Malatji to Marco Marais. Length ball, pushing, Played to short leg for no runs.",Dot ball,0
14.6,"Sello Malatji to Marco Marais. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
15.0,Over 15. 1 run. Bowler: Sello Malatji. Eastern Cape Iinyathi: 41/3(rr 2.73),End of over,
15.1,"Morne Venter to Joshua van Heerden. Length ball, pushing, Played to extra cover for no runs.",Dot ball,0
15.2,"Morne Venter to Joshua van Heerden. Length ball, pushing, Played to mid wicket for 1 run.",One run,1
15.3,"Morne Venter to Marco Marais. Length ball, pushing, Played to silly mid on for no runs.",Dot ball,0
15.4,"Morne Venter to Marco Marais. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
15.5,"Morne Venter to Marco Marais. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
15.6,"Morne Venter to Marco Marais. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
16.0,Over 16. 1 run. Bowler: Morne Venter. Eastern Cape Iinyathi: 43/3(rr 2.69),End of over,
16.1,"Sello Malatji to Joshua van Heerden. Back of a length, pulling, Played to backward square leg for 2 runs.",Two runs,2
16.2,"Sello Malatji to Joshua van Heerden. Length ball, driving, Played to deep cover for 1 run.",One run,1
16.3,"Sello Malatji to Marco Marais. Length ball, pushing, Played to mid off for no runs.",Dot ball,0
16.4,"Sello Malatji to Marco Marais. Length ball, driving, Played to mid off for no runs.",Dot ball,0
16.5,"Sello Malatji to Marco Marais. Length ball, pushing, Played to short extra cover for no runs.",Dot ball,0
16.6,"Sello Malatji to Marco Marais. Length ball, driving, Played to deep cover for 2 runs.",Two runs,2
17.0,Over 17. 5 runs. Bowler: Sello Malatji. Eastern Cape Iinyathi: 48/3(rr 2.82),End of over,
17.1,"Thomas Hobson to Joshua van Heerden. Length ball, pushing, Played to fine leg for 1 run.",One run,1
17.2,"Thomas Hobson to Marco Marais. Length ball, pushing, Missed (Leg Side) for no runs, fielded by Masondo.",Dot ball,0
17.3,"Thomas Hobson to Marco Marais. Length ball, defending, hit pad to short leg for no runs.",Dot ball,0
17.4,"Thomas Hobson to Marco Marais. Length ball, driving, Played to extra cover for 3 runs.",Three runs,3
17.5,"Thomas Hobson to Joshua van Heerden. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
17.6,"Thomas Hobson to Joshua van Heerden. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
18.0,Over 18. 4 runs. Bowler: Thomas Hobson. Eastern Cape Iinyathi: 52/3(rr 2.89),End of over,
18.1,"Sello Malatji to Marco Marais. Length ball, pushing, Played to silly point for no runs.",Dot ball,0
18.2,"Sello Malatji to Marco Marais. Length ball, pushing, Played to mid off for no runs.",Dot ball,0
18.3,"Sello Malatji to Marco Marais. Length ball, pushing, Played to mid off for no runs.",Dot ball,0
18.4,"Sello Malatji to Marco Marais. Length ball, driving, Played to cover for no runs.",Dot ball,0
18.5,"Sello Malatji to Marco Marais. Length ball, pushing, Played to mid off for no runs.",Dot ball,0
18.6,"Sello Malatji to Marco Marais. Length ball, pushing, Played to short leg for no runs.",Dot ball,0
19.0,Over 19. no runs. Bowler: Sello Malatji. Eastern Cape Iinyathi: 52/3(rr 2.74),End of over,
19.1,"Thomas Hobson to Joshua van Heerden. Length ball, pushing, Played to short extra cover for no runs.",Dot ball,0
19.2,"FOUR! Thomas Hobson to Joshua van Heerden. Length ball, driving, Hit Hard past long on for 4 runs.",Four runs,4
19.3,"FOUR! Thomas Hobson to Joshua van Heerden. Length ball, driving, Hit Hard past long on for 4 runs.",Four runs,4
19.4,"Thomas Hobson to Joshua van Heerden. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
19.5,"Thomas Hobson to Joshua van Heerden. Length ball, pushing, Played back to bowler for no runs.",Dot ball,0
19.6,"Thomas Hobson to Joshua van Heerden. Length ball, driving, Played to extra cover for no runs.",Dot ball,0
20.0,Over 20. 8 runs. Bowler: Thomas Hobson. Eastern Cape Iinyathi: 60/3(rr 3.00),End of over,
20.1,"Sello Malatji to Marco Marais. Length ball, pushing, Played to mid off for no runs.",Dot ball,0
20.2,"Sello Malatji to Marco Marais. Length ball, pushing, Played to mid on for no runs.",Dot ball,0
20.3,"Sello Malatji to Marco Marais. Length ball, driving, Played to cover for no runs.",Dot ball,0
20.4,"Sello Malatji to Marco Marais. Length ball, working, Played to fine leg for 1 run.",One run,1
20.5,"Sello Malatji to Joshua van Heerden. Length ball, defending, Played to short leg for no runs.",Dot ball,0
20.6,"Sello Malatji to Joshua van Heerden. Length ball, driving, Played to mid off for 1 run.",One run,1
21.0,Over 21. 2 runs. Bowler: Sello Malatji. Eastern Cape Iinyathi: 62/3(rr 2.95),End of over,
21.1,"Thomas Hobson to Joshua van Heerden. Length ball, pushing, Played back to bowler for no runs.",Dot ball,0
21.2,"Thomas Hobson to Joshua van Heerden. Length ball, pushing, Played to short extra cover for no runs.",Dot ball,0
21.3,"Thomas Hobson to Joshua van Heerden. Length ball, working, hit pad to leg gully for 1 run.",Leg bye,lb
21.4,"Thomas Hobson to Marco Marais. Length ball, defending, Played to silly point for no runs.",Dot ball,0
21.5,"Thomas Hobson to Marco Marais. Length ball, pushing, Played to mid on for 1 run.",One run,1
21.6,"Thomas Hobson to Joshua van Heerden. Length ball, pushing, Played to mid on for no runs.",Dot ball,0
22.0,Over 22. 2 runs. Bowler: Thomas Hobson. Eastern Cape Iinyathi: 64/3(rr 2.91),End of over,
22.1,"Sithembile Langa to Marco Marais. Length ball, driving, Played to point for no runs.",Dot ball,0
22.2,"Sithembile Langa to Marco Marais. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
22.3,"Sithembile Langa to Marco Marais. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
22.4,"Sithembile Langa to Marco Marais. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
22.5,"Sithembile Langa to Marco Marais. Length ball, driving, Played to extra cover for no runs.",Dot ball,0
22.6,"Sithembile Langa to Marco Marais. Length ball, driving, Played to cover for no runs.",Dot ball,0
23.0,Over 23. no runs. Bowler: Sithembile Langa. Eastern Cape Iinyathi: 64/3(rr 2.78),End of over,
23.1,"Thomas Hobson to Joshua van Heerden. Length ball, pushing, Played to mid off for no runs.",Dot ball,0
23.2,"Thomas Hobson to Joshua van Heerden. Length ball, pushing, Played to point for 1 run.",One run,1
23.3,"Thomas Hobson to Marco Marais. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
23.4,"Thomas Hobson to Marco Marais. Length ball, defending, Played to silly point for no runs.",Dot ball,0
23.5,"Thomas Hobson to Marco Marais. Length ball, defending, Played to short leg for no runs.",Dot ball,0
23.6,"FOUR! Thomas Hobson to Marco Marais. Length ball, driving, Edged past third man for 4 runs.",Four runs,4
24.0,Over 24. 5 runs. Bowler: Thomas Hobson. Eastern Cape Iinyathi: 69/3(rr 2.88),End of over,
24.1,"Sithembile Langa to Joshua van Heerden. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
24.2,"Sithembile Langa to Joshua van Heerden. Length ball, pushing, Played to short extra cover for no runs.",Dot ball,0
24.3,"Sithembile Langa to Joshua van Heerden. Length ball, pushing, Played to short mid wicket for no runs.",Dot ball,0
24.4,"Sithembile Langa to Joshua van Heerden. Length ball, defending, Played to silly point for no runs.",Dot ball,0
24.5,"Sithembile Langa to Joshua van Heerden. Length ball, pushing, Played to cover for 1 run.",One run,1
24.6,"Sithembile Langa to Marco Marais. Short, Leave, for no runs, fielded by Masondo.",Dot ball,0
25.0,Over 25. 1 run. Bowler: Sithembile Langa. Eastern Cape Iinyathi: 70/3(rr 2.80),End of over,
25.1,"Thomas Hobson to Joshua van Heerden. Length ball, pushing, Played to short extra cover for no runs.",Dot ball,0
25.2,"Thomas Hobson to Joshua van Heerden. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
25.3,"Thomas Hobson to Joshua van Heerden. Length ball, pushing, Played to point for 1 run.",One run,1
25.4,"Thomas Hobson to Marco Marais. Length ball, Leave, for no runs, fielded by Masondo.",Dot ball,0
25.5,"OUT! Caught. Thomas Hobson to Marco Marais. Length ball, driving, Edged to second slip, caught by Kaestner.",Wicket,W
25.6,"Thomas Hobson to Thomas Kaber. Length ball, pushing, Played to mid wicket for no runs.",Dot ball,0
26.0,Over 26. 1 run. Bowler: Thomas Hobson. Eastern Cape Iinyathi: 71/4(rr 2.73),End of over,
26.1,"Sithembile Langa to Joshua van Heerden. Length ball, pushing, Played to silly point for no runs.",Dot ball,0
26.2,"Sithembile Langa to Joshua van Heerden. Length ball, pushing, Played to mid on for no runs.",Dot ball,0
26.3,"Sithembile Langa to Joshua van Heerden. Length ball, pushing, Played to silly point for no runs.",Dot ball,0
26.4,"Sithembile Langa to Joshua van Heerden. Length ball, driving, Played to deep cover for 2 runs.",Two runs,2
26.5,"Sithembile Langa to Joshua van Heerden. Length ball, pushing, Played to extra cover for no runs.",Dot ball,0
26.6,"Sithembile Langa to Joshua van Heerden. Length ball, pushing, Played to extra cover for no runs.",Dot ball,0
27.0,Over 27. 2 runs. Bowler: Sithembile Langa. Eastern Cape Iinyathi: 73/4(rr 2.70),End of over,
27.1,"FOUR! Thomas Hobson to Thomas Kaber. Length ball, cutting, Hit Hard past deep backward point for 4 runs.",Four runs,4
27.2,"Thomas Hobson to Thomas Kaber. Length ball, pushing, Played to short leg for no runs.",Dot ball,0
27.3,"Thomas Hobson to Thomas Kaber. Length ball, defending, Played to silly point for no runs.",Dot ball,0
27.4,"Thomas Hobson to Thomas Kaber. Length ball, pushing, Played to short mid wicket for no runs.",Dot ball,0
27.5,"Thomas Hobson to Thomas Kaber. Length ball, pushing, Played to mid wicket for 1 run.",One run,1
27.6,"Thomas Hobson to Joshua van Heerden. Length ball, defending, Played to mid off for no runs.",Dot ball,0
28.0,Over 28. 5 runs. Bowler: Thomas Hobson. Eastern Cape Iinyathi: 78/4(rr 2.79),End of over,
28.1,"Sithembile Langa to Thomas Kaber. Length ball, pushing, Played to silly point for no runs.",Dot ball,0
28.2,"Sithembile Langa to Thomas Kaber. Short, Leave, for no runs, fielded by Masondo.",Dot ball,0
28.3,"Sithembile Langa to Thomas Kaber. Length ball, defending, Played to silly point for no runs.",Dot ball,0
