Ov,T,S,Sv
0.0,Start of Northern Cape Heat Innings.,,
0.1,"NEW BALL. Basheeru-Deen Walters to Bafana Mahlangu. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
0.2,"Basheeru-Deen Walters to Bafana Mahlangu. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
0.3,"Basheeru-Deen Walters to Bafana Mahlangu. Length ball, defending, Played to silly point for no runs.",Dot ball,0
0.4,"Basheeru-Deen Walters to Bafana Mahlangu. Length ball, defending, Played to silly point for no runs.",Dot ball,0
0.5,"Basheeru-Deen Walters to Bafana Mahlangu. Length ball, pushing, missed for no runs, fielded by van Briesies.",Dot ball,0
0.6,"Basheeru-Deen Walters to Bafana Mahlangu. Half volley, driving, Played back to bowler for no runs.",Dot ball,0
1.0,Over 1. no runs. Bowler: Basheeru-Deen Walters. Northern Cape Heat: 0/0(rr 0.00),End of over,
1.1,"Marcello Piedt to Ernest Kemm. Back of a length, defending, Played for no runs, fielded by van Briesies.",Dot ball,0
1.2,"Marcello Piedt to Ernest Kemm. Length ball, driving, Played to point for 3 runs.",Three runs,3
1.3,"Marcello Piedt to Bafana Mahlangu. Length ball, driving, Played for no runs, fielded by van Briesies.",Dot ball,0
1.4,"Marcello Piedt to Bafana Mahlangu. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
1.5,"Marcello Piedt to Bafana Mahlangu. Yorker, defending, Played to silly mid on for no runs.",Dot ball,0
1.6,"Marcello Piedt to Bafana Mahlangu. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
2.0,Over 2. 3 runs. Bowler: Marcello Piedt. Northern Cape Heat: 3/0(rr 1.50),End of over,
2.1,"Basheeru-Deen Walters to Ernest Kemm. Length ball, shoulders arms, for no runs, fielded by van Briesies.",Dot ball,0
2.2,"Basheeru-Deen Walters to Ernest Kemm. Length ball, defending, Played to silly point for no runs.",Dot ball,0
2.3,"Basheeru-Deen Walters to Ernest Kemm. Length ball, pushing, missed for no runs, fielded by van Briesies.",Dot ball,0
2.4,"Basheeru-Deen Walters to Ernest Kemm. Length ball, shoulders arms, for no runs, fielded by van Briesies.",Dot ball,0
2.5,"Basheeru-Deen Walters to Ernest Kemm. Length ball, defending, Played to point for no runs.",Dot ball,0
2.6,"Basheeru-Deen Walters to Ernest Kemm. Length ball, defending, Played to point for no runs.",Dot ball,0
3.0,Over 3. no runs. Bowler: Basheeru-Deen Walters. Northern Cape Heat: 3/0(rr 1.00),End of over,
3.1,"Marcello Piedt to Bafana Mahlangu. Length ball, driving, Played to point for 1 run.",One run,1
3.2,"Marcello Piedt to Ernest Kemm. Half volley, driving, Played to short extra cover for 1 run.",One run,1
3.3,"Marcello Piedt to Bafana Mahlangu. Length ball, defending, Played to silly point for no runs.",Dot ball,0
3.4,"Marcello Piedt to Bafana Mahlangu. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
3.5,"Marcello Piedt to Bafana Mahlangu. Length ball, driving, Played to cover for no runs.",Dot ball,0
3.6,"Marcello Piedt to Bafana Mahlangu. Length ball, defending, Played to point for no runs.",Dot ball,0
4.0,Over 4. 2 runs. Bowler: Marcello Piedt. Northern Cape Heat: 5/0(rr 1.25),End of over,
4.1,"Basheeru-Deen Walters to Ernest Kemm. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
4.2,"Basheeru-Deen Walters to Ernest Kemm. Length ball, defending, Played to point for no runs.",Dot ball,0
4.3,"Basheeru-Deen Walters to Ernest Kemm. Length ball, defending, missed for no runs, fielded by van Briesies.",Dot ball,0
4.4,"Basheeru-Deen Walters to Ernest Kemm. Length ball, defending, Played to leg gully for no runs.",Dot ball,0
4.5,"Basheeru-Deen Walters to Ernest Kemm. Length ball, driving, Played to point for 1 run.",One run,1
4.6,"Basheeru-Deen Walters to Bafana Mahlangu. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
5.0,Over 5. 1 run. Bowler: Basheeru-Deen Walters. Northern Cape Heat: 6/0(rr 1.20),End of over,
5.1,"Marcello Piedt to Ernest Kemm. Length ball, defending, Played to point for 1 run.",One run,1
5.2,"Marcello Piedt to Bafana Mahlangu. Length ball, driving, Played to short extra cover for no runs.",Dot ball,0
5.3,"Marcello Piedt to Bafana Mahlangu. Length ball, flick, Played to leg gully for 1 run.",One run,1
5.4,"Marcello Piedt to Ernest Kemm. Length ball, defending, Played to short leg for no runs.",Dot ball,0
5.5,"Marcello Piedt to Ernest Kemm. Length ball, defending, Played to mid wicket for no runs.",Dot ball,0
5.6,"Marcello Piedt to Ernest Kemm. Length ball, flick, Played to square leg for 1 run.",One run,1
6.0,Over 6. 3 runs. Bowler: Marcello Piedt. Northern Cape Heat: 9/0(rr 1.50),End of over,
6.1,"Basheeru-Deen Walters to Ernest Kemm. Length ball, defending, Played to leg gully for 1 run.",One run,1
6.2,"Basheeru-Deen Walters to Bafana Mahlangu. Length ball, defending, Played to point for no runs.",Dot ball,0
6.3,"Basheeru-Deen Walters to Bafana Mahlangu. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
6.4,"Basheeru-Deen Walters to Bafana Mahlangu. Length ball, Late Cut, Played to point for 2 runs.",Two runs,2
6.5,"Basheeru-Deen Walters to Bafana Mahlangu. Length ball, defending, Played to short leg for no runs.",Dot ball,0
6.6,"Basheeru-Deen Walters to Bafana Mahlangu. Length ball, defending, missed for no runs, fielded by van Briesies.",Dot ball,0
7.0,Over 7. 3 runs. Bowler: Basheeru-Deen Walters. Northern Cape Heat: 12/0(rr 1.71),End of over,
7.1,"Marcello Piedt to Ernest Kemm. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
7.2,"Marcello Piedt to Ernest Kemm. Length ball, driving, Played to extra cover for 3 runs.",Three runs,3
7.3,"Marcello Piedt to Bafana Mahlangu. Length ball, driving, Played to extra cover for 2 runs.",Two runs,2
7.4,"Marcello Piedt to Bafana Mahlangu. Length ball, driving, Played to cover for 2 runs.",Two runs,2
7.5,"Marcello Piedt to Bafana Mahlangu. Length ball, defending, Played to leg gully for no runs.",Dot ball,0
7.6,"Marcello Piedt to Bafana Mahlangu. Length ball, pushing, Played to short mid wicket for 1 run.",One run,1
8.0,Over 8. 8 runs. Bowler: Marcello Piedt. Northern Cape Heat: 20/0(rr 2.50),End of over,
8.1,"Basheeru-Deen Walters to Bafana Mahlangu. Length ball, defending, missed for no runs, fielded by van Briesies.",Dot ball,0
8.2,"Basheeru-Deen Walters to Bafana Mahlangu. Length ball, driving, Played to mid wicket for 2 runs.",Two runs,2
8.3,"Basheeru-Deen Walters to Bafana Mahlangu. Length ball, driving, Played to short mid wicket for 1 run.",One run,1
8.4,"Basheeru-Deen Walters to Ernest Kemm. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
8.5,"Basheeru-Deen Walters to Ernest Kemm. Length ball, defending, Played to silly point for no runs.",Dot ball,0
8.6,"Basheeru-Deen Walters to Ernest Kemm. Length ball, defending, Played to silly point for no runs.",Dot ball,0
9.0,Over 9. 3 runs. Bowler: Basheeru-Deen Walters. Northern Cape Heat: 23/0(rr 2.56),End of over,
9.1,"Andre Malan to Bafana Mahlangu. Length ball, driving, Played to extra cover for 2 runs.",Two runs,2
9.2,"Andre Malan to Bafana Mahlangu. Length ball, driving, Played to cover for no runs.",Dot ball,0
9.3,"Andre Malan to Bafana Mahlangu. Length ball, shoulders arms, for no runs, fielded by van Briesies.",Dot ball,0
9.4,"Andre Malan to Bafana Mahlangu. Length ball, Fended, Played to mid wicket for 1 run.",One run,1
9.5,"Andre Malan to Ernest Kemm. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
9.6,"Andre Malan to Ernest Kemm. Length ball, shoulders arms, for no runs, fielded by van Briesies.",Dot ball,0
10.0,Over 10. 3 runs. Bowler: Andre Malan. Northern Cape Heat: 26/0(rr 2.60),End of over,
10.1,"Basheeru-Deen Walters to Bafana Mahlangu. Length ball, defending, Played to backward point for 3 runs.",Three runs,3
10.2,"Basheeru-Deen Walters to Ernest Kemm. Length ball, defending, missed for no runs, fielded by van Briesies.",Dot ball,0
10.3,"Basheeru-Deen Walters to Ernest Kemm. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
10.4,"Basheeru-Deen Walters to Ernest Kemm. Length ball, defending, Played to point for no runs.",Dot ball,0
10.5,"Basheeru-Deen Walters to Ernest Kemm. Length ball, defending, Played to short leg for 1 run.",One run,1
10.6,"Basheeru-Deen Walters to Bafana Mahlangu. Length ball, driving, Played to extra cover for no runs.",Dot ball,0
11.0,Over 11. 4 runs. Bowler: Basheeru-Deen Walters. Northern Cape Heat: 30/0(rr 2.73),End of over,
11.1,"Andre Malan to Ernest Kemm. Length ball, defending, Played to extra cover for no runs.",Dot ball,0
11.2,"Andre Malan to Ernest Kemm. Length ball, defending, Played to point for no runs.",Dot ball,0
11.3,"Andre Malan to Ernest Kemm. Length ball, defending, Played to cover for no runs.",Dot ball,0
11.4,"Andre Malan to Ernest Kemm. Yorker, Fended, Played to short mid wicket for no runs.",Dot ball,0
11.5,"Andre Malan to Ernest Kemm. Length ball, defending, Played to cover for no runs.",Dot ball,0
11.6,"Andre Malan to Ernest Kemm. Short, Leave, for no runs, fielded by van Briesies.",Dot ball,0
12.0,Over 12. no runs. Bowler: Andre Malan. Northern Cape Heat: 30/0(rr 2.50),End of over,
12.1,"OUT! L.B.W. Onke Nyaku to Bafana Mahlangu. Length ball, defending, hit pad.",Wicket,W
12.2,"Onke Nyaku to Jason Oakes. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
12.3,"Onke Nyaku to Jason Oakes. Length ball, flick, Played to silly point for 1 run.",One run,1
12.4,"Onke Nyaku to Ernest Kemm. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
12.5,"Onke Nyaku to Ernest Kemm. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
12.6,"Onke Nyaku to Ernest Kemm. Length ball, driving, Played to cover for 2 runs.",Two runs,2
13.0,Over 13. 3 runs. Bowler: Onke Nyaku. Northern Cape Heat: 33/1(rr 2.54),End of over,
13.1,"Andre Malan to Jason Oakes. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
13.2,"Andre Malan to Jason Oakes. Length ball, defending, Played to mid on for no runs.",Dot ball,0
13.3,"Andre Malan to Jason Oakes. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
13.4,"Andre Malan to Jason Oakes. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
13.5,"Andre Malan to Jason Oakes. Yorker, pushing, Played to silly mid on for no runs.",Dot ball,0
13.6,"Andre Malan to Jason Oakes. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
14.0,Over 14. no runs. Bowler: Andre Malan. Northern Cape Heat: 33/1(rr 2.36),End of over,
14.1,"Onke Nyaku to Ernest Kemm. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
14.2,"Onke Nyaku to Ernest Kemm. Length ball, driving, Played to mid wicket for 2 runs.",Two runs,2
14.3,"Onke Nyaku to Ernest Kemm. Length ball, pushing, Played to short extra cover for 1 run.",One run,1
14.4,"Onke Nyaku to Jason Oakes. Length ball, defending, Played to mid off for no runs.",Dot ball,0
14.5,"Onke Nyaku to Jason Oakes. Length ball, flick, Played to mid wicket for 2 runs.",Two runs,2
14.6,"Onke Nyaku to Jason Oakes. Length ball, shoulders arms, for no runs, fielded by van Briesies.",Dot ball,0
15.0,Over 15. 5 runs. Bowler: Onke Nyaku. Northern Cape Heat: 38/1(rr 2.53),End of over,
15.1,"Andre Malan to Ernest Kemm. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
15.2,"Andre Malan to Ernest Kemm. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
15.3,"Andre Malan to Ernest Kemm. Length ball, defending, Played to mid wicket for no runs.",Dot ball,0
15.4,"Andre Malan to Ernest Kemm. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
15.5,"Andre Malan to Ernest Kemm. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
15.6,"Andre Malan to Ernest Kemm. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
16.0,Over 16. no runs. Bowler: Andre Malan. Northern Cape Heat: 38/1(rr 2.38),End of over,
16.1,"Onke Nyaku to Jason Oakes. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
16.2,"Onke Nyaku to Jason Oakes. Length ball, flick, Played to short fine leg for 2 runs.",Two runs,2
16.3,"Onke Nyaku to Jason Oakes. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
16.4,"Onke Nyaku to Jason Oakes. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
16.5,"Onke Nyaku to Jason Oakes. Length ball, pushing, Played to mid wicket for no runs.",Dot ball,0
16.6,"Onke Nyaku to Jason Oakes. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
17.0,Over 17. 2 runs. Bowler: Onke Nyaku. Northern Cape Heat: 40/1(rr 2.35),End of over,
17.1,"Andre Malan to Ernest Kemm. Length ball, glancing, Played to short fine leg for 1 run.",One run,1
17.2,"Andre Malan to Jason Oakes. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
17.3,"Andre Malan to Jason Oakes. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
17.4,"Andre Malan to Jason Oakes. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
17.5,"Andre Malan to Jason Oakes. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
17.6,"FOUR! Andre Malan to Jason Oakes. Length ball, glancing, Played past deep square leg for 4 runs.",Four runs,4
18.0,Over 18. 5 runs. Bowler: Andre Malan. Northern Cape Heat: 45/1(rr 2.50),End of over,
18.1,"Onke Nyaku to Ernest Kemm. Length ball, Fended, missed for no runs, fielded by van Briesies.",Dot ball,0
18.2,"Onke Nyaku to Ernest Kemm. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
18.3,"Onke Nyaku to Ernest Kemm. Length ball, glancing, Played to short third man for 1 run.",One run,1
18.4,"Onke Nyaku to Jason Oakes. Length ball, Late Cut, Played to backward point for no runs.",Dot ball,0
18.5,"Onke Nyaku to Jason Oakes. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
18.6,"Onke Nyaku to Jason Oakes. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
19.0,Over 19. 1 run. Bowler: Onke Nyaku. Northern Cape Heat: 46/1(rr 2.42),End of over,
19.1,"Andre Malan to Ernest Kemm. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
19.2,"Andre Malan to Ernest Kemm. Length ball, driving, Played to extra cover for no runs.",Dot ball,0
19.3,"Andre Malan to Ernest Kemm. Length ball, driving, Played to point for no runs.",Dot ball,0
19.4,"Andre Malan to Ernest Kemm. Length ball, pushing, Played to mid wicket for 1 run.",One run,1
19.5,"Andre Malan to Jason Oakes. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
19.6,"Andre Malan to Jason Oakes. Length ball, pushing, Played to mid on for no runs.",Dot ball,0
20.0,Over 20. 1 run. Bowler: Andre Malan. Northern Cape Heat: 47/1(rr 2.35),End of over,
20.1,"Onke Nyaku to Ernest Kemm. Length ball, cutting, Played to cover for 2 runs.",Two runs,2
20.2,"Onke Nyaku to Ernest Kemm. Length ball, defending, Played to point for no runs.",Dot ball,0
20.3,"Onke Nyaku to Ernest Kemm. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
20.4,"Onke Nyaku to Ernest Kemm. Length ball, defending, Played to cover for no runs.",Dot ball,0
20.5,"Onke Nyaku to Ernest Kemm. Length ball, defending, Played to cover for no runs.",Dot ball,0
20.6,"Onke Nyaku to Ernest Kemm. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
21.0,Over 21. 2 runs. Bowler: Onke Nyaku. Northern Cape Heat: 49/1(rr 2.33),End of over,
21.1,"Andre Malan to Jason Oakes. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
21.2,"Andre Malan to Jason Oakes. Length ball, defending, Played to cover for no runs.",Dot ball,0
21.3,"Andre Malan to Jason Oakes. Length ball, defending, Played to silly point for no runs.",Dot ball,0
21.4,"Andre Malan to Jason Oakes. Length ball, driving, Played back to bowler for no runs.",Dot ball,0
21.5,"Andre Malan to Jason Oakes. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
21.6,"Andre Malan to Jason Oakes. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
22.0,Over 22. no runs. Bowler: Andre Malan. Northern Cape Heat: 49/1(rr 2.23),End of over,
22.1,"Onke Nyaku to Ernest Kemm. Length ball, driving, Played to deep cover for 3 runs.",Three runs,3
22.2,"Onke Nyaku to Jason Oakes. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
22.3,"Onke Nyaku to Jason Oakes. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
22.4,"Onke Nyaku to Jason Oakes. Length ball, driving, Played to extra cover for 3 runs.",Three runs,3
22.5,"Onke Nyaku to Ernest Kemm. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
22.6,"Onke Nyaku to Ernest Kemm. Length ball, pushing, hit pad to short leg for no runs.",Dot ball,0
23.0,Over 23. 6 runs. Bowler: Onke Nyaku. Northern Cape Heat: 55/1(rr 2.39),End of over,
23.1,"Sean Whitehead to Jason Oakes. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
23.2,"Sean Whitehead to Jason Oakes. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
23.3,"Sean Whitehead to Jason Oakes. Length ball, defending, Played to cover for no runs.",Dot ball,0
23.4,"Sean Whitehead to Jason Oakes. Length ball, defending, Played to square leg for no runs.",Dot ball,0
23.5,"Sean Whitehead to Jason Oakes. Length ball, driving, Played to mid on for 1 run.",One run,1
23.6,"Sean Whitehead to Ernest Kemm. Length ball, flick, Played to deep square leg for 2 runs.",Two runs,2
24.0,Over 24. 3 runs. Bowler: Sean Whitehead. Northern Cape Heat: 58/1(rr 2.42),End of over,
24.1,"Basheeru-Deen Walters to Jason Oakes. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
24.2,"Basheeru-Deen Walters to Jason Oakes. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
24.3,"Basheeru-Deen Walters to Jason Oakes. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
24.4,"Basheeru-Deen Walters to Jason Oakes. Length ball, defending, Played to cover for no runs.",Dot ball,0
24.5,"Basheeru-Deen Walters to Jason Oakes. Length ball, defending, Played to mid wicket for no runs.",Dot ball,0
24.6,"Basheeru-Deen Walters to Jason Oakes. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
25.0,Over 25. no runs. Bowler: Basheeru-Deen Walters. Northern Cape Heat: 58/1(rr 2.32),End of over,
25.1,"Sean Whitehead to Ernest Kemm. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
25.2,"Sean Whitehead to Ernest Kemm. Length ball, defending, Played to mid wicket for no runs.",Dot ball,0
25.3,"Sean Whitehead to Ernest Kemm. Length ball, defending, Played to extra cover for no runs.",Dot ball,0
25.4,"OUT! Caught. Sean Whitehead to Ernest Kemm. Length ball, driving, Played to mid on, caught by Malan.",Wicket,W
25.5,"Sean Whitehead to Rivaldo Moonsamy. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
25.6,"Sean Whitehead to Rivaldo Moonsamy. Length ball, defending, Played to mid off for 1 run.",One run,1
26.0,Over 26. 1 run. Bowler: Sean Whitehead. Northern Cape Heat: 59/2(rr 2.27),End of over,
26.1,"Basheeru-Deen Walters to Rivaldo Moonsamy. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
26.2,"Basheeru-Deen Walters to Rivaldo Moonsamy. Length ball, Leave, for no runs, fielded by van Briesies.",Dot ball,0
26.3,"Basheeru-Deen Walters to Rivaldo Moonsamy. Length ball, driving, Played to mid off for 2 runs.",Two runs,2
26.4,"Basheeru-Deen Walters to Rivaldo Moonsamy. Length ball, defending, Played to third slip for no runs.",Dot ball,0
26.5,"Basheeru-Deen Walters to Rivaldo Moonsamy. Length ball, defending, Played to cover for no runs.",Dot ball,0
26.6,"Basheeru-Deen Walters to Rivaldo Moonsamy. Length ball, defending, Played to second slip for no runs.",Dot ball,0
27.0,Over 27. 2 runs. Bowler: Basheeru-Deen Walters. Northern Cape Heat: 61/2(rr 2.26),End of over,
27.1,"Sean Whitehead to Jason Oakes. Length ball, defending, Played to cover for no runs.",Dot ball,0
27.2,"Sean Whitehead to Jason Oakes. Length ball, defending, Played to silly point for no runs.",Dot ball,0
27.3,"Sean Whitehead to Jason Oakes. Length ball, Fended, Played to mid wicket for 2 runs.",Two runs,2
27.4,"Sean Whitehead to Jason Oakes. Length ball, defending, missed for no runs, fielded by van Briesies.",Dot ball,0
27.5,"OUT! L.B.W. Sean Whitehead to Jason Oakes. Length ball, Leave, to short leg.",Wicket,W
27.6,"Sean Whitehead to Grant Thomson. Length ball, defending, Played to silly point for 1 run.",One run,1
