Ov,T,S,Sv
0.0,Start of Mpumalanga Rhinos Innings.,,
0.1,"NEW BALL. Nico van Zyl to Tumi Koto. Length ball, pushing, Played to short extra cover for no runs.",Dot ball,0
0.2,"Nico van Zyl to Tumi Koto. Length ball, pushing, missed for no runs, fielded by Mosehle.",Dot ball,0
0.3,"OUT! Caught. Nico van Zyl to Tumi Koto. Length ball, pushing, Edged to second slip, caught by Pillay.",Wicket,W
0.4,"Nico van Zyl to Muhammed Mayet. Length ball, pushing, Played to short extra cover for no runs.",Dot ball,0
0.5,"FOUR! Nico van Zyl to Muhammed Mayet. Half volley, driving, Hit Hard past deep cover for 4 runs.",Four runs,4
0.6,"Nico van Zyl to Muhammed Mayet. Length ball, pushing, missed for no runs, fielded by Mosehle.",Dot ball,0
1.0,Over 1. 4 runs. Bowler: Nico van Zyl. Mpumalanga Rhinos: 4/1(rr 4.00),End of over,
1.1,"Amaan Khan to Benjamin van Niekerk. Length ball, dropped, Played back to bowler for no runs.",Dot ball,0
1.2,"Amaan Khan to Benjamin van Niekerk. Length ball, driving, missed for no runs, fielded by Mosehle.",Dot ball,0
1.3,"Amaan Khan to Benjamin van Niekerk. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
1.4,"Amaan Khan to Benjamin van Niekerk. Length ball, Steer, Edged to third man for 2 runs.",Two runs,2
1.5,"Amaan Khan to Benjamin van Niekerk. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
1.6,"Amaan Khan to Benjamin van Niekerk. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
2.0,Over 2. 2 runs. Bowler: Amaan Khan. Mpumalanga Rhinos: 6/1(rr 3.00),End of over,
2.1,"Nico van Zyl to Muhammed Mayet. Length ball, defending, missed for no runs, fielded by Mosehle.",Dot ball,0
2.2,"Nico van Zyl to Muhammed Mayet. Length ball, defending, missed for no runs, fielded by Mosehle.",Dot ball,0
2.3,"Nico van Zyl to Muhammed Mayet. Length ball, defending, Played to point for no runs.",Dot ball,0
2.4,"Nico van Zyl to Muhammed Mayet. Half volley, driving, Played back to bowler for no runs.",Dot ball,0
2.5,"Nico van Zyl to Muhammed Mayet. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
2.6,"Nico van Zyl to Muhammed Mayet. Length ball, flick, missed for no runs, fielded by Mosehle.",Dot ball,0
3.0,Over 3. no runs. Bowler: Nico van Zyl. Mpumalanga Rhinos: 6/1(rr 2.00),End of over,
3.1,"Amaan Khan to Benjamin van Niekerk. Length ball, shoulders arms, for no runs, fielded by Mosehle.",Dot ball,0
3.2,"Amaan Khan to Benjamin van Niekerk. Length ball, shoulders arms, for no runs, fielded by Mosehle.",Dot ball,0
3.3,"Amaan Khan to Benjamin van Niekerk. Half volley, driving, Played to deep point for 3 runs.",Three runs,3
3.4,"Amaan Khan to Muhammed Mayet. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
3.5,"Amaan Khan to Muhammed Mayet. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
3.6,"Amaan Khan to Muhammed Mayet. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
4.0,Over 4. 3 runs. Bowler: Amaan Khan. Mpumalanga Rhinos: 9/1(rr 2.25),End of over,
4.1,"Nico van Zyl to Benjamin van Niekerk. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
4.2,"Nico van Zyl to Benjamin van Niekerk. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
4.3,"Nico van Zyl to Benjamin van Niekerk. Length ball, defending, Played to cover for no runs.",Dot ball,0
4.4,"Nico van Zyl to Benjamin van Niekerk. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
4.5,"Nico van Zyl to Benjamin van Niekerk. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
4.6,"Nico van Zyl to Benjamin van Niekerk. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
5.0,Over 5. no runs. Bowler: Nico van Zyl. Mpumalanga Rhinos: 9/1(rr 1.80),End of over,
5.1,"Amaan Khan to Muhammed Mayet. Length ball, defending, hit pad to short leg for no runs.",Dot ball,0
5.2,"Amaan Khan to Muhammed Mayet. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
5.3,"Amaan Khan to Muhammed Mayet. Back of a length, defending, Played to cover for no runs.",Dot ball,0
5.4,"Amaan Khan to Muhammed Mayet. Length ball, shoulders arms, for no runs, fielded by Mosehle.",Dot ball,0
5.5,"Amaan Khan to Muhammed Mayet. Length ball, defending, missed for no runs, fielded by Mosehle.",Dot ball,0
5.6,"Amaan Khan to Muhammed Mayet. Back of a length, working, Played to short leg for no runs.",Dot ball,0
6.0,Over 6. no runs. Bowler: Amaan Khan. Mpumalanga Rhinos: 9/1(rr 1.50),End of over,
6.1,"Nico van Zyl to Benjamin van Niekerk. Back of a length, Leave, for no runs, fielded by Mosehle.",Dot ball,0
6.2,"Nico van Zyl to Benjamin van Niekerk. Length ball, shoulders arms, for no runs, fielded by Mosehle.",Dot ball,0
6.3,"Nico van Zyl to Benjamin van Niekerk. Back of a length, defending, Played to short mid wicket for no runs.",Dot ball,0
6.4,"Nico van Zyl to Benjamin van Niekerk. Length ball, driving, Played to mid on for no runs.",Dot ball,0
6.5,"Nico van Zyl to Benjamin van Niekerk. Length ball, pushing, Played back to bowler for no runs.",Dot ball,0
6.6,"Nico van Zyl to Benjamin van Niekerk. Length ball, shoulders arms, for no runs, fielded by Mosehle.",Dot ball,0
7.0,Over 7. no runs. Bowler: Nico van Zyl. Mpumalanga Rhinos: 9/1(rr 1.29),End of over,
7.1,"Amaan Khan to Muhammed Mayet. Length ball, driving, Played to cover for 1 run.",One run,1
7.2,"FOUR! Amaan Khan to Benjamin van Niekerk. Length ball, driving, Hit Hard past deep point for 4 runs.",Four runs,4
7.3,"Amaan Khan to Benjamin van Niekerk. Length ball, shoulders arms, for no runs, fielded by Mosehle.",Dot ball,0
7.4,"Amaan Khan to Benjamin van Niekerk. Half volley, defending, Played back to bowler for no runs.",Dot ball,0
7.5,"Amaan Khan to Benjamin van Niekerk. Length ball, driving, missed for no runs, fielded by Mosehle.",Dot ball,0
7.6,"Amaan Khan to Benjamin van Niekerk. Length ball, shoulders arms, for no runs, fielded by Mosehle.",Dot ball,0
8.0,Over 8. 5 runs. Bowler: Amaan Khan. Mpumalanga Rhinos: 14/1(rr 1.75),End of over,
8.1,"Nico van Zyl to Muhammed Mayet. Length ball, dropped, hit pad past third man for 4 runs.",Leg bye,lb
8.2,"Nico van Zyl to Muhammed Mayet. Length ball, defending, Edged to second slip for no runs, dropped catch by Pearse.",Dot ball,0
8.3,"Nico van Zyl to Muhammed Mayet. Length ball, defending, missed for no runs, fielded by Mosehle.",Dot ball,0
8.4,"Nico van Zyl to Muhammed Mayet. Half volley, dropped, Played to silly mid off for no runs.",Dot ball,0
8.5,"Nico van Zyl to Muhammed Mayet. Length ball, driving, Played to point for no runs.",Dot ball,0
8.6,"Nico van Zyl to Muhammed Mayet. Back of a length, defending, Played back to bowler for no runs.",Dot ball,0
9.0,Over 9. 4 runs. Bowler: Nico van Zyl. Mpumalanga Rhinos: 18/1(rr 2.00),End of over,
9.1,"Amaan Khan to Benjamin van Niekerk. Half volley, flick, Played to backward square leg for 1 run.",One run,1
9.2,"Amaan Khan to Muhammed Mayet. Length ball, dropped, Played to cover for 1 run.",One run,1
9.3,"Amaan Khan to Benjamin van Niekerk. Length ball, shoulders arms, for no runs, fielded by Mosehle.",Dot ball,0
9.4,"APPEAL! Amaan Khan to Benjamin van Niekerk. Length ball, defending, hit pad to silly point for no runs, appeal made for L.B.W.",Dot ball,0
9.5,"Amaan Khan to Benjamin van Niekerk. Length ball, shoulders arms, for no runs, fielded by Mosehle.",Dot ball,0
9.6,"Amaan Khan to Benjamin van Niekerk. Length ball, shoulders arms, for no runs, fielded by Mosehle.",Dot ball,0
10.0,Over 10. 2 runs. Bowler: Amaan Khan. Mpumalanga Rhinos: 20/1(rr 2.00),End of over,
10.1,"FOUR! Divan Posthumus to Muhammed Mayet. Length ball, driving, Hit Hard past deep cover for 4 runs.",Four runs,4
10.2,"Divan Posthumus to Muhammed Mayet. Length ball, defending, Missed (Leg Side) for no runs, fielded by Mosehle.",Dot ball,0
10.3,"Divan Posthumus to Muhammed Mayet. Length ball, cutting, Played for no runs, fielded by Mosehle.",Dot ball,0
10.4,"Divan Posthumus to Muhammed Mayet. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
10.5,"Divan Posthumus to Muhammed Mayet. Half volley, driving, Played back to bowler for no runs.",Dot ball,0
10.6,"Divan Posthumus to Muhammed Mayet. Length ball, flick, Played to point for no runs.",Dot ball,0
11.0,Over 11. 4 runs. Bowler: Divan Posthumus. Mpumalanga Rhinos: 24/1(rr 2.18),End of over,
11.1,"Amaan Khan to Benjamin van Niekerk. Length ball, shoulders arms, for no runs, fielded by Mosehle.",Dot ball,0
11.2,"Amaan Khan to Benjamin van Niekerk. Half volley, driving, Played to point for no runs.",Dot ball,0
11.3,"Amaan Khan to Benjamin van Niekerk. Half volley, driving, Played to deep point for 2 runs.",Two runs,2
11.4,"Amaan Khan to Benjamin van Niekerk. Half volley, defending, mis-timed to short leg for no runs.",Dot ball,0
11.5,"Amaan Khan to Benjamin van Niekerk. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
11.6,"Amaan Khan to Benjamin van Niekerk. Length ball, shoulders arms, for no runs, fielded by Mosehle.",Dot ball,0
12.0,Over 12. 2 runs. Bowler: Amaan Khan. Mpumalanga Rhinos: 26/1(rr 2.17),End of over,
12.1,"Divan Posthumus to Muhammed Mayet. Length ball, defending, Played to silly point for no runs.",Dot ball,0
12.2,"Divan Posthumus to Muhammed Mayet. Length ball, pushing, Played to mid off for 1 run.",One run,1
12.3,"Divan Posthumus to Benjamin van Niekerk. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
12.4,"Divan Posthumus to Benjamin van Niekerk. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
12.5,"Divan Posthumus to Benjamin van Niekerk. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
12.6,"Divan Posthumus to Benjamin van Niekerk. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
13.0,Over 13. 1 run. Bowler: Divan Posthumus. Mpumalanga Rhinos: 27/1(rr 2.08),End of over,
13.1,"Mekyle Pillay to Muhammed Mayet. Length ball, defending, Played to silly point for no runs.",Dot ball,0
13.2,"Mekyle Pillay to Muhammed Mayet. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
13.3,"Mekyle Pillay to Muhammed Mayet. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
13.4,"FOUR! Mekyle Pillay to Muhammed Mayet. Length ball, driving, Hit Hard past deep cover for 4 runs.",Four runs,4
13.5,"Mekyle Pillay to Muhammed Mayet. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
13.6,"Mekyle Pillay to Muhammed Mayet. Length ball, working, Played to mid wicket for no runs.",Dot ball,0
14.0,Over 14. 4 runs. Bowler: Mekyle Pillay. Mpumalanga Rhinos: 31/1(rr 2.21),End of over,
14.1,"Divan Posthumus to Benjamin van Niekerk. Length ball, shoulders arms, for no runs, fielded by Mosehle.",Dot ball,0
14.2,"OUT! Caught. Divan Posthumus to Benjamin van Niekerk. Length ball, pushing, Edged to second slip, caught by Rossouw.",Wicket,W
14.3,"Divan Posthumus to Yassar Cook. Back of a length, defending, Played to silly point for no runs.",Dot ball,0
14.4,"Divan Posthumus to Yassar Cook. Short, defending, Played to silly mid on for no runs.",Dot ball,0
14.5,"Divan Posthumus to Yassar Cook. Back of a length, Leave, for no runs, fielded by Mosehle.",Dot ball,0
14.6,"Divan Posthumus to Yassar Cook. Short, Leave, for no runs, fielded by Mosehle.",Dot ball,0
15.0,Over 15. no runs. Bowler: Divan Posthumus. Mpumalanga Rhinos: 31/2(rr 2.07),End of over,
15.1,"Mekyle Pillay to Muhammed Mayet. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
15.2,"Mekyle Pillay to Muhammed Mayet. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
15.3,"Mekyle Pillay to Muhammed Mayet. Length ball, flick, Missed (Leg Side) to point for no runs.",Dot ball,0
15.4,"FOUR! Mekyle Pillay to Muhammed Mayet. Length ball, cutting, Hit Hard past deep point for 4 runs.",Four runs,4
15.5,"Mekyle Pillay to Muhammed Mayet. Half volley, driving, Played to extra cover for no runs.",Dot ball,0
15.6,"Mekyle Pillay to Muhammed Mayet. Half volley, driving, mis-timed to cover for no runs.",Dot ball,0
16.0,Over 16. 4 runs. Bowler: Mekyle Pillay. Mpumalanga Rhinos: 35/2(rr 2.19),End of over,
16.1,"Divan Posthumus to Yassar Cook. Length ball, defending, missed for no runs, fielded by Mosehle.",Dot ball,0
16.2,"Divan Posthumus to Yassar Cook. Half volley, driving, Played to silly mid off for no runs.",Dot ball,0
16.3,"Divan Posthumus to Yassar Cook. Half volley, driving, Played to point for no runs.",Dot ball,0
16.4,"Divan Posthumus to Yassar Cook. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
16.5,"FOUR! Divan Posthumus to Yassar Cook. Length ball, Late Cut, Edged past third man for 4 runs.",Four runs,4
16.6,"Divan Posthumus to Yassar Cook. Length ball, driving, Played back to bowler for no runs.",Dot ball,0
17.0,Over 17. 4 runs. Bowler: Divan Posthumus. Mpumalanga Rhinos: 39/2(rr 2.29),End of over,
17.1,"Mekyle Pillay to Muhammed Mayet. Length ball, driving, Played back to bowler for no runs.",Dot ball,0
17.2,"Mekyle Pillay to Muhammed Mayet. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
17.3,"Mekyle Pillay to Muhammed Mayet. Half volley, driving, Played to cover for 1 run.",One run,1
17.4,"Mekyle Pillay to Yassar Cook. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
17.5,"Mekyle Pillay to Yassar Cook. Half volley, defending, Played to silly mid on for no runs.",Dot ball,0
17.6,"Mekyle Pillay to Yassar Cook. Length ball, defending, Played to short leg for no runs.",Dot ball,0
18.0,Over 18. 1 run. Bowler: Mekyle Pillay. Mpumalanga Rhinos: 40/2(rr 2.22),End of over,
18.1,"FOUR! Divan Posthumus to Muhammed Mayet. Half volley, driving, Hit Hard past deep extra cover for 4 runs.",Four runs,4
18.2,"Divan Posthumus to Muhammed Mayet. Length ball, Leave, for no runs, fielded by Mosehle.",Dot ball,0
18.3,"Divan Posthumus to Muhammed Mayet. Length ball, flick, Played to point for no runs.",Dot ball,0
18.4,"Divan Posthumus to Muhammed Mayet. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
18.5,"Divan Posthumus to Muhammed Mayet. Length ball, driving, Played back to bowler for no runs.",Dot ball,0
18.6,"FOUR! Divan Posthumus to Muhammed Mayet. Half volley, driving, Hit Hard past deep cover for 4 runs.",Four runs,4
19.0,Over 19. 8 runs. Bowler: Divan Posthumus. Mpumalanga Rhinos: 48/2(rr 2.53),End of over,
19.1,"Mekyle Pillay to Yassar Cook. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
19.2,"Mekyle Pillay to Yassar Cook. Half volley, driving, Played to cover for no runs.",Dot ball,0
19.3,"Mekyle Pillay to Yassar Cook. Half volley, shoulders arms, for no runs, fielded by Mosehle.",Dot ball,0
19.4,"Mekyle Pillay to Yassar Cook. Half volley, driving, Played back to bowler for no runs.",Dot ball,0
19.5,"FOUR! Mekyle Pillay to Yassar Cook. Half volley, driving, Hit Hard past deep cover for 4 runs.",Four runs,4
