Ov,T,S,Sv
0.0,Start of Northern Districts Innings.,,
0.1,"NEW BALL. Doug Bracewell to Henry Cooper. Half volley, defending, Played to silly mid on for no runs.",Dot ball,0
0.2,"Doug Bracewell to Henry Cooper. Length ball, defending, Played to point for no runs.",Dot ball,0
0.3,"Doug Bracewell to Henry Cooper. Half volley, driving, Played to mid on for no runs.",Dot ball,0
0.4,"Doug Bracewell to Henry Cooper. Back of a length, shoulders arms, for no runs, fielded by Cleaver.",Dot ball,0
0.5,"Doug Bracewell to Henry Cooper. Length ball, defending, missed for no runs, fielded by Cleaver.",Dot ball,0
0.6,"Doug Bracewell to Henry Cooper. Back of a length, Leave, for no runs, fielded by Cleaver.",Dot ball,0
1.0,Over 1. no runs. Bowler: Doug Bracewell. Northern Districts: 0/0(rr 0.00),End of over,
1.1,"Brett Randell to Jeet Raval. Half volley, defending, Played back to bowler for no runs.",Dot ball,0
1.2,"Brett Randell to Jeet Raval. Length ball, working, Edged to short leg for no runs.",Dot ball,0
1.3,"Brett Randell to Jeet Raval. Length ball, flick, Missed (Leg Side) for no runs, fielded by Cleaver.",Dot ball,0
1.4,"Brett Randell to Jeet Raval. Length ball, flick, Edged to backward square leg for 2 runs.",Two runs,2
1.5,"Brett Randell to Jeet Raval. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
1.6,"Brett Randell to Jeet Raval. Half volley, driving, Edged to silly point for no runs.",Dot ball,0
2.0,Over 2. 2 runs. Bowler: Brett Randell. Northern Districts: 2/0(rr 1.00),End of over,
2.1,"Doug Bracewell to Henry Cooper. Back of a length, cutting, mis-timed to point for 1 run.",One run,1
2.2,"Doug Bracewell to Jeet Raval. Half volley, flick, Played to backward square leg for 1 run.",One run,1
2.3,"APPEAL! Doug Bracewell to Henry Cooper. Length ball, defending, hit pad to gully for no runs, appeal made for L.B.W.",Dot ball,0
2.4,"Doug Bracewell to Henry Cooper. Back of a length, shoulders arms, for no runs, fielded by Cleaver.",Dot ball,0
2.5,"Doug Bracewell to Henry Cooper. Back of a length, defending, Played back to bowler for no runs.",Dot ball,0
2.6,"Doug Bracewell to Henry Cooper. Length ball, defending, hit pad to second slip for no runs.",Dot ball,0
3.0,Over 3. 2 runs. Bowler: Doug Bracewell. Northern Districts: 4/0(rr 1.33),End of over,
3.1,"Brett Randell to Jeet Raval. Length ball, shoulders arms, for no runs, fielded by Cleaver.",Dot ball,0
3.2,"Brett Randell to Jeet Raval. Length ball, Leave, for no runs, fielded by Cleaver.",Dot ball,0
3.3,"Brett Randell to Jeet Raval. Length ball, shoulders arms, for no runs, fielded by Cleaver.",Dot ball,0
3.4,"Brett Randell to Jeet Raval. Half volley, flick, Played to backward square leg for 1 run.",One run,1
3.5,"FOUR! Brett Randell to Henry Cooper. Half volley, driving, Hit Hard past deep extra cover for 4 runs.",Four runs,4
3.6,"FOUR! Brett Randell to Henry Cooper. Half volley, driving, Hit Hard past long off for 4 runs.",Four runs,4
4.0,Over 4. 9 runs. Bowler: Brett Randell. Northern Districts: 13/0(rr 3.25),End of over,
4.1,"Doug Bracewell to Jeet Raval. Half volley, driving, Played to deep extra cover for 3 runs.",Three runs,3
4.2,"Doug Bracewell to Henry Cooper. Back of a length, cutting, Hit Hard to deep point for 3 runs.",Three runs,3
4.3,"Doug Bracewell to Jeet Raval. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
4.4,"Doug Bracewell to Jeet Raval. Length ball, flick, Edged to point for no runs.",Dot ball,0
4.5,"Doug Bracewell to Jeet Raval. Back of a length, working, hit pad to leg gully for 1 run.",Leg bye,lb
4.6,"Doug Bracewell to Henry Cooper. Length ball, pushing, Played to short extra cover for 1 run.",One run,1
5.0,Over 5. 8 runs. Bowler: Doug Bracewell. Northern Districts: 21/0(rr 4.20),End of over,
