Ov,T,S,Sv
0.0,"Start of New South Wales Innings. A beautiful day greets the players in Albury in the match between NSW and Victoria. The teams come into the penultimate round having had contrasting seasons. The young Victorian team have exceeded expectations and are in a good position to secure a place in the final, currently sitting second. Meanwhile, NSW have had a poor season. They have two matches left to avoid the ignominy of a winless campaign.",,
0.1,"NEW BALL. Mitchell Perry to Blake Nikitaras. Length ball, shoulders arms, for no runs, fielded by Harper.",Dot ball,0
0.2,"Mitchell Perry to Blake Nikitaras. Length ball, shoulders arms, for no runs, fielded by Harper.",Dot ball,0
0.3,"OUT! Caught. Mitchell Perry to Blake Nikitaras. Length ball, defending, Edged, caught by Harper.",Wicket,W
0.4,"Mitchell Perry to Kurtis Patterson. Length ball, defending, missed for no runs, fielded by Harper.",Dot ball,0
0.5,"Mitchell Perry to Kurtis Patterson. Length ball, Leave, for no runs, fielded by Harper.",Dot ball,0
0.6,"Mitchell Perry to Kurtis Patterson. Half volley, defending, Played to point for no runs.",Dot ball,0
1.0,Over 1. no runs. Bowler: Mitchell Perry. New South Wales: 0/1(rr 0.00),End of over,
1.1,"Fergus O'Neill to Daniel Hughes. Length ball, defending, missed for no runs, fielded by Harper.",Dot ball,0
1.2,"Fergus O'Neill to Daniel Hughes. Length ball, defending, Played to extra cover for no runs.",Dot ball,0
1.3,"Fergus O'Neill to Daniel Hughes. Back of a length, defending, Played to short extra cover for no runs.",Dot ball,0
1.4,"Fergus O'Neill to Daniel Hughes. Half volley, driving, Edged to fine leg for no runs.",Dot ball,0
1.5,"Fergus O'Neill to Daniel Hughes. Length ball, defending, Played to short extra cover for 1 run.",One run,1
1.6,"Fergus O'Neill to Kurtis Patterson. Length ball, defending, Played to extra cover for no runs.",Dot ball,0
2.0,Over 2. 1 run. Bowler: Fergus O'Neill. New South Wales: 1/1(rr 0.50),End of over,
2.1,"Mitchell Perry to Daniel Hughes. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
2.2,"Mitchell Perry to Daniel Hughes. Back of a length, defending, Edged to gully for no runs.",Dot ball,0
2.3,"Mitchell Perry to Daniel Hughes. Length ball, glancing, missed for no runs, fielded by Harper.",Dot ball,0
2.4,"Mitchell Perry to Daniel Hughes. Back of a length, Leave, for no runs, fielded by Harper.",Dot ball,0
2.5,"Mitchell Perry to Daniel Hughes. Length ball, Leave, for no runs, fielded by Harper.",Dot ball,0
