Ov,T,S,Sv
0.0,Start of Dolphins Innings.,,
0.1,"NEW BALL. Eldred Hawken to Sarel Erwee. Length ball, defending, Played to extra cover for no runs.",Dot ball,0
0.2,"Eldred Hawken to Sarel Erwee. Back of a length, defending, hit pad to second slip for no runs.",Dot ball,0
0.3,"Eldred Hawken to Sarel Erwee. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
0.4,"Eldred Hawken to Sarel Erwee. Length ball, Leave, for no runs, fielded by Cotani.",Dot ball,0
0.5,"OUT! Caught. Eldred Hawken to Sarel Erwee. Length ball, driving, Edged in the air uncontrolled to second slip, caught by Britz.",Wicket,W
0.6,"Eldred Hawken to Marques Ackerman. Length ball, driving, missed for no runs, fielded by Cotani.",Dot ball,0
1.0,Over 1. no runs. Bowler: Eldred Hawken. Dolphins: 0/1(rr 0.00),End of over,
1.1,"Duan Jansen to Tshepang Dithole. Back of a length, defending, Hit Hard to short extra cover for no runs, fielded by Senokwane.",Dot ball,0
1.2,"FOUR! Duan Jansen to Tshepang Dithole. Length ball, glancing, Hit Hard past fine leg for 4 runs.",Four runs,4
1.3,"Duan Jansen to Tshepang Dithole. Back of a length, shoulders arms, for no runs, fielded by Cotani.",Dot ball,0
1.4,"Duan Jansen to Tshepang Dithole. Back of a length, Leave, for no runs, fielded by Cotani.",Dot ball,0
1.5,"Duan Jansen to Tshepang Dithole. Back of a length, defending, missed for no runs, fielded by Cotani.",Dot ball,0
1.6,"Duan Jansen to Tshepang Dithole. Back of a length, shoulders arms, for no runs, fielded by Cotani.",Dot ball,0
2.0,Over 2. 4 runs. Bowler: Duan Jansen. Dolphins: 4/1(rr 2.00),End of over,
2.1,"Eldred Hawken to Marques Ackerman. Length ball, Leave, for no runs, fielded by Cotani.",Dot ball,0
2.2,"Eldred Hawken to Marques Ackerman. Half volley, driving, mis-timed to mid off for no runs, fielded by Senokwane.",Dot ball,0
2.3,"Eldred Hawken to Marques Ackerman. Length ball, defending, missed for no runs, fielded by Cotani.",Dot ball,0
2.4,"Eldred Hawken to Marques Ackerman. Back of a length, defending, missed for no runs, fielded by Cotani.",Dot ball,0
2.5,"Eldred Hawken to Marques Ackerman. Length ball, defending, Played to short mid wicket for no runs.",Dot ball,0
2.6,"Eldred Hawken to Marques Ackerman. Length ball, driving, Played to cover for no runs, fielded by King.",Dot ball,0
3.0,Over 3. no runs. Bowler: Eldred Hawken. Dolphins: 4/1(rr 1.33),End of over,
3.1,"Duan Jansen to Tshepang Dithole. Back of a length, shoulders arms, for no runs, fielded by Cotani.",Dot ball,0
3.2,"Duan Jansen to Tshepang Dithole. Length ball, defending, Played to cover for no runs, fielded by King.",Dot ball,0
3.3,"Duan Jansen to Tshepang Dithole. Back of a length, Leave, for no runs, fielded by Cotani.",Dot ball,0
3.4,"Duan Jansen to Tshepang Dithole. Back of a length, Leave, for no runs, fielded by Cotani.",Dot ball,0
3.5,"Duan Jansen to Tshepang Dithole. Back of a length, Leave, for no runs, fielded by Cotani.",Dot ball,0
3.6,"Duan Jansen to Tshepang Dithole. Back of a length, defending, mis-timed to short leg for no runs.",Dot ball,0
4.0,Over 4. no runs. Bowler: Duan Jansen. Dolphins: 4/1(rr 1.00),End of over,
4.1,"Eldred Hawken to Marques Ackerman. Length ball, driving, Played to mid off for 1 run, fielded by Senokwane.",One run,1
4.2,"Eldred Hawken to Tshepang Dithole. Length ball, Leave, for no runs, fielded by Cotani.",Dot ball,0
4.3,"Eldred Hawken to Tshepang Dithole. Length ball, driving, missed for no runs, fielded by Cotani.",Dot ball,0
4.4,"Eldred Hawken to Tshepang Dithole. Length ball, defending, Played to cover for no runs, fielded by King.",Dot ball,0
4.5,"Eldred Hawken to Tshepang Dithole. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
4.6,"Eldred Hawken to Tshepang Dithole. Back of a length, defending, Played to short mid wicket for no runs, fielded by Meyer.",Dot ball,0
5.0,Over 5. 1 run. Bowler: Eldred Hawken. Dolphins: 5/1(rr 1.00),End of over,
5.1,"Duan Jansen to Marques Ackerman. Back of a length, Leave, for no runs, fielded by Cotani.",Dot ball,0
5.2,"Duan Jansen to Marques Ackerman. Length ball, defending, Edged to point for no runs, fielded by King.",Dot ball,0
5.3,"OUT! Caught. Duan Jansen to Marques Ackerman. Length ball, flick, mis-timed in the air uncontrolled to fine leg, caught by Hawken.",Wicket,W
5.4,"Duan Jansen to Khaya Zondo. Length ball, defending, Played to short extra cover for no runs, fielded by King.",Dot ball,0
5.5,"Duan Jansen to Khaya Zondo. Length ball, Leave, for no runs, fielded by Cotani.",Dot ball,0
5.6,"Duan Jansen to Khaya Zondo. Length ball, Leave, Missed (Leg Side) for no runs, fielded by Cotani.",Dot ball,0
6.0,Over 6. no runs. Bowler: Duan Jansen. Dolphins: 5/2(rr 0.83),End of over,
6.1,"Eldred Hawken to Tshepang Dithole. Length ball, driving, Played to mid off for no runs, fielded by Senokwane.",Dot ball,0
