Ov,T,S,Sv
0.0,Start of Auckland Aces Innings.,,
0.1,"NEW BALL. Logan van Beek to William O'Donnell. Length ball, Leave, for no runs, fielded by McLachlan.",Dot ball,0
0.2,"Logan van Beek to William O'Donnell. Length ball, driving, Played to long off for 2 runs.",Two runs,2
0.3,"Logan van Beek to William O'Donnell. Length ball, glancing, hit pad to fine leg for 2 runs.",Leg bye,lb
0.4,"Logan van Beek to William O'Donnell. Length ball, Leave, for no runs, fielded by McLachlan.",Dot ball,0
0.5,"Logan van Beek to William O'Donnell. Length ball, Leave, for no runs, fielded by McLachlan.",Dot ball,0
0.6,"Logan van Beek to William O'Donnell. Length ball, Leave, for no runs, fielded by McLachlan.",Dot ball,0
1.0,Over 1. 4 runs. Bowler: Logan van Beek. Auckland Aces: 4/0(rr 4.00),End of over,
1.1,"Iain McPeake to Sean Solia. Length ball, defending, Played to silly mid on for no runs.",Dot ball,0
1.2,"Iain McPeake to Sean Solia. Length ball, working, Played to square leg for no runs.",Dot ball,0
1.3,"Iain McPeake to Sean Solia. Length ball, Leave, for no runs, fielded by McLachlan.",Dot ball,0
1.4,"Iain McPeake to Sean Solia. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
1.5,"Iain McPeake to Sean Solia. Length ball, Leave, for no runs, fielded by McLachlan.",Dot ball,0
1.6,"Iain McPeake to Sean Solia. Length ball, Steer, Played to gully for no runs.",Dot ball,0
2.0,Over 2. no runs. Bowler: Iain McPeake. Auckland Aces: 4/0(rr 2.00),End of over,
2.1,"Logan van Beek to William O'Donnell. Length ball, pushing, Played to mid on for no runs.",Dot ball,0
2.2,"Logan van Beek to William O'Donnell. Length ball, pushing, Played to short mid wicket for no runs.",Dot ball,0
2.3,"Logan van Beek to William O'Donnell. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
2.4,"Logan van Beek to William O'Donnell. Length ball, defending, Played to mid off for no runs.",Dot ball,0
2.5,"Logan van Beek to William O'Donnell. Short, Leave, for no runs, fielded by McLachlan.",Dot ball,0
2.6,"Logan van Beek to William O'Donnell. Back of a length, defending, Played back to bowler for no runs.",Dot ball,0
3.0,Over 3. no runs. Bowler: Logan van Beek. Auckland Aces: 4/0(rr 1.33),End of over,
3.1,"Iain McPeake to Sean Solia. Short, defending, Played to short extra cover for no runs.",Dot ball,0
3.2,"Iain McPeake to Sean Solia. Back of a length, defending, Played to silly point for no runs.",Dot ball,0
3.3,"Iain McPeake to Sean Solia. Length ball, flick, Played to mid wicket for no runs.",Dot ball,0
3.4,"Iain McPeake to Sean Solia. Length ball, Leave, for no runs, fielded by McLachlan.",Dot ball,0
3.5,"Iain McPeake to Sean Solia. Length ball, Leave, for no runs, fielded by McLachlan.",Dot ball,0
3.6,"Iain McPeake to Sean Solia. Length ball, defending, Played to silly mid off for no runs.",Dot ball,0
