Ov,T,S,Sv
0.0,Start of Sri Lanka Innings.,,
0.1,"NEW BALL. James Hartshorn to Oshada Fernando. Length ball, working, Played to mid wicket for 1 run.",One run,1
0.2,"James Hartshorn to Dimuth Karunaratne. Length ball, working, hit pad to mid wicket for 1 run.",Leg bye,lb
0.3,"James Hartshorn to Oshada Fernando. Length ball, pushing, Played to extra cover for no runs.",Dot ball,0
0.4,"James Hartshorn to Oshada Fernando. Length ball, cutting, missed for no runs, fielded by Ave.",Dot ball,0
0.5,"James Hartshorn to Oshada Fernando. Length ball, pushing, Played to cover for no runs.",Dot ball,0
0.6,"James Hartshorn to Oshada Fernando. Back of a length, defending, Played back to bowler for no runs.",Dot ball,0
1.0,Over 1. 2 runs. Bowler: James Hartshorn. Sri Lanka: 2/0(rr 2.00),End of over,
1.1,"Matthew Bacon to Dimuth Karunaratne. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
1.2,"FOUR! Matthew Bacon to Dimuth Karunaratne. Length ball, driving, Edged past deep backward point for 4 runs.",Four runs,4
1.3,"Matthew Bacon to Dimuth Karunaratne. Length ball, defending, Played to extra cover for no runs.",Dot ball,0
1.4,"Matthew Bacon to Dimuth Karunaratne. Length ball, Leave, for no runs, fielded by Ave.",Dot ball,0
1.5,"Matthew Bacon to Dimuth Karunaratne. Length ball, pushing, Played to cover for no runs.",Dot ball,0
1.6,"Matthew Bacon to Dimuth Karunaratne. Length ball, glancing, Missed (Leg Side) for no runs, fielded by Ave.",Dot ball,0
2.0,Over 2. 4 runs. Bowler: Matthew Bacon. Sri Lanka: 6/0(rr 3.00),End of over,
2.1,"James Hartshorn to Oshada Fernando. Length ball, pushing, Played to cover for no runs.",Dot ball,0
2.2,"James Hartshorn to Oshada Fernando. Length ball, pushing, Played to cover for no runs.",Dot ball,0
2.3,"James Hartshorn to Oshada Fernando. Length ball, Leave, for no runs, fielded by Ave.",Dot ball,0
2.4,"James Hartshorn to Oshada Fernando. Back of a length, working, Played to backward square leg for 1 run.",One run,1
2.5,"James Hartshorn to Dimuth Karunaratne. Length ball, pushing, Played to cover for no runs.",Dot ball,0
2.6,"James Hartshorn to Dimuth Karunaratne. Length ball, Leave, for no runs, fielded by Ave.",Dot ball,0
3.0,Over 3. 1 run. Bowler: James Hartshorn. Sri Lanka: 7/0(rr 2.33),End of over,
3.1,"Matthew Bacon to Oshada Fernando. Length ball, pushing, Played to cover for no runs.",Dot ball,0
3.2,"Matthew Bacon to Oshada Fernando. Length ball, Leave, for no runs, fielded by Ave.",Dot ball,0
3.3,"Matthew Bacon to Oshada Fernando. Length ball, pushing, Played to cover for no runs.",Dot ball,0
3.4,"Matthew Bacon to Oshada Fernando. Length ball, glancing, Missed (Leg Side) for no runs, fielded by Ave.",Dot ball,0
3.5,"Matthew Bacon to Oshada Fernando. Length ball, glancing, Played to fine leg for 1 run.",One run,1
3.6,"Matthew Bacon to Dimuth Karunaratne. Length ball, dropped, Played to short extra cover for 1 run.",One run,1
4.0,Over 4. 2 runs. Bowler: Matthew Bacon. Sri Lanka: 9/0(rr 2.25),End of over,
4.1,"James Hartshorn to Dimuth Karunaratne. Length ball, pushing, Played to cover for no runs.",Dot ball,0
4.2,"James Hartshorn to Dimuth Karunaratne. Length ball, working, Played to mid wicket for 1 run.",One run,1
4.3,"James Hartshorn to Oshada Fernando. Length ball, pushing, Played to cover for no runs.",Dot ball,0
4.4,"James Hartshorn to Oshada Fernando. Length ball, pushing, Played to cover for no runs.",Dot ball,0
4.5,"James Hartshorn to Oshada Fernando. Back of a length, working, Played to mid wicket for no runs.",Dot ball,0
4.6,"James Hartshorn to Oshada Fernando. Back of a length, pulling, Hit Hard to deep square leg for 1 run.",One run,1
5.0,Over 5. 2 runs. Bowler: James Hartshorn. Sri Lanka: 14/0(rr 2.80),End of over,
5.1,"Matthew Bacon to Oshada Fernando. Length ball, defending, Played back to bowler for no runs.",Dot ball,0
5.2,"Matthew Bacon to Oshada Fernando. Length ball, defending, Played to extra cover for no runs.",Dot ball,0
5.3,"Matthew Bacon to Oshada Fernando. Length ball, dropped, Played to cover for 1 run.",One run,1
5.4,"FOUR! Matthew Bacon to Dimuth Karunaratne. Back of a length, pulling, Hit Hard past deep backward square leg for 4 runs.",Four runs,4
5.5,"Matthew Bacon to Dimuth Karunaratne. Length ball, pushing, Played to cover for 1 run.",One run,1
5.6,"Matthew Bacon to Oshada Fernando. Length ball, working, Played to mid wicket for no runs.",Dot ball,0
6.0,Over 6. 6 runs. Bowler: Matthew Bacon. Sri Lanka: 20/0(rr 3.33),End of over,
