Ov,T,S,Sv
0.0,"Start of Delhi Capitals Women Innings. Hello and welcome everyone to the first double header of the Women's Premier League 2023 live from Brabourne Stadium, Mumbai. In the first match, Royal Challengers is playing against Delhi Capitals, and both sides would like to kickstart the tournament with a victory. An exciting contest awaits us. Here we go.",,
0.1,"NEW BALL. Renuka Singh Thakur to Meg Lanning. Length ball, outside off stump on the back foot pushing, to point for no runs, fielded by Ahuja.",Dot ball,0
0.2,"Renuka Singh Thakur to Meg Lanning. In-swinging length ball, outside off stump on the front foot working, to short mid wicket for no runs, fielded by Bose.",Dot ball,0
0.3,"Renuka Singh Thakur to Meg Lanning. In-swinging length ball, outside off stump on the front foot working, to short mid wicket for 1 run, fielded by Bose.",One run,1
0.4,"Renuka Singh Thakur to Shafali Verma. In-swinging length ball, outside off stump on the front foot pushing, missed for no runs, fielded by Ghosh.",Dot ball,0
0.5,"Renuka Singh Thakur to Shafali Verma. Length ball, outside off stump down the track working, to deep mid wicket for 2 runs, run save by Devine, fielded by Perry.",Two runs,2
0.6,"Renuka Singh Thakur to Shafali Verma. Back of a length, outside off stump down the track pushing, to point for no runs, fielded by Schutt.",Dot ball,0
1.0,Over 1. Power Play Fielding. 3 runs. Bowler: Renuka Singh Thakur. Delhi Capitals Women: 3/0(rr 3.00),End of over,
1.1,"Megan Schutt to Meg Lanning. In-swinging length ball, outside off stump on the front foot defending, to short extra cover for no runs, fielded by Perry.",Dot ball,0
1.2,"Megan Schutt to Meg Lanning. In-swinging length ball, outside off stump on the front foot working, to square leg for 1 run, fielded by Knight.",One run,1
1.3,"FOUR! Megan Schutt to Shafali Verma. In-swinging length ball, outside off stump down the track flick, well timed in the air under control past deep mid wicket for 4 runs.",Four runs,4
1.4,"Megan Schutt to Shafali Verma. In-swinging length ball, outside off stump down the track working, to deep mid wicket for 1 run, fielded by Kasat.",One run,1
1.5,"FOUR! Megan Schutt to Meg Lanning. In-swinging back of a length, outside off stump on the back foot pulling, well timed in the air under control past deep backward square leg for 4 runs.",Four runs,4
1.6,"FOUR! Megan Schutt to Meg Lanning. Length ball, outside off stump on the back foot Steer, well timed past third man for 4 runs.",Four runs,4
2.0,Over 2. Power Play Fielding. 14 runs. Bowler: Megan Schutt. Delhi Capitals Women: 17/0(rr 8.50),End of over,
2.1,"Renuka Singh Thakur to Shafali Verma. Out-swinging back of a length, outside off stump down the track driving, well timed to cover for no runs, fielded by Kasat.",Dot ball,0
2.2,"Renuka Singh Thakur to Shafali Verma. Out-swinging length ball, outside off stump on the front foot flick, well timed to deep mid wicket for 1 run, fielded by Perry.",One run,1
2.3,"Renuka Singh Thakur to Meg Lanning. Length ball, outside off stump on the back foot pushing, missed for no runs, fielded by Ghosh.",Dot ball,0
2.4,"FOUR! Renuka Singh Thakur to Meg Lanning. Length ball, outside off stump on the front foot flick, well timed in the air under control past deep backward square leg for 4 runs.",Four runs,4
