Ov,T,S,Sv
0.0,"Start of Tasmania Innings. Good morning from the WACA Ground where Western Australia are taking on Tasmania in the Marsh Sheffield Shield. It's a return fixture from just a week ago where WA had a massive 383 run win in Hobart, and another performance like that would secure them Shield Final hosting rights for the second year running. It's a warm and slightly overcast morning here in Perth, with warm sunny conditions expected for the remainder of the match. Despite a green looking pitch, Jordan Silk won the toss for Tasmania and has elected to bat first. Stay tuned for the start of play at 10:30am WST.",,
0.1,"NEW BALL. Joel Paris to Tim Ward. Length ball, shoulders arms, for no runs, fielded by Inglis.",Dot ball,0
0.2,"Joel Paris to Tim Ward. Length ball, defending, missed for no runs, fielded by Inglis.",Dot ball,0
0.3,"Joel Paris to Tim Ward. Length ball, defending, Played to gully for no runs.",Dot ball,0
0.4,"Joel Paris to Tim Ward. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
0.5,"Joel Paris to Tim Ward. Back of a length, defending, Played to backward point for no runs.",Dot ball,0
0.6,"Joel Paris to Tim Ward. Length ball, defending, Played to backward point for no runs.",Dot ball,0
1.0,Over 1. no runs. Bowler: Joel Paris. Tasmania: 0/0(rr 0.00),End of over,
1.1,"Matthew Kelly to Caleb Jewell. Back of a length, working, Played to backward square leg for 1 run.",One run,1
1.2,"Matthew Kelly to Tim Ward. Length ball, defending, Played to silly point for no runs.",Dot ball,0
1.3,"Matthew Kelly to Tim Ward. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
1.4,"Matthew Kelly to Tim Ward. Half volley, defending, Played to short extra cover for no runs.",Dot ball,0
1.5,"Matthew Kelly to Tim Ward. Length ball, pushing, Played to short extra cover for 1 run.",One run,1
1.6,"Matthew Kelly to Caleb Jewell. Half volley, defending, Played to mid off for no runs.",Dot ball,0
2.0,Over 2. 2 runs. Bowler: Matthew Kelly. Tasmania: 2/0(rr 1.00),End of over,
2.1,"Joel Paris to Tim Ward. Back of a length, defending, missed for no runs, fielded by Inglis.",Dot ball,0
2.2,"Joel Paris to Tim Ward. Length ball, defending, Played to gully for no runs.",Dot ball,0
2.3,"Joel Paris to Tim Ward. Length ball, defending, Played to point for no runs.",Dot ball,0
2.4,"Joel Paris to Tim Ward. Length ball, defending, Played to short extra cover for no runs.",Dot ball,0
2.5,"Joel Paris to Tim Ward. Length ball, shoulders arms, for no runs, fielded by Inglis.",Dot ball,0
2.6,"Joel Paris to Tim Ward. Length ball, defending, Edged to first slip for no runs.",Dot ball,0
3.0,Over 3. no runs. Bowler: Joel Paris. Tasmania: 2/0(rr 0.67),End of over,
3.1,"Matthew Kelly to Caleb Jewell. Length ball, defending, Played to mid off for no runs.",Dot ball,0
3.2,"FOUR! Matthew Kelly to Caleb Jewell. Length ball, glancing, Edged past fine leg for 4 runs.",Four runs,4
3.3,"Matthew Kelly to Caleb Jewell. Back of a length, defending, Edged to third slip for no runs.",Dot ball,0
3.4,"Matthew Kelly to Caleb Jewell. Length ball, defending, missed for no runs, fielded by Inglis.",Dot ball,0
