Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Krishnappa Gowtham,424377,4,0,19,0,4.75,10,1,0,0,0,0
Dhawal Kulkarni,277955,3,0,26,0,8.66,7,4,0,1,0,0
Jofra Archer,669855,4,0,47,1,11.75,7,6,2,0,1,0
Shreyas Gopal,344580,4,1,12,3,3.00,16,1,0,0,0,0
Varun Aaron,360911,1,0,16,0,16.00,0,3,0,0,0,0
Stuart Binny,27223,1,0,6,0,6.00,1,0,0,0,0,0
Ben Stokes,311158,3,0,29,0,9.66,4,3,1,0,0,0
Umesh Yadav,376116,3.5,0,40,0,10.43,6,4,1,1,0,1
Navdeep Saini,700167,4,0,35,0,8.75,12,7,0,1,0,1
Mohammed Siraj,940973,4,0,25,1,6.25,11,1,1,1,0,1
Yuzvendra Chahal,430246,4,0,17,2,4.25,11,0,0,2,0,1
Marcus Stoinis,325012,3,0,28,0,9.33,3,4,0,0,0,1
Moeen Ali,8917,1,0,14,0,14.00,1,1,1,0,0,1
