Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Matt Henry,506612,24,2,93,4,3.87,2,0,0
Colin de Grandhomme,55395,24,4,62,2,2.58,0,0,0
Neil Wagner,233713,25.2,2,104,3,4.10,1,0,0
Jeetan Patel,38141,7,0,30,0,4.28,0,0,0
Mitchell Santner,502714,9,3,24,1,2.66,0,0,0
Vernon Philander,46945,33,7,79,0,2.39,0,2,1
Morne Morkel,46538,36.1,7,100,4,2.76,0,0,1
Kagiso Rabada,550215,34,3,122,4,3.58,1,1,1
Keshav Maharaj,267724,50,8,118,2,2.36,0,0,1
Jean-Paul Duminy,44932,6,0,38,0,6.33,0,0,1
Dean Elgar,230852,1,0,13,0,13.00,0,0,1
Temba Bavuma,372116,2,0,7,0,3.50,0,0,1
Matt Henry,506612,11,4,20,1,1.81,0,0,2
Colin de Grandhomme,55395,8,5,15,1,1.87,0,0,2
Neil Wagner,233713,5,0,16,0,3.20,0,0,2
Jeetan Patel,38141,12,2,22,2,1.83,0,0,2
Mitchell Santner,502714,3,0,7,0,2.33,0,0,2
