Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Johan Botha,44149,4,0,26,1,6.50,0,0,0
Steve O'Keefe,7069,4,0,23,1,5.75,0,0,0
Doug Bollinger,4508,2,0,20,1,10.00,0,0,0
William Somerville,38607,2,0,10,2,5.00,0,0,0
Sean Abbott,398666,4,0,30,2,7.50,1,0,0
Ben Dwarshuis,679567,4,0,21,1,5.25,0,0,0
David Willey,308251,2,0,15,0,7.50,0,0,1
Ashton Agar,505120,4,0,34,0,8.50,0,0,1
Ashton Turner,500268,1,0,12,0,12.00,0,0,1
Andrew Tye,459508,4,0,15,3,3.75,0,0,1
Jhye Richardson,774223,4,0,36,0,9.00,1,0,1
Mitchell Marsh,272450,2,0,13,1,6.50,0,0,1
Adam Voges,8119,1,0,6,0,6.00,0,0,1
