Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Shannon Gabriel,446101,7.4,0,25,2,3.26,33,2,0,3,1,0
Jason Holder,391485,9,1,38,2,4.22,41,2,2,6,0,0
Rovman Powell,820351,2.2,0,8,0,3.42,8,0,0,0,0,0
Alzarri Joseph,670031,6,0,15,2,2.50,31,0,1,4,0,0
Ashley Nurse,315594,9.3,0,33,2,3.47,37,2,0,0,0,0
Roston Chase,391832,3,1,15,1,5.00,9,1,0,0,0,0
Dawlat Zadran,516561,7.2,1,47,0,6.40,23,8,0,0,0,1
Mohammad Nabi,25913,10,0,33,1,3.30,36,1,0,1,0,1
Rashid Khan,793463,10,1,26,3,2.60,42,2,0,0,0,1
Gulbadin Naib,352048,5,1,15,2,3.00,20,1,0,1,0,1
Amir Hamza,402245,7,0,15,0,2.14,27,0,0,0,0,1
