Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Kagiso Rabada,550215,4,0,30,1,7.50,13,0,2,2,1,0
Chris Morris,439952,4,0,33,0,8.25,10,2,2,1,0,0
Zaheer Khan,30102,4,0,36,0,9.00,8,6,0,1,0,0
Amit Mishra,31107,4,1,18,2,4.50,14,2,0,1,0,0
Pat Cummins,489889,4,0,20,2,5.00,11,1,0,1,0,0
Mitchell Johnson,6033,4,1,23,0,5.75,14,3,0,1,0,1
Mitchell McClenaghan,319439,4,0,24,3,6.00,12,2,1,1,0,1
Jasprit Bumrah,625383,4,0,21,2,5.25,11,2,0,1,0,1
Hardik Pandya,625371,3,0,23,1,7.66,6,2,0,2,0,1
Harbhajan Singh,29264,4,0,26,0,6.50,9,2,1,0,0,1
Krunal Pandya,471342,1,0,8,0,8.00,1,1,0,0,0,1
