Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Sheldon Cottrell,495551,7,0,33,1,4.71,26,4,0,1,0,0
Jason Holder,391485,10,2,21,2,2.10,47,1,0,0,0,0
Alzarri Joseph,670031,5,0,42,0,8.40,13,6,1,1,0,0
Romario Shepherd,677077,6.2,0,32,2,5.05,19,2,1,0,0,0
Roston Chase,391832,10,0,31,2,3.10,41,2,0,3,0,0
Hayden Walsh,443263,7,0,33,1,4.71,24,3,1,0,0,0
Mujeeb Ur Rahman,974109,10,1,33,2,3.30,38,2,0,1,0,1
Naveen-ul-Haq,793447,8,1,30,1,3.75,32,3,0,1,0,1
Rashid Khan,793463,10,0,43,0,4.30,36,6,0,0,0,1
Mohammad Nabi,25913,10,0,44,0,4.40,29,3,0,2,0,1
Gulbadin Naib,352048,5,0,28,0,5.60,9,1,0,0,0,1
Javed Ahmadi,308235,3.3,0,15,0,4.28,13,2,0,0,0,1
