Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Craig Young,364343,10,0,82,2,8.19,2,1,0
Peter Chase,524845,8,0,69,2,8.62,2,1,0
George Dockrell,348034,10,0,65,1,6.50,0,0,0
Barry McCarthy,348059,10,0,65,1,6.50,3,0,0
Simi Singh,1005257,10,0,38,0,3.80,1,0,0
Paul Stirling,303427,2,0,19,0,9.50,0,0,0
Matt Henry,506612,8,1,36,3,4.50,0,0,1
Adam Milne,450860,8,1,29,1,3.62,1,0,1
Corey Anderson,277662,4,0,15,2,3.75,0,0,1
Scott Kuggeleijn,539548,5,1,17,2,3.40,1,0,1
Mitchell Santner,502714,7,0,27,1,3.85,0,0,1
Ish Sodhi,559066,7.3,0,25,1,3.33,0,0,1
