Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Tim Murtagh,17134,10,0,27,1,2.70,0,0,0
George Dockrell,348034,9,0,28,4,3.11,3,0,0
Boyd Rankin,24599,10,0,41,1,4.09,2,0,0
Barry McCarthy,348059,9.2,0,32,3,3.42,2,0,0
Paul Stirling,303427,5,1,25,1,5.00,0,0,0
Kevin O'Brien,24605,5,0,23,0,4.59,2,0,0
Shapoor Zadran,319746,7,0,71,0,10.14,2,0,1
Mujeeb Ur Rahman,974109,10,1,42,1,4.20,0,0,1
Gulbadin Naib,352048,3,1,12,0,4.00,0,0,1
Rashid Khan,793463,9,1,17,2,1.88,1,0,1
Mohammad Nabi,25913,9,0,28,2,3.11,0,0,1
