Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Mitchell Starc,311592,21,6,80,2,3.80,0,0,0
Josh Hazlewood,288284,23,4,65,2,2.82,0,0,0
Pat Cummins,489889,24.3,5,80,4,3.26,2,0,0
Nathan Lyon,272279,37,5,86,1,2.32,0,0,0
Mitchell Marsh,272450,7,0,33,0,4.71,0,0,0
James Anderson,8608,34,14,56,1,1.64,0,0,1
Stuart Broad,10617,30,2,121,1,4.03,0,0,1
Moeen Ali,8917,48,10,170,2,3.54,0,0,1
Tom Curran,550235,25,3,82,1,3.28,1,0,1
Mason Crane,660889,48,3,193,1,4.02,0,2,1
Joe Root,303669,8,3,21,0,2.62,0,0,1
Mitchell Starc,311592,16,4,38,1,2.37,0,0,2
Josh Hazlewood,288284,17.1,6,36,1,2.09,0,0,2
Nathan Lyon,272279,35,12,54,3,1.54,0,0,2
Pat Cummins,489889,17,4,39,4,2.29,0,0,2
Steven Smith,267192,2,0,6,0,3.00,0,0,2
Mitchell Marsh,272450,1,1,0,0,0.00,0,0,2
