Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Trent Boult,277912,22.2,6,75,3,3.35,0,0,0
Tim Southee,232364,29,7,63,4,2.17,0,0,0
Colin de Grandhomme,55395,17,3,35,1,2.05,0,3,0
William Somerville,38607,6,3,20,1,3.33,0,0,0
Ajaz Patel,595783,16,4,48,1,3.00,0,0,0
Dilruwan Perera,49920,37,4,114,3,3.08,0,0,1
Dhananjaya de Silva,465793,5,1,10,0,2.00,0,0,1
Suranga Lakmal,49619,11,2,32,0,2.90,0,0,1
Lahiru Kumara,784375,25,0,115,1,4.59,3,0,1
Lasith Embuldeniya,848109,37,4,156,2,4.21,0,0,1
Trent Boult,277912,14.2,8,17,2,1.18,0,0,2
Tim Southee,232364,12,6,15,2,1.25,1,0,2
Ajaz Patel,595783,19,3,31,2,1.63,0,0,2
Colin de Grandhomme,55395,4,1,8,1,2.00,0,0,2
William Somerville,38607,21,6,49,2,2.33,0,0,2
