Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Tim Murtagh,17134,25,5,45,4,1.80,0,0,0
Boyd Rankin,24599,21,3,75,2,3.57,0,1,0
Tyrone Kane,571707,20,2,86,0,4.30,0,1,0
Stuart Thompson,414821,22,4,62,3,2.81,1,2,0
Kevin O'Brien,24605,6,1,20,0,3.33,1,0,0
Paul Stirling,303427,2,0,11,0,5.50,0,0,0
Mohammad Amir,290948,10,5,9,2,0.90,1,0,1
Mohammad Abbas,389666,11,4,44,4,4.00,0,0,1
Rahat Ali,323244,7,0,18,0,2.57,0,0,1
Faheem Ashraf,681117,5,2,18,1,3.60,0,0,1
Shadab Khan,922943,13.2,3,31,3,2.32,0,0,1
Haris Sohail,318788,1,0,1,0,1.00,0,0,1
Mohammad Amir,290948,29.2,9,63,3,2.14,0,0,2
Mohammad Abbas,389666,28.3,10,66,5,2.31,0,1,2
Rahat Ali,323244,23,3,75,0,3.26,2,0,2
Faheem Ashraf,681117,18,3,51,0,2.83,1,1,2
Shadab Khan,922943,30.4,7,63,1,2.05,0,0,2
Tim Murtagh,17134,16,3,55,2,3.43,0,0,3
Boyd Rankin,24599,12,1,57,1,4.75,0,3,3
Stuart Thompson,414821,11,4,31,1,2.81,0,2,3
Tyrone Kane,571707,6,1,17,0,2.83,0,0,3
