Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Shaheen Shah Afridi,1072470,33.4,5,121,2,3.59,1,3,0
Mohammad Abbas,389666,33,8,82,0,2.48,0,0,0
Yasir Shah,43685,39,3,173,2,4.43,0,0,0
Naseem Shah,1158088,27,6,109,1,4.03,0,0,0
Fawad Alam,40250,12,0,46,2,3.83,0,0,0
Shan Masood,233901,3,1,11,0,3.66,0,0,0
Asad Shafiq,316397,7,0,24,1,3.42,0,1,0
James Anderson,8608,23,3,56,5,2.43,0,0,1
Stuart Broad,10617,20,5,40,2,2.00,0,0,1
Jofra Archer,669855,17,3,58,0,3.41,1,0,1
Chris Woakes,247235,15,2,42,1,2.80,0,2,1
Dom Bess,646847,18,2,68,1,3.77,0,0,1
James Anderson,8608,19,3,45,2,2.36,0,0,2
Stuart Broad,10617,14.1,5,27,1,1.90,0,0,2
Chris Woakes,247235,8,2,14,0,1.75,0,0,2
Jofra Archer,669855,14,8,14,0,1.00,0,0,2
Dom Bess,646847,21,4,54,0,2.57,0,0,2
Joe Root,303669,6,0,17,1,2.83,0,0,2
Dom Sibley,519082,1,0,7,0,7.00,0,3,2
