Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,0s,4s,6s,WD,NB,Innings
Chris Woakes,247235,3,0,18,2,6.00,11,3,0,0,0,0
Avesh Khan,694211,4,0,23,2,5.75,11,3,0,1,0,0
Ravichandran Ashwin,26421,4,0,47,1,11.75,9,4,4,0,0,0
Tom Curran,550235,4,0,40,1,10.00,7,4,2,1,0,0
Amit Mishra,31107,3,0,27,0,9.00,4,0,2,0,0,0
Marcus Stoinis,325012,2,0,26,0,13.00,4,2,2,0,1,0
Deepak Chahar,447261,4,0,36,0,9.00,8,5,1,0,0,1
Sam Curran,662973,2,0,24,0,12.00,2,3,1,0,0,1
Shardul Thakur,475281,3.4,0,53,2,14.45,6,11,0,2,0,1
Ravindra Jadeja,234675,2,0,16,0,8.00,2,0,1,0,0,1
Moeen Ali,8917,3,0,33,0,11.00,2,2,2,0,1,1
Dwayne Bravo,51439,4,0,28,1,7.00,7,3,0,1,0,1
