Bowler_Name,Player_Link,Over,Maiden,Runs,Wicket,Economy,WD,NB,Innings
Suranga Lakmal,49619,12,1,44,1,3.66,0,0,0
Dilruwan Perera,49920,24.4,5,61,4,2.47,0,0,0
Malinda Pushpakumara,50205,23,4,89,3,3.86,0,0,0
Dhananjaya de Silva,465793,2,0,4,0,2.00,0,0,0
Akila Dananjaya,574178,14,1,80,2,5.71,0,0,0
James Anderson,8608,14,2,40,0,2.85,0,0,1
Sam Curran,662973,4,0,19,0,4.75,0,0,1
Jack Leach,455524,29,5,70,3,2.41,0,0,1
Moeen Ali,8917,25,1,85,2,3.40,0,0,1
Adil Rashid,244497,22,2,75,3,3.40,0,0,1
Joe Root,303669,8,0,26,1,3.25,0,0,1
Ben Stokes,311158,1,0,9,0,9.00,0,0,1
Dilruwan Perera,49920,20.4,2,96,3,4.64,0,0,2
Malinda Pushpakumara,50205,27,1,101,1,3.74,0,0,2
Akila Dananjaya,574178,25,0,115,6,4.59,0,0,2
Dhananjaya de Silva,465793,4,0,7,0,1.75,0,0,2
Suranga Lakmal,49619,4,0,14,0,3.50,0,0,2
James Anderson,8608,5,2,12,0,2.40,0,0,3
Jack Leach,455524,28,2,83,5,2.96,0,0,3
Moeen Ali,8917,19,2,72,4,3.78,0,0,3
Adil Rashid,244497,17,1,52,1,3.05,0,0,3
Joe Root,303669,5,0,15,0,3.00,0,0,3
